"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"70"	"ENSMUSG00000016181"	"Utp25"	0.269394823985283	"housekeeping"	"sCs"	1	0.788548554359303	"D0"
"71"	"ENSMUSG00000016194"	"Hsd11b1"	0.848094775244189	"specific"	"FAPs"	1	1.72665737858927	"D0"
"72"	"ENSMUSG00000016262"	"Sertad4"	0.7346407441095	"intermediate"	"FAPs"	1	1.42708153485542	"D0"
"73"	"ENSMUSG00000016493"	"Cd46"	0.376576757858733	"housekeeping"	"ECs"	1	0.993419171031954	"D0"
"74"	"ENSMUSG00000016494"	"Cd34"	0.467393703817408	"housekeeping"	"FAPs"	1	2.46969326079658	"D0"
"75"	"ENSMUSG00000016918"	"Sulf1"	0.605298016379022	"intermediate"	"FAPs"	1	1.91876700969797	"D0"
"76"	"ENSMUSG00000017418"	"Arl5b"	0.18064826697874	"housekeeping"	"ECs"	1	1.32952542315648	"D0"
"77"	"ENSMUSG00000018196"	"Glrx2"	0.127580965631248	"housekeeping"	"FAPs"	1	0.82387313060469	"D0"
"78"	"ENSMUSG00000018199"	"Ro60"	0.142219259264154	"housekeeping"	"FAPs"	1	1.04431249809965	"D0"
"79"	"ENSMUSG00000018417"	"Myo1b"	0.390230272917888	"housekeeping"	"sCs"	1	1.65375158030071	"D0"
"80"	"ENSMUSG00000019699"	"Akt3"	0.10206798528647	"housekeeping"	"FAPs"	1	1.30163990723448	"D0"
"81"	"ENSMUSG00000022995"	"Enah"	0.331794117023979	"housekeeping"	"sCs"	1	1.33734018940698	"D0"
"82"	"ENSMUSG00000023094"	"Msrb2"	0.256996523930936	"housekeeping"	"FAPs"	1	0.417567479125318	"D0"
"83"	"ENSMUSG00000023150"	"Ivns1abp"	0.14510126725581	"housekeeping"	"sCs"	1	1.79880212052236	"D0"
"84"	"ENSMUSG00000023206"	"Il15ra"	0.145341792997688	"housekeeping"	"FAPs"	1	0.878443575518085	"D0"
"85"	"ENSMUSG00000025776"	"Crispld1"	0.968494851246909	"specific"	"FAPs"	1	0.959014771460458	"D0"
"86"	"ENSMUSG00000025779"	"Ly96"	0.726675411810151	"intermediate"	"ECs"	1	1.02934381949048	"D0"
"87"	"ENSMUSG00000025780"	"Itih5"	0.6131262538671	"intermediate"	"FAPs"	1	2.09507191754279	"D0"
"88"	"ENSMUSG00000025781"	"Atp5c1"	0.0919524847966753	"housekeeping"	"sCs"	1	1.90583399736702	"D0"
"89"	"ENSMUSG00000025782"	"Taf3"	0.0598711310652477	"housekeeping"	"ECs"	1	0.818671727189646	"D0"
"90"	"ENSMUSG00000025815"	"Dhtkd1"	0.642022492620535	"intermediate"	"sCs"	1	0.417177441036818	"D0"
"91"	"ENSMUSG00000025816"	"Sec61a2"	0.159209046867936	"housekeeping"	"sCs"	1	1.17843875834792	"D0"
"92"	"ENSMUSG00000025817"	"Nudt5"	0.226563181135825	"housekeeping"	"sCs"	1	1.10796490592622	"D0"
