"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	0.806433555549897	"specific"	"FAPs"	1	0.216887642231592	"D4"
"2"	"ENSMUSG00000001138"	"Cnnm3"	0.134525117803548	"housekeeping"	"M1"	1	0.788241653007091	"D4"
"3"	"ENSMUSG00000001143"	"Lman2l"	0.30887655550052	"housekeeping"	"M2"	1	0.880881593257243	"D4"
"4"	"ENSMUSG00000001305"	"Rrp15"	0.210605451311496	"housekeeping"	"FAPs"	1	0.686752829201245	"D4"
"5"	"ENSMUSG00000001674"	"Ddx18"	0.146746906734086	"housekeeping"	"FAPs"	1	1.09148751282713	"D4"
"6"	"ENSMUSG00000001855"	"Nup214"	0.140690235633651	"housekeeping"	"M2"	1	1.0931251254014	"D4"
"7"	"ENSMUSG00000002459"	"Rgs20"	0.48714367871299	"housekeeping"	"FAPs"	1	0.373690683446787	"D4"
"8"	"ENSMUSG00000002546"	"Golga2"	0.30655779537548	"housekeeping"	"FAPs"	1	1.27802710536831	"D4"
"9"	"ENSMUSG00000002550"	"Uck1"	0.192392127565489	"housekeeping"	"FAPs"	1	0.848956477064671	"D4"
"10"	"ENSMUSG00000002881"	"Nab1"	0.208275772057953	"housekeeping"	"M2"	1	1.44436126467159	"D4"
"11"	"ENSMUSG00000003135"	"Cnot11"	0.271891871779914	"housekeeping"	"M2"	1	1.08893888622366	"D4"
"12"	"ENSMUSG00000003418"	"St8sia6"	0.909535840303174	"specific"	"ECs"	1	0.695490015814828	"D4"
"13"	"ENSMUSG00000003458"	"Ncstn"	0.185008496006985	"housekeeping"	"M2"	1	1.58408235606121	"D4"
"14"	"ENSMUSG00000003464"	"Pex19"	0.226156312723068	"housekeeping"	"FAPs"	1	1.01463996529352	"D4"
"15"	"ENSMUSG00000003721"	"Insig2"	0.268967622676228	"housekeeping"	"FAPs"	1	1.10187124913799	"D4"
"16"	"ENSMUSG00000004031"	"Brinp2"	0.999270049565006	"specific"	"sCs"	1	0.197693243087904	"D4"
"17"	"ENSMUSG00000004105"	"Angptl2"	0.569579043790569	"intermediate"	"FAPs"	1	1.66405728172874	"D4"
"18"	"ENSMUSG00000004364"	"Cul3"	0.171322733292204	"housekeeping"	"M2"	1	1.56420472486773	"D4"
"19"	"ENSMUSG00000004552"	"Ctse"	0.755414629987421	"intermediate"	"M1"	1	0.640753374296854	"D4"
"20"	"ENSMUSG00000004707"	"Ly9"	0.754135462712612	"intermediate"	"M1"	1	1.56206697525731	"D4"
"21"	"ENSMUSG00000004709"	"Cd244a"	0.852586843277757	"specific"	"M2"	1	0.883072414077317	"D4"
"22"	"ENSMUSG00000004880"	"Lbr"	0.308254990379928	"housekeeping"	"ECs"	1	1.54126169839571	"D4"
"23"	"ENSMUSG00000005338"	"Cadm3"	0.592145618055959	"intermediate"	"FAPs"	1	0.727732656223808	"D4"
"24"	"ENSMUSG00000005501"	"Usp40"	0.177259837319421	"housekeeping"	"M2"	1	1.1978826295572	"D4"
"25"	"ENSMUSG00000005674"	"Tomm40l"	0.292840327552506	"housekeeping"	"M2"	1	0.521795478356461	"D4"
"26"	"ENSMUSG00000005677"	"Nr1i3"	0.27775418429111	"housekeeping"	"M1"	1	0.506756294549028	"D4"
"27"	"ENSMUSG00000005681"	"Apoa2"	0.592166440778745	"intermediate"	"M1"	1	0.475809763123279	"D4"
"28"	"ENSMUSG00000005763"	"Cd247"	0.836285138755879	"specific"	"ECs"	1	0.763964755319854	"D4"
"29"	"ENSMUSG00000005886"	"Ncoa2"	0.172927841317286	"housekeeping"	"M1"	1	1.35545952548742	"D4"
"30"	"ENSMUSG00000006010"	"Odr4"	0.230831369742866	"housekeeping"	"FAPs"	1	1.0982307393131	"D4"
"31"	"ENSMUSG00000006299"	"Aamp"	0.179183482844118	"housekeeping"	"M2"	1	1.21731731724472	"D4"
"32"	"ENSMUSG00000006301"	"Tmbim1"	0.102819930197901	"housekeeping"	"ECs"	1	1.11899690094741	"D4"
"33"	"ENSMUSG00000006412"	"Pfdn2"	0.242595005022095	"housekeeping"	"M2"	1	0.586876865901226	"D4"
"34"	"ENSMUSG00000006471"	"Ndor1"	0.205534847604819	"housekeeping"	"M2"	1	0.816925320854897	"D4"
"35"	"ENSMUSG00000006542"	"Prkag3"	0.968445517664052	"specific"	"sCs"	1	0.148054418611419	"D4"
"36"	"ENSMUSG00000006576"	"Slc4a3"	0.708837195718589	"intermediate"	"sCs"	1	0.671752882671492	"D4"
"37"	"ENSMUSG00000007097"	"Atp1a2"	0.842998649526187	"specific"	"sCs"	1	1.03850712920503	"D4"
"38"	"ENSMUSG00000007107"	"Atp1a4"	0.810266674740202	"specific"	"sCs"	1	0.198240589053383	"D4"
"39"	"ENSMUSG00000008136"	"Fhl2"	0.930483873990499	"specific"	"FAPs"	1	1.28489663707913	"D4"
"40"	"ENSMUSG00000008475"	"Arpc5"	0.27466785055432	"housekeeping"	"M2"	1	2.10639724192997	"D4"
"41"	"ENSMUSG00000009030"	"Pdcl"	0.103894647693325	"housekeeping"	"M2"	1	0.886640846854517	"D4"
"42"	"ENSMUSG00000009214"	"Mymk"	0.99396050277036	"specific"	"sCs"	1	0.407272713338088	"D4"
"43"	"ENSMUSG00000009418"	"Nav1"	0.251181295596662	"housekeeping"	"ECs"	1	1.5977368475006	"D4"
"44"	"ENSMUSG00000009551"	"6330409D20Rik"	0.913608541977713	"specific"	"ECs"	1	1.00044969808051	"D4"
"45"	"ENSMUSG00000009563"	"Tor2a"	0.173163564443227	"housekeeping"	"M2"	1	0.90970902510767	"D4"
"46"	"ENSMUSG00000009614"	"Sardh"	0.812606063594845	"specific"	"FAPs"	1	0.702300985943178	"D4"
"47"	"ENSMUSG00000009633"	"G0s2"	0.744807909764216	"intermediate"	"sCs"	1	0.664074945068356	"D4"
"48"	"ENSMUSG00000009772"	"Nuak2"	0.526002243628824	"intermediate"	"M2"	1	1.545251130433	"D4"
"49"	"ENSMUSG00000009905"	"Kdsr"	0.254116534708124	"housekeeping"	"FAPs"	1	0.806542224072644	"D4"
"50"	"ENSMUSG00000009907"	"Vps4b"	0.250379937758091	"housekeeping"	"M2"	1	1.47545951977024	"D4"
"51"	"ENSMUSG00000010175"	"Prox1"	0.960598616202639	"specific"	"sCs"	1	0.605226841008658	"D4"
"52"	"ENSMUSG00000010290"	"AI597479"	0.214034000283058	"housekeeping"	"FAPs"	1	0.643827149062704	"D4"
"53"	"ENSMUSG00000010311"	"Optc"	0.987164012107104	"specific"	"FAPs"	1	0.474244389403949	"D4"
"54"	"ENSMUSG00000010453"	"Kansl3"	0.10815356695922	"housekeeping"	"M2"	1	1.02051333055364	"D4"
"55"	"ENSMUSG00000010609"	"Psen2"	0.345868709415719	"housekeeping"	"M1"	1	1.02618403495393	"D4"
"56"	"ENSMUSG00000013275"	"Slc41a1"	0.273297998283455	"housekeeping"	"FAPs"	1	0.840912693228524	"D4"
"57"	"ENSMUSG00000013465"	"Nelfb"	0.218095141376507	"housekeeping"	"FAPs"	1	1.16730818874973	"D4"
"58"	"ENSMUSG00000013698"	"Pea15a"	0.180212940749467	"housekeeping"	"ECs"	1	1.61813664530258	"D4"
"59"	"ENSMUSG00000013973"	"Dedd"	0.090155779049169	"housekeeping"	"M2"	1	0.828988271194462	"D4"
"60"	"ENSMUSG00000013997"	"Nit1"	0.0933839967072393	"housekeeping"	"M2"	1	0.865961623512264	"D4"
"61"	"ENSMUSG00000014602"	"Kif1a"	0.683581298767233	"intermediate"	"sCs"	1	0.403493559370491	"D4"
"62"	"ENSMUSG00000014867"	"Surf4"	0.326871529225286	"housekeeping"	"FAPs"	1	1.94302981446325	"D4"
"63"	"ENSMUSG00000014873"	"Surf2"	0.14828104918796	"housekeeping"	"FAPs"	1	1.10852275937953	"D4"
"64"	"ENSMUSG00000014980"	"Tsen15"	0.282709344376766	"housekeeping"	"FAPs"	1	1.02824749237926	"D4"
"65"	"ENSMUSG00000015085"	"Entpd2"	0.887955521900545	"specific"	"FAPs"	1	1.32748034414965	"D4"
"66"	"ENSMUSG00000015087"	"Rabl6"	0.123333300041449	"housekeeping"	"FAPs"	1	1.10227664229686	"D4"
"67"	"ENSMUSG00000015092"	"Edf1"	0.169936044918645	"housekeeping"	"M2"	1	1.51212319326759	"D4"
"68"	"ENSMUSG00000015094"	"Npdc1"	0.66217615947768	"intermediate"	"FAPs"	1	1.63168443397401	"D4"
"69"	"ENSMUSG00000015095"	"Fbxw5"	0.113210881569148	"housekeeping"	"M2"	1	0.887492608477904	"D4"
"70"	"ENSMUSG00000015222"	"Map2"	0.760812201905018	"intermediate"	"sCs"	1	1.08214707273618	"D4"
"71"	"ENSMUSG00000015314"	"Slamf6"	0.768929212663921	"intermediate"	"M2"	1	0.53538267643981	"D4"
"72"	"ENSMUSG00000015335"	"Zdhhc12"	0.440374716515373	"housekeeping"	"ECs"	1	0.564354221923759	"D4"
"73"	"ENSMUSG00000015355"	"Cd48"	0.762023287195549	"intermediate"	"M2"	1	2.0485745927072	"D4"
"74"	"ENSMUSG00000015488"	"Cacfd1"	0.251931159666248	"housekeeping"	"FAPs"	1	1.02295254210955	"D4"
"75"	"ENSMUSG00000015619"	"Gata3"	0.998036071774702	"specific"	"ECs"	1	0.224292007797028	"D4"
"76"	"ENSMUSG00000015790"	"Surf1"	0.177147592281429	"housekeeping"	"FAPs"	1	1.2126991631908	"D4"
"77"	"ENSMUSG00000015846"	"Rxra"	0.122640704784692	"housekeeping"	"M2"	1	0.975594055191847	"D4"
"78"	"ENSMUSG00000015962"	"1700016C15Rik"	0.966660613401244	"specific"	"ECs"	1	0.283038214642571	"D4"
"79"	"ENSMUSG00000016181"	"Utp25"	0.158882136320845	"housekeeping"	"sCs"	1	0.532968294220263	"D4"
