cell,cluster
Old.M2.D4_2,M2
Old.M1.D4_3,M1
Old.M2.D4_3,M2
Old.M1.D4_2,M1
Old.M1.D4_1,M1
Old.M2.D4_1,M2
Old.FAPs.D4_1,FAPs
Old.FAPs.D4_2,FAPs
Old.FAPs.D4_3,FAPs
Old.sCs.D4_2,sCs
Old.sCs.D4_1,sCs
Old.ECs.D4_1,ECs
Old.ECs.D4_3,ECs
Old.ECs.D4_2,ECs
