"ensembl"	"FAPs"	"MuSCs"	"ECs"
"ENSMUSG00000000247"	0	0.250863716425481	0
"ENSMUSG00000001138"	7.53262823173596	5.78252045951753	6.28676414653259
"ENSMUSG00000001143"	2.6118998166266	4.82055051413663	3.97133455243295
"ENSMUSG00000001305"	4.12743542685705	6.13113949469201	1.63786850602429
"ENSMUSG00000001674"	9.53445230023023	12.6134701381881	8.22160622288595
"ENSMUSG00000001855"	8.86437811981778	11.6604448229124	10.3317233584281
"ENSMUSG00000002459"	0.942738347160562	0.999001494041012	0.614734554637699
"ENSMUSG00000002546"	21.981158308506	7.60342335998426	10.9802748935812
"ENSMUSG00000002550"	7.68855843213953	4.40315537523658	3.05145840526406
"ENSMUSG00000002881"	13.2917141394757	17.0215318557646	23.9218417005531
"ENSMUSG00000003135"	5.12186513184452	5.54104010757713	8.89384597775928
"ENSMUSG00000003458"	25.9722167161494	19.2928383165359	23.4838729859323
"ENSMUSG00000003464"	9.36452123900036	13.2240716224686	6.80388874063412
"ENSMUSG00000003721"	13.5985648860158	10.0600702818055	6.44601153541836
"ENSMUSG00000004031"	0	0.158076254981779	0
"ENSMUSG00000004105"	37.09896645274	28.3453151740963	5.37988750396842
"ENSMUSG00000004364"	22.6464218086915	26.3309743705668	33.499589499976
"ENSMUSG00000004872"	0	1.0123553797852	0
"ENSMUSG00000004880"	8.36986536567764	15.7620225265036	54.555564179853
"ENSMUSG00000005338"	37.1949807219897	1.86498894481282	1.49007182514885
"ENSMUSG00000005501"	10.92595599468	11.4931428419022	16.1807255925981
"ENSMUSG00000005674"	1.15332448689498	2.24343086105814	0
"ENSMUSG00000005677"	1.67594964631959	1.24216868661408	0
"ENSMUSG00000005763"	0	0.455603987523707	4.62195727698859
"ENSMUSG00000005886"	17.6246263565117	14.1990280613123	27.3507171987991
"ENSMUSG00000006010"	11.210002879641	5.89200024045898	7.36733257569633
"ENSMUSG00000006299"	14.0534207592253	10.5156050666405	10.3205888722319
"ENSMUSG00000006301"	22.1840277140004	11.5007017074182	11.1251213650778
"ENSMUSG00000006412"	2.53710749691705	2.83741774477012	1.94368628930774
"ENSMUSG00000006471"	4.50628340521199	6.45984603346582	5.01139214504691
"ENSMUSG00000006542"	0	0.401006227734825	0
"ENSMUSG00000006576"	3.48575901126295	5.02327651281177	0
"ENSMUSG00000007097"	12.1317871417528	15.9485893122081	0
"ENSMUSG00000007107"	0.719164964202037	0	0
"ENSMUSG00000008136"	7.20629837373267	1.20617427288962	0
"ENSMUSG00000008475"	29.4112006818525	17.5115304924347	57.6281556442283
"ENSMUSG00000009030"	8.33842291376601	5.82103874356777	9.93251694775641
"ENSMUSG00000009214"	0	1.52553296164538	0
"ENSMUSG00000009216"	1.2285741737181	0	0
"ENSMUSG00000009418"	75.5914355464621	14.4147886939477	17.2647385960909
"ENSMUSG00000009551"	0	0	12.8482382826838
"ENSMUSG00000009563"	4.740888904021	3.13877564616401	7.60151686047209
"ENSMUSG00000009614"	2.49480430592378	1.69826832773725	0
"ENSMUSG00000009633"	11.310208867421	2.2411443807719	4.05212480318661
"ENSMUSG00000009772"	2.35598117655198	0.774498814674822	8.84194977915052
"ENSMUSG00000009905"	6.65185888533825	3.70511657679658	5.28011219743216
