"ensembl"	"Resolving.Mac"	"FAPs"	"MuSCs"	"ECs"
"ENSMUSG00000000247"	0	0	0.165791523822709	0
"ENSMUSG00000000817"	0	0	0.0917090572088195	0
"ENSMUSG00000001138"	3.02222899178048	7.6274774664133	3.71831643016477	5.54114822678716
"ENSMUSG00000001143"	4.70180783212324	3.30275639177051	3.49437793118274	3.79480594678795
"ENSMUSG00000001305"	1.21870543204674	3.14658204542801	2.71148253390357	3.08886052826118
"ENSMUSG00000001674"	5.3530202899165	9.83938181833298	6.78131193498529	10.9954654330209
"ENSMUSG00000001855"	9.69690158657141	7.70153319924832	8.08637439457356	10.7092918375158
"ENSMUSG00000002459"	0	2.98294694848329	0.473121864034919	0.714351133497606
"ENSMUSG00000002546"	6.66098496944169	29.8007184423907	6.89723986212012	8.34137422355457
"ENSMUSG00000002550"	3.66225757204129	7.91797578845857	3.42760693078796	5.20890993171647
"ENSMUSG00000002881"	13.9791405827718	13.8605584770503	13.0652382781405	16.821785238115
"ENSMUSG00000003135"	7.24619808572728	6.65115474947937	4.20875456568022	5.17575590851292
"ENSMUSG00000003418"	0.939876012521044	0	0	4.74820997524675
"ENSMUSG00000003458"	29.6562598348387	33.2867864209123	11.7336420724384	19.6574505661774
"ENSMUSG00000003464"	4.71840793858365	12.2595695780705	9.79858016496851	7.22504640259135
"ENSMUSG00000003721"	4.10050094189624	11.7077690349901	8.54410337291794	6.44549939120292
"ENSMUSG00000004105"	1.99254550912339	79.9287724728803	15.460265525311	5.90235139156522
"ENSMUSG00000004364"	19.5242708464773	27.789101652949	18.7103661405537	26.3341146200973
"ENSMUSG00000004552"	1.94472959204949	0	0	0
"ENSMUSG00000004707"	40.2766160352142	0	0	0
"ENSMUSG00000004709"	2.88583862376885	0	0	0
"ENSMUSG00000004872"	0	0	0.716486195435648	0
"ENSMUSG00000004880"	7.89392809517149	7.72787743772159	9.69189411602664	38.5517258809284
"ENSMUSG00000005338"	0	7.32373528319991	0.977348597175649	2.23214496559661
"ENSMUSG00000005501"	10.7756744786795	11.5697076192968	8.09795217719289	10.5429151066991
"ENSMUSG00000005674"	1.48532464127667	1.48704980073286	0.74054599065016	1.26990397999702
"ENSMUSG00000005677"	2.41417702270939	0	0.828489862025373	1.42955688059341
"ENSMUSG00000005681"	1.8945735278188	0	0	0
"ENSMUSG00000005763"	0.376775356942423	0.599225851632466	0.34426191459246	6.27086118102135
"ENSMUSG00000005886"	15.9433778371731	22.4274684765832	10.1105844183783	15.6092276289874
"ENSMUSG00000006010"	6.31085074724488	15.9764991621582	4.17642539531608	5.68545068239544
"ENSMUSG00000006299"	10.0237544341082	14.4573784100425	8.11418290316722	8.92462852336144
"ENSMUSG00000006301"	10.345470715561	14.0141301662977	10.5885358747112	14.090352543056
"ENSMUSG00000006412"	1.4977145912207	1.85335801259641	1.8469925279898	1.67737744571311
"ENSMUSG00000006471"	3.55644010081643	3.19450300236636	3.04751794259445	3.92108185569181
"ENSMUSG00000006542"	0.305222597193395	0	0	0
"ENSMUSG00000006576"	0.0403409667934067	6.74194386937331	3.24587081658599	0
