"ensembl"	"Inflammatory.Mac"	"Resolving.Mac"	"FAPs"	"MuSCs"	"ECs"	"Neutrophils"
"ENSMUSG00000000247"	0	0	0.440698161059595	0.327168648565232	0	0
"ENSMUSG00000001138"	3.59749576497238	4.51961852938454	2.77947460878965	7.67403988091637	6.54117349578048	3.85509186678195
"ENSMUSG00000001143"	5.18902068829008	8.73435919992538	1.96631177480701	5.73213978122202	3.26706344334388	2.22510131798
"ENSMUSG00000001305"	3.8670361917163	1.65080289173306	6.68065826927134	7.02715117859905	3.46759346293103	2.65935425169533
"ENSMUSG00000001674"	11.3987820747907	8.22136639560617	17.4147762715001	16.8104363089439	8.12312747468837	7.44630018785755
"ENSMUSG00000001855"	12.7683511831785	12.3294159044594	7.28349429543072	12.6322269056829	10.4750954151722	7.56898246696468
"ENSMUSG00000002459"	0	0.586125228170862	0.832089506238245	1.19582979833712	0	0.573842064521276
"ENSMUSG00000002546"	7.68830493767337	7.91727385914319	13.1224046300206	9.30587160525934	8.65581183649587	7.13930526509243
"ENSMUSG00000002550"	4.96447485308557	5.59977729394338	4.96541955408272	5.49561029575133	4.01117793799963	3.07849677773688
"ENSMUSG00000002881"	21.1074234865721	23.1811385379401	14.1491775076582	18.9520805285937	18.0138738307589	13.2571030792705
"ENSMUSG00000003135"	10.086386141081	11.0920281579718	4.90825538038266	6.932332683561	5.98153675126869	4.60550567908966
"ENSMUSG00000003418"	0.282794993912387	0	0.205756532844631	0	4.23101613399996	3.24374920872382
"ENSMUSG00000003458"	40.4484083785144	43.5674471369577	21.4081222922606	20.9766572782684	25.2478654167437	17.0851507071821
"ENSMUSG00000003464"	7.1514844803596	5.69963155133938	7.78972884539325	15.8697350297033	7.65965086064554	4.2561461209015
"ENSMUSG00000003721"	4.83248790823381	5.55382885676079	9.06351343031064	12.2922020568681	8.04243590784969	5.89755373389101
"ENSMUSG00000004105"	4.25381642593885	3.05869850537856	40.3891946742618	33.0989211689013	1.7365653418386	3.03993611426126
"ENSMUSG00000004110"	0	0.188161590316391	0	0	0	0
"ENSMUSG00000004364"	31.5626791291141	28.5628459776324	27.3128429387839	34.8579129451855	27.9900108483094	20.0856728318881
"ENSMUSG00000004552"	2.16086816687738	4.29147619776846	0	0	0	0
