"ensembl"	"Resolving.Mac"	"Inflammatory.Mac"	"FAPs"	"MuSCs"	"ECs"
"ENSMUSG00000000247"	0	0	0.577340426886596	0	0
"ENSMUSG00000001138"	3.5681243169016	3.49833736792535	4.94992186946392	2.81429568212646	6.74201515759121
"ENSMUSG00000001143"	5.4565176392321	5.08216267411606	2.86949825710078	2.31075469322439	2.8458934767621
"ENSMUSG00000001305"	3.72459769470655	5.40417483274001	4.57803705048382	3.36844226363484	2.8027425248215
"ENSMUSG00000001674"	11.4864982036557	13.0573537875756	13.3627295902604	10.2392736841043	9.58401082872721
"ENSMUSG00000001855"	12.4274540099449	13.2806550461997	9.15405581971423	6.58222236560336	10.9352007518931
"ENSMUSG00000002459"	0	0	1.73992138818881	0.669994594213434	0
"ENSMUSG00000002546"	8.71009891105297	10.6536945281936	23.7978231848204	5.41127981455779	11.7882900909781
"ENSMUSG00000002550"	4.74277188922637	3.84457502307879	7.04020267204079	3.14205464804276	4.67407218195449
"ENSMUSG00000002881"	26.3576525547373	21.6354267383627	14.5782786374877	8.82282270392972	17.3831995594212
"ENSMUSG00000003135"	13.0796950050564	10.2084534427878	6.54888983595519	4.56195698980538	6.86840661330126
"ENSMUSG00000003418"	0	0	0	0	5.1482804895943
"ENSMUSG00000003458"	45.5418339071618	42.9802676779049	33.2826620823591	9.40400702208618	24.3960536932213
"ENSMUSG00000003464"	7.59775816361621	7.2655455481743	12.3612158752359	7.20475565528438	8.85556446716995
"ENSMUSG00000003721"	4.97645272038557	6.87148529367796	11.7860828293291	4.87536198628576	7.00078185377964
"ENSMUSG00000004105"	4.62787076554791	5.44446657870606	64.6949537409778	12.090369067705	2.85038229164661
"ENSMUSG00000004364"	36.7599880443218	37.2142213202473	29.8462861567139	17.1560065525762	25.6872769997914
"ENSMUSG00000004552"	3.00087190656487	2.23791320436172	0	0	0
"ENSMUSG00000004707"	34.2548443141127	39.1947268640355	0	0	0
"ENSMUSG00000004709"	8.0845167079681	2.37163109286856	0	0	0
"ENSMUSG00000004872"	0	0	0	0.45096523287459	0
"ENSMUSG00000004880"	16.0485914889895	11.063099471751	8.8207484506212	10.5377916462015	37.1231426590156
"ENSMUSG00000005338"	0	0	2.42055881350906	0.878610738646454	7.54359313463895
"ENSMUSG00000005501"	13.5526834784385	11.2032102217753	13.7707913378327	7.17896088883135	9.89688036820125
"ENSMUSG00000005674"	2.11697779203878	2.15446317175606	0	0.662491897563057	1.26053783010697
"ENSMUSG00000005677"	2.06890191998025	2.70531880691693	0.970773969908906	0.650299478079023	2.3606606497186
"ENSMUSG00000005681"	1.56735412779049	0.832491956841126	0	0	0
"ENSMUSG00000005763"	0.149510342019027	0	0	0	4.95183457830064
"ENSMUSG00000005886"	20.669832951547	20.5959600624333	17.6772904665596	6.86334398734574	14.9404150371644
"ENSMUSG00000006010"	8.47839061774264	9.55716234110702	15.2937558281417	3.54670052251918	8.47687945069938
"ENSMUSG00000006299"	15.0556499434014	18.4696748578878	14.7470243019537	7.15387134313102	11.3803596854855
"ENSMUSG00000006301"	11.3142135312695	16.1347653051402	10.7302373595041	6.63069774368685	16.6876439229055
"ENSMUSG00000006412"	2.40377199206663	3.35874716405155	1.81733391724512	1.3536018925321	0.69241998989998
"ENSMUSG00000006471"	4.7469009861392	4.67176090491848	4.55539777979933	1.19171907414233	3.35156472414303
"ENSMUSG00000006542"	0	0	0	0.638936265343461	0
"ENSMUSG00000006576"	0	0	4.19569201907876	1.50239301285225	0
"ENSMUSG00000007097"	0	0	0.671295772061952	2.56697878216167	0
"ENSMUSG00000007107"	0	0	0.595883656293258	0.131059927839977	0
"ENSMUSG00000008136"	0	0	22.4114050034008	0.825291958014246	1.36417244272037
"ENSMUSG00000008475"	138.319067617777	149.203414284491	50.6646876317503	11.609016946632	44.3733929996634
"ENSMUSG00000009030"	7.5979506233816	9.73301648471495	5.54469280979494	3.1959012579674	7.77323489295187
"ENSMUSG00000009214"	0	0	0	8.22626145072396	0
"ENSMUSG00000009418"	17.9954189969303	24.0160579607608	43.5944933314436	7.86973058758763	48.9233258614569
"ENSMUSG00000009551"	0.714671706790441	0.663374077343108	0	0	8.06019076978514
"ENSMUSG00000009563"	6.90981475854574	10.8869220051112	9.08996392817453	2.17219393253646	8.77350521049351
"ENSMUSG00000009614"	0	0	4.76779696558514	0.65723918333419	1.2647224735582
"ENSMUSG00000009633"	0	0	4.15011210917358	2.19098065057099	0
"ENSMUSG00000009772"	26.3094772495029	16.0800049728754	5.55596080084885	0.399441360851487	2.16845960489021
"ENSMUSG00000009905"	3.0614128656844	3.11636774173303	5.15809266703021	1.78377325334793	6.14414059749214
"ENSMUSG00000009907"	29.2573039179079	30.774445933754	12.2368976563713	6.18858484280458	13.6705434973015
"ENSMUSG00000010175"	0	0	0.613383024710236	4.59306457270463	0.854894938874878
