"ensembl"	"Resolving.Mac"	"FAPs"	"MuSCs"	"ECs"
"ENSMUSG00000000247"	0	0	0.437907890948191	0
"ENSMUSG00000001138"	3.36881459595356	6.99001722646316	6.82659590223299	4.95792009630208
"ENSMUSG00000001143"	5.23869641548229	3.28867426644781	6.44887002295069	3.20762404866894
"ENSMUSG00000001305"	1.68494082364308	3.0866616293308	5.94152110145751	1.5224378890009
"ENSMUSG00000001674"	7.22432356959585	10.4743070228861	12.1745243834354	6.24325489958597
"ENSMUSG00000001855"	9.47604420895617	8.94944758867357	13.7812315398614	9.28774878795132
"ENSMUSG00000002459"	0	1.32414264777475	1.36692353728041	0
"ENSMUSG00000002546"	6.43002735270965	27.0541133207976	11.8094758641198	8.67504050445076
"ENSMUSG00000002550"	3.89562477260408	9.64506305503592	5.28863146616265	2.6437382088169
"ENSMUSG00000002881"	20.3358007626636	14.7796829847265	20.5446670887768	18.4971548366089
"ENSMUSG00000003135"	8.26954035725647	6.71439794702256	6.63615078564638	7.86138571869297
"ENSMUSG00000003458"	33.7158161083243	31.2610294023359	22.6168252574614	21.1881691411637
"ENSMUSG00000003464"	4.94152663650431	13.6701043782716	19.233752579971	5.62874299989026
"ENSMUSG00000003721"	4.0843407849698	15.0811063898779	20.1774412301066	4.39610368081045
"ENSMUSG00000004031"	0	0	0.131189369371598	0
"ENSMUSG00000004105"	2.50663857226157	128.740956455536	28.4882795829504	3.30975589121097
"ENSMUSG00000004110"	0	0	0.142851394251671	0
"ENSMUSG00000004364"	24.6520007107207	27.435091846029	31.6821932176194	28.3988016614647
"ENSMUSG00000004552"	3.97165113912855	0	0	0
"ENSMUSG00000004707"	32.3152325832643	0	0	0
"ENSMUSG00000004709"	4.61812654484322	0	0	0
"ENSMUSG00000004872"	0	0	1.25835780333089	0
"ENSMUSG00000004880"	14.4050138477263	6.58261656409197	16.5041532994121	42.6898717834017
"ENSMUSG00000005338"	0	5.82460108543568	2.27406742202449	0
"ENSMUSG00000005501"	10.8014404544106	12.3919214420257	15.2624538723246	13.0018543453795
"ENSMUSG00000005674"	1.80856592702239	0.562106763104091	1.17158186235974	2.0360504470515
"ENSMUSG00000005677"	2.12193384547693	1.16190112351489	1.46546908684532	1.52398014398713
"ENSMUSG00000005681"	1.79935946877678	0	0	0.502617331999389
"ENSMUSG00000005763"	0	0.70917666810351	0.545103018661881	3.09650197633856
"ENSMUSG00000005886"	17.7514690120195	23.1956634995489	19.4597502873726	22.4062367819585
"ENSMUSG00000006010"	7.30189249274846	16.5308687695028	7.38523365567281	5.69062130757259
"ENSMUSG00000006299"	10.4002562614131	14.8883203411693	16.9017608978638	8.5485369381246
"ENSMUSG00000006301"	9.21712659493805	15.9806122021665	16.7427885433028	10.0270298470797
"ENSMUSG00000006412"	2.06235790365004	2.45639985763667	3.28082704409408	1.14136994686799
"ENSMUSG00000006471"	4.29817271932465	4.43760056393336	4.38988567114019	3.53913032438728
"ENSMUSG00000006542"	0	0	2.31314717392983	0
"ENSMUSG00000006576"	0	4.44026909041961	4.24529250438713	0
"ENSMUSG00000007097"	0	2.42461127329421	12.4810983993224	0
"ENSMUSG00000007107"	0	0.976797363453051	0.860689626383026	0
"ENSMUSG00000008136"	0	19.6396350978582	1.94346381319443	0
"ENSMUSG00000008475"	99.1308970583549	33.9189254349193	21.263110972974	46.4280780820974
