Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,Agt,Mas1,ECs,1.0,3.4038682072178768,0.06768897798199518,1.0,50.21583072063217,0.3389816657776697,170.9280696889946,0.02294532251112473
ECs,Agt,Mas1,FAPs,1.0,3.4038682072178768,0.06768897798199518,1.0,41.650700180456255,0.2811628031511655,141.773494152619,0.01903162279185528
ECs,Agt,Mas1,MuSCs,1.0,3.4038682072178768,0.06768897798199518,1.0,56.27077500727177,0.3798555310711648,191.53830204276267,0.02571203267901516
FAPs,Agt,Mas1,ECs,1.0,41.97296841216896,0.8346701933599359,1.0,50.21583072063217,0.3389816657776697,2107.707476627918,0.2829378925201207
FAPs,Agt,Mas1,FAPs,1.0,41.97296841216896,0.8346701933599359,1.0,41.650700180456255,0.2811628031511655,1748.2035230190108,0.2346782112718049
FAPs,Agt,Mas1,MuSCs,1.0,41.97296841216896,0.8346701933599359,1.0,56.27077500727177,0.3798555310711648,2361.851461908484,0.3170540895680103
MuSCs,Agt,Mas1,ECs,1.0,4.9100536350839015,0.09764082865806907,1.0,50.21583072063217,0.3389816657776697,246.5624221685978,0.03309845074642428
MuSCs,Agt,Mas1,FAPs,1.0,4.9100536350839015,0.09764082865806907,1.0,41.650700180456255,0.2811628031511655,204.5071718248389,0.02745296908750535
MuSCs,Agt,Mas1,MuSCs,1.0,4.9100536350839015,0.09764082865806907,1.0,56.27077500727177,0.3798555310711648,276.292523373443,0.037089408824139435
ECs,Agt,Agtr1a,ECs,1.0,3.4038682072178768,0.06768897798199518,1.0,94.93396652091283,0.06265086947118514,323.14271042562166,0.004240773324187905
ECs,Agt,Agtr1a,FAPs,1.0,3.4038682072178768,0.06768897798199518,1.0,340.7291373040614,0.2248613166454367,1159.797077742069,0.015220632711415409
ECs,Agt,Agtr1a,MuSCs,1.0,3.4038682072178768,0.06768897798199518,1.0,1079.622594876711,0.7124878138833781,3674.8930264949017,0.048227571946391865
FAPs,Agt,Agtr1a,ECs,1.0,41.97296841216896,0.8346701933599359,1.0,94.93396652091283,0.06265086947118514,3984.66037802418,0.0522928133356822
