Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Resolving-Mac,Cd44,Sele,MuSCs,3.0,1.0,15470.074712205533,0.1336737864548818,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,60507.00916475726,0.0009844732646875289
Neutrophils,Has2,Cd44,Resolving-Mac,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,15470.074712205533,0.1336737864548818,57054.15276641317,0.0001586040532028634
ECs,Ccl12,Ccr5,Inflammatory-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,7982.256903539488,0.5744740124584016,56608.71735206607,0.0056636767319409
FAPs,Col1a2,Gp6,Resolving-Mac,3.0,1.0,76654.35601534086,0.8986098707068642,2.0,0.6666666666666666,0.7365722827753066,0.05819158093049374,56461.47399489067,0.052291529016179006
Inflammatory-Mac,Vcan,Selp,FAPs,3.0,1.0,30876.39552004293,0.5527948506782733,2.0,0.6666666666666666,1.7205686495996668,0.0011360640022002868,53124.95814442546,0.0006280103304572693
MuSCs,Cd44,Sele,MuSCs,3.0,1.0,12892.22624869283,0.1113991193032896,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,50424.452777097715,0.0008204260354429414
MuSCs,Sele,Cd44,MuSCs,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,12892.22624869283,0.1113991193032896,50424.452777097715,0.0008204260354429414
Neutrophils,Has2,Cd44,MuSCs,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,12892.22624869283,0.1113991193032896,47546.961444972636,0.0001321751430352021
Neutrophils,Sema3e,Plxnd1,ECs,2.0,0.6666666666666666,3.999569809355647,0.01416258430697084,3.0,1.0,11822.20780196489,0.5259226919298637,47283.74540466753,0.007448424463405748
Resolving-Mac,Fn1,Mag,FAPs,3.0,1.0,25798.452158813197,0.1913206175042444,1.0,0.3333333333333333,1.79985325335948,0.06471194041275055,46433.42804967885,0.0123807283996653
ECs,Gnai2,Adcy1,ECs,3.0,1.0,6066.148175511123,0.2545220946394023,3.0,1.0,7.434171776531496,0.0996820233635578,45096.78755864282,0.02537127738438657
ECs,Bmp10,Eng,ECs,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,8635.434097246025,0.7328519886618379,43395.89684770913,0.02756430490048058
MuSCs,Sele,Cd44,FAPs,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,9799.509840086344,0.08467558238052365,38328.12980770016,0.0006236140176489146
FAPs,Cd44,Sele,MuSCs,3.0,1.0,9799.509840086344,0.08467558238052365,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,38328.12980770016,0.0006236140176489146
Neutrophils,Gnai2,Adcy1,ECs,3.0,1.0,5107.935439775263,0.2143176180006342,3.0,1.0,7.434171776531496,0.0996820233635578,37973.26948272226,0.021363613804761268
Inflammatory-Mac,Sdc2,Ptprj,Inflammatory-Mac,3.0,1.0,5.754440001434325,0.001638724078741174,3.0,1.0,6533.736999866213,0.4293468155558854,37597.997550881635,0.0007035809647822749
ECs,Ccl12,Ccr1,Inflammatory-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,5134.207171202536,0.2535318117026685,36410.86551006385,0.002499542523433472
Neutrophils,Has2,Cd44,FAPs,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,9799.509840086344,0.08467558238052365,36140.91992788737,0.0001004676453703728
FAPs,Vcan,Selp,FAPs,3.0,1.0,20993.27281312897,0.3758525862401488,2.0,0.6666666666666666,1.7205686495996668,0.0011360640022002868,36120.3670547627,0.0004269925933613122
Neutrophils,Fn1,Tnfrsf11b,ECs,3.0,1.0,3926.963889919477,0.029122257091676082,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,35446.85218840404,0.0009292774360321213
ECs,Ccl12,Ccr5,Resolving-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,4927.223790802037,0.3546067303505873,34942.97693929241,0.003496029139911166
Inflammatory-Mac,Gnai2,Adcy1,ECs,3.0,1.0,4674.2523155706185,0.1961212380262816,3.0,1.0,7.434171776531496,0.0996820233635578,34749.19464080209,0.01954976183102568
Neutrophils,Ctf1,Il6st,FAPs,1.0,0.3333333333333333,1.9787141421587062,0.0408159760366233,3.0,1.0,17514.063095627967,0.5570209699305679,34655.32433397896,0.022735354560582732
Resolving-Mac,B2m,Gm11127,Resolving-Mac,3.0,1.0,29480.01753055873,0.2928961976929511,2.0,0.6666666666666666,1.171485288388913,0.3648354070357528,34535.40683849681,0.1068589035045322
Inflammatory-Mac,B2m,Gm11127,Resolving-Mac,3.0,1.0,29321.148711246165,0.2913177701000779,2.0,0.6666666666666666,1.171485288388913,0.3648354070357528,34349.29435388842,0.1062830372312098
Inflammatory-Mac,Thbs1,Tnfrsf11b,Resolving-Mac,3.0,1.0,79898.76227173874,0.4752721825430349,1.0,0.3333333333333333,0.42686015269,0.00150898599634883,34105.59786305641,0.0007171790679115846
ECs,Fn1,Tnfrsf11b,ECs,3.0,1.0,3634.6689746950397,0.02695460597331291,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,32808.443752314466,0.0008601087151069687
ECs,Bmp10,Bmpr2,ECs,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,6523.973256711023,0.2595055467716481,32785.11158758469,0.009760620323403808
ECs,Ltf,Lrp1,Neutrophils,2.0,0.6666666666666666,3.770677674134593,0.005138612445898191,3.0,1.0,8649.378847096426,0.06855625472158285,32614.0197138785,0.0003522840237564922
Resolving-Mac,Gnai2,Adcy1,ECs,3.0,1.0,4294.025951830644,0.1801677849064083,3.0,1.0,7.434171776531496,0.0996820233635578,31922.526538793165,0.01795948934440104
Resolving-Mac,Rtn4,Tnfrsf19,FAPs,3.0,1.0,4781.341205602354,0.1904310971828384,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,31858.6031809925,0.018569144549890382
Inflammatory-Mac,Rarres2,Ccrl2,Neutrophils,3.0,1.0,2.45136967247381,0.00575336390547033,3.0,1.0,12879.050526745172,0.8779744069259894,31571.313871520953,0.0050513062627347075
FAPs,Rtn4,Tnfrsf19,FAPs,3.0,1.0,4713.687117403197,0.1877365724269865,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,31407.8165383276,0.01830639849409976
MuSCs,Rtn4,Tnfrsf19,FAPs,3.0,1.0,4580.40531601637,0.182428229311281,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,30519.7452129314,0.01778877615145627
FAPs,Wnt3a,Lrp1,Resolving-Mac,1.0,0.3333333333333333,0.6144973600656134,0.6738299154793083,3.0,1.0,49336.8402663671,0.3910510856620129,30317.358097661436,0.2635019199997259
ECs,Cd34,Sele,MuSCs,3.0,1.0,7736.0428962674,0.7040967968455678,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,30257.43748051189,0.0051854929124832425
MuSCs,Fn1,Tnfrsf11b,ECs,3.0,1.0,3334.55774746823,0.024728989298346042,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,30099.481151742286,0.0007890903407140478
ECs,Bmp7,Eng,ECs,2.0,0.6666666666666666,3.3524605866956763,0.2746838885507227,3.0,1.0,8635.434097246025,0.7328519886618379,28949.952460025263,0.2013026339777637
ECs,Rtn4,Tnfrsf19,FAPs,3.0,1.0,4180.100771909037,0.1664849133537594,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,27852.471936696547,0.01623412597614618
Inflammatory-Mac,Sdc2,Ptprj,Resolving-Mac,3.0,1.0,5.754440001434325,0.001638724078741174,3.0,1.0,4723.6081412672,0.3103991044372393,27181.71963920882,0.0005086584864610003
Inflammatory-Mac,Rtn4,Tnfrsf19,FAPs,3.0,1.0,4073.903598477003,0.1622552958918886,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,27144.868471093654,0.01582169135174862
ECs,Vwf,Tnfrsf11b,ECs,3.0,1.0,2968.67217042237,0.6338187255092546,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,26796.80449594053,0.020224855453210632
Inflammatory-Mac,Col4a5,Cd93,ECs,1.0,0.3333333333333333,1.265112835644327,0.003484492403834992,3.0,1.0,20929.1024388294,0.4838930647121877,26477.676133878052,0.0016861217082580519
ECs,Thbs1,Tnfrsf11b,ECs,3.0,1.0,2927.3098383587626,0.0174128972251749,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,26423.44621918378,0.0005556373064204026
Neutrophils,Vegfc,Kdr,ECs,3.0,1.0,2.8301765143095965,0.009264030926652235,3.0,1.0,8949.808769213929,0.9203783370794464,25329.538586191342,0.00852641337892475
