Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
MuSCs,Il1rn,Il1r2,Neutrophils,2.0,1.0,21.04752970146795,0.0008165935063132268,3.0,1.0,8815.705896556441,0.9416208401096388,185548.8316971778,0.0007689214634427362
FAPs,Col3a1,Mag,ECs,3.0,1.0,94454.49502976467,0.9298611136923024,1.0,0.5,1.6099260748725148,0.03329264597637535,152064.7544373345,0.03095753686535593
Resolving-Mac,Psap,Gpr37,Neutrophils,3.0,1.0,103477.31723535,0.4819755483116264,1.0,0.3333333333333333,1.4512309834885633,0.2108873976900811,150169.488860215,0.1016425691336888
MuSCs,Il1rn,Il1r1,FAPs,2.0,1.0,21.04752970146795,0.0008165935063132268,3.0,1.0,7039.24040175515,0.6944452429288254,148158.6214317147,0.0005670794758657902
Resolving-Mac,B2m,Gm11127,Neutrophils,3.0,1.0,35679.19579854713,0.2923940807750987,2.0,0.6666666666666666,2.9478669197283303,0.2892583024208338,105177.52101704711,0.0845774154429052
Inflammatory-Mac,B2m,Gm11127,Neutrophils,3.0,1.0,34789.15453556323,0.2851001160116697,2.0,0.6666666666666666,2.9478669197283303,0.2892583024208338,102553.7978207037,0.08246757557751838
Inflammatory-Mac,Psap,Gpr37,Neutrophils,3.0,1.0,50981.7732200183,0.237462361395885,1.0,0.3333333333333333,1.4512309834885633,0.2108873976900811,73986.32889007806,0.05007781944411974
FAPs,Fn1,Mag,ECs,3.0,1.0,44739.70392750497,0.3803171278123639,1.0,0.5,1.6099260748725148,0.03329264597637535,72027.61593496651,0.01266176349500893
Neutrophils,Psap,Gpr37,Neutrophils,3.0,1.0,49327.8740840257,0.2297588475803003,1.0,0.3333333333333333,1.4512309834885633,0.2108873976900811,71586.13922036064,0.0484532454624815
Neutrophils,B2m,Gm11127,Neutrophils,3.0,1.0,24060.813247387166,0.1971804356772404,2.0,0.6666666666666666,2.9478669197283303,0.2892583024208338,70928.07543373381,0.057036078094598965
