,Sender group,Ligand,Receptor,Target group,weight D0,weight D2,weight D4,weight D7
0,ECs,Dll1,Notch3,MuSCs,1035.507202071507,349.611320343278,657.5836068543379,1522.824488618077
1,ECs,Gnas,Adrb2,MuSCs,795.5744536754559,1183.110169690405,490.166936937986,1696.251995062513
2,ECs,Cd200,Cd200r4,MuSCs,-1.0,-1.0,2.041010053029,-1.0
3,ECs,Fat4,Dchs1,MuSCs,15.08306710971733,4.742159813399223,7.456961190947665,41.93330647662933
4,ECs,Bmp6,Bmpr2,MuSCs,954.2427502691742,102.4031999591502,73.740291026382,327.2205706781442
5,ECs,Bmp4,Bmpr2,MuSCs,68.52617755026655,100.8237162798667,236.72681321346,298.0283322929771
6,ECs,Cd9,L1cam,MuSCs,120.9206242035523,202.2631561101731,61.23755282468344,241.8263189312442
7,ECs,Arf1,Insr,MuSCs,203.50333944871,216.095116851623,174.2410746997302,605.6728840546269
8,ECs,Adam10,Epha3,MuSCs,3.839579485951667,1.84759494166,76.71770495001356,178.4878170571642
9,ECs,Apoe,Lrp1,MuSCs,1276.085420987734,211.6612189498261,631.3256897364666,803.933478404748
10,ECs,Cd38,Pecam1,MuSCs,139.2729598764833,42.44501469706799,55.8121692242871,320.278225387218
11,ECs,Lama3,Sdc2,MuSCs,72.93339261432,46.19958764232466,109.1171153995858,389.9972577473185
12,ECs,Cd274,Cd80,MuSCs,4.124712075386666,2.323392515933889,9.523910821098443,15.84364814299778
13,ECs,Kitl,Kit,MuSCs,69.80131777632,3.425003049288,2.902968778347,46.57821019240044
14,ECs,Col4a2,Cd93,MuSCs,260.0949451127529,220.0087625573383,125.7724877884455,1550.018456459973
15,FAPs,Ptn,Ptprs,MuSCs,102.7712549328283,41.948708688445,1255.829603232891,8370.403635177461
16,FAPs,Tgfb3,Tgfbr3,MuSCs,904.645225191442,41.21089130683689,596.8180378876301,1254.174491409528
17,FAPs,Cxcl14,Cxcr4,MuSCs,4073.894730257752,1151.625340784056,1042.130228578209,3887.19158263675
18,FAPs,Col1a2,Itgb1,MuSCs,172408.3831369378,90449.17371516173,153251.8768677488,594363.8254312156
19,FAPs,Anxa1,Egfr,MuSCs,3861.185076616421,1855.370460741624,2269.379260387552,4507.643472387494
20,FAPs,Adam12,Itgb1,MuSCs,766.0973356565613,6507.851023161734,5730.264405479921,12213.24658645744
21,FAPs,Ncam1,Fgfr1,MuSCs,58.0692317346729,86.85354689278422,439.4381644555328,419.3919098804276
22,FAPs,Hp,Cd163,MuSCs,0.66166783088,0.1366156355746667,9.152257159966222,1.456029849263889
23,FAPs,Fstl1,Dip2a,MuSCs,2388.626978898148,998.8374240661444,1786.468011405856,4664.654530434273
24,FAPs,Col14a1,Cd44,MuSCs,2033.193845162474,7093.392578738025,7348.211464822713,19004.42925321858
25,FAPs,Il16,Kcnj10,MuSCs,8.286832696234667,0.0955781450866666,0.2270239025926667,5.774893643099112
26,FAPs,Angptl2,Itgb1,MuSCs,4879.685531318279,4430.87869037741,3785.794862726654,21402.84566290225
27,FAPs,Vegfa,Nrp1,MuSCs,967.2614967730568,311.2267262979832,138.5602809880222,384.2437120346011
28,FAPs,Cd34,Selp,MuSCs,-1.0,11.77653457188,-1.0,15.08205585553611
29,FAPs,Cxcl1,Xcr1,MuSCs,-1.0,-1.0,7.927623821160999,-1.0
30,Inflammatory-Mac,Plau,Igf2r,MuSCs,-1.0,524.314557197353,1093.067619304771,-1.0
31,Inflammatory-Mac,Timp2,Itgb1,MuSCs,-1.0,1400.195274093226,2879.279492148814,-1.0
32,Inflammatory-Mac,Selplg,Selp,MuSCs,-1.0,13.397623934184,-1.0,-1.0
33,Inflammatory-Mac,Anxa2,Robo4,MuSCs,-1.0,5.599666863064445,3.60884114869489,-1.0
34,Inflammatory-Mac,Pltp,Abca1,MuSCs,-1.0,26.24133921171555,576.9818035633216,-1.0
35,Inflammatory-Mac,C1qa,Cspg4,MuSCs,-1.0,249.9049855767317,509.4775015606755,-1.0
36,Inflammatory-Mac,Mrc1,Ptprc,MuSCs,-1.0,4.090942644796001,20.12906189426166,-1.0
37,Inflammatory-Mac,App,Cav1,MuSCs,-1.0,8705.107280680266,5692.374753917348,-1.0
38,Inflammatory-Mac,Rps19,C5ar1,MuSCs,-1.0,21.640011532425,12.98292028785333,-1.0
39,Inflammatory-Mac,Hgf,Cd44,MuSCs,-1.0,1798.089489684178,973.038779866057,-1.0
40,Inflammatory-Mac,Sema4a,Plxnd1,MuSCs,-1.0,355.5607874047058,521.0746659825866,-1.0
41,Inflammatory-Mac,C1qb,Lrp1,MuSCs,-1.0,1666.992391785802,7786.430556408607,-1.0
42,MuSCs,Dag1,Lama4,MuSCs,2337.877453793908,229.8941627160172,235.8180055940716,5358.875829422593
43,MuSCs,Fgf1,Fgfr1,MuSCs,540.0922072287965,18.03089541610311,9.185972580009777,270.1002865606874
44,MuSCs,Vim,Cd44,MuSCs,3003.113750845375,114276.6525470447,21731.39364248672,31204.25466431728
45,MuSCs,Lamb1,Itgb1,MuSCs,1684.729261175125,1308.619604418191,1171.257646148684,8675.257666147425
46,MuSCs,Bsg,Slc16a1,MuSCs,114.7575102399094,788.7705765787077,162.16432288838,427.0881568628609
47,MuSCs,Col18a1,Itgb1,MuSCs,1596.753015713648,1222.510913271187,1304.617977013227,6082.344055904149
48,MuSCs,Spp1,Cd44,MuSCs,24.54999653145056,17071.70121214019,7120.677851585078,1054.184043709439
49,MuSCs,Pdgfc,Pdgfrb,MuSCs,119.118415066618,12.763505386639,65.09824767767822,946.874555124525
