"gene"	"Young.FAPs.D0_1"	"Young.FAPs.D0_2"	"Young.FAPs.D0_3"	"Young.MuSCs.D0_2"	"Young.MuSCs.D0_1"	"Young.MuSCs.D0_3"	"Young.ECs.D0_2"	"Young.ECs.D0_1"	"Young.ECs.D0_3"
"ENSMUSG00000009772"	4.263451	2.053098	1.493979	0.589508	0.580845	1.356789	50.95425	5.498208	2.467417
"ENSMUSG00000009905"	6.140072	6.973263	6.874159	4.608726	2.948454	3.743091	7.442609	3.590093	5.509327
"ENSMUSG00000009907"	11.705367	14.684546	12.588625	18.524336	8.587244	12.107896	84.466263	15.406436	14.900394
"ENSMUSG00000010175"	0.238212	0.547424	0	33.112331	15.45443	0.934046	0	0	0.557543
"ENSMUSG00000010290"	4.076283	4.514671	4.60087	4.462187	2.701372	3.804526	2.913235	2.149979	2.870163
"ENSMUSG00000010311"	8.049932	8.006467	6.933194	1.982314	2.312065	0	0	0	0.136525
"ENSMUSG00000010453"	9.813167	10.076033	8.411733	17.238226	8.354398	9.399451	15.755919	9.334452	14.873375
"ENSMUSG00000010609"	3.587963	6.290316	6.622469	3.756945	1.813502	0.795153	19.327059	3.001356	5.478808
"ENSMUSG00000012187"	0	0	0	0	0.532819	0.139696	0	0	0
"ENSMUSG00000013275"	7.343237	5.198391	4.424432	15.945098	8.639381	4.014514	2.577172	4.053066	7.596454
"ENSMUSG00000013465"	15.12324	17.080442	9.478172	8.879348	6.438714	10.690281	11.916812	10.896153	13.512971
"ENSMUSG00000013698"	41.237598	41.917465	39.254528	27.00341	18.45883	26.165171	5.536574	44.717373	49.857582
"ENSMUSG00000013973"	8.980806	7.658557	4.125525	7.861176	4.639209	5.78296	8.775382	5.816199	6.593684
"ENSMUSG00000013997"	7.662971	6.667527	6.075588	7.702297	4.414445	7.99066	8.25894	4.604785	5.758326
"ENSMUSG00000014602"	0.36315	0.459083	0.27054	0.616183	1.291215	0.420645	0.616287	0	0
"ENSMUSG00000014852"	0	0	0	0	0	0	0.144951	0	0
"ENSMUSG00000014867"	38.376812	43.556061	48.336899	24.553741	9.289255	28.494108	45.618725	10.3063	20.841841
"ENSMUSG00000014873"	19.975624	13.626508	12.32597	16.260199	7.470826	25.743114	11.654995	6.889579	12.894995
"ENSMUSG00000014980"	14.790485	13.192101	11.548479	7.494612	3.85889	14.132492	0.941755	6.476576	8.897709
"ENSMUSG00000015085"	95.430435	67.260231	70.441605	3.728887	3.315139	1.969337	0	0.179755	0.635214
"ENSMUSG00000015087"	13.659874	13.316104	10.53759	18.35882	8.868885	10.35229	6.377269	7.273602	12.887529
"ENSMUSG00000015090"	0	0	0	1.889226	0	0.589153	0	0	0
"ENSMUSG00000015092"	21.022087	18.709127	19.86294	22.922764	14.488227	35.433697	28.07839	15.544938	19.831579
"ENSMUSG00000015093"	0.504756	1.024123	1.217725	0.475749	0.275647	0	1.810055	0	0
"ENSMUSG00000015094"	62.037319	58.414829	54.843216	17.203161	13.636849	8.16528	0	8.995701	28.892353
"ENSMUSG00000015095"	6.54803	7.68435	5.254258	10.327381	6.411227	5.762052	3.803981	4.88109	8.944589
"ENSMUSG00000015222"	7.732159	6.073548	6.095038	55.262806	30.685244	15.063128	0	1.098904	3.087664
"ENSMUSG00000015314"	0.004415	0	0	0	0	0.000592	0.349195	0	0
"ENSMUSG00000015316"	0	0	0	0	0	0	0.407827	0	0
"ENSMUSG00000015335"	1.479981	1.264773	1.236001	2.148863	1.034232	3.600182	1.732543	2.447526	3.997492
"ENSMUSG00000015355"	0	0	0	0.107785	0	0	34.17894	0	0.172608
"ENSMUSG00000015488"	15.701117	12.893076	11.625199	8.446807	5.143296	5.26589	119.827446	3.311729	5.337158
"ENSMUSG00000015619"	0	0	0	0	0	0.049703	0	4.110767	1.145038
"ENSMUSG00000015790"	22.758537	21.456717	20.614836	14.517271	8.774755	9.293571	12.345115	12.678296	16.587116
"ENSMUSG00000015829"	0	0.01792	0	0	0.018242	0.000107	0	0	0
"ENSMUSG00000015846"	9.3783	8.347723	7.218868	6.52226	5.169084	5.282434	3.474573	8.632437	9.801965
"ENSMUSG00000015962"	0	0	0	1.064005	0	1.507815	0	0	1.149397
"ENSMUSG00000016179"	0	0	0	0.443598	0.183617	0	0.066681	0.090226	0
"ENSMUSG00000016181"	3.099767	4.382411	2.868952	8.214707	2.841634	5.83568	1.816109	3.119433	1.967794
"ENSMUSG00000016194"	49.214367	48.670834	59.694027	1.94508	13.864732	0.469554	6.624038	0	0
"ENSMUSG00000016200"	0	0.046511	0.177998	0.915583	0.071812	0.497928	0	0	0.035707
"ENSMUSG00000016262"	36.50491	21.731298	21.485218	10.471638	1.547122	6.486757	0	0	0
"ENSMUSG00000016493"	3.861483	3.425564	5.761314	3.369071	2.558612	1.422977	21.05587	6.541124	5.032077
"ENSMUSG00000016494"	264.702972	275.620087	348.004395	8.45717	13.828463	22.401566	1.318769	65.270081	252.327942
"ENSMUSG00000016524"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0	0	0.197411	0	0	1.237279	1.267433	0	0
"ENSMUSG00000016529"	0	0	0	1.037352	0	0.807035	49.781528	0	1.732493
"ENSMUSG00000016918"	65.454918	85.374306	98.45266	48.33403	33.512341	9.422212	0	10.033991	15.400718
"ENSMUSG00000017418"	11.169386	16.000896	11.281742	16.071312	8.456416	7.510766	39.941113	13.85289	15.245235
"ENSMUSG00000018196"	4.550473	4.830405	8.275938	4.821838	5.193871	1.769875	7.927479	3.370743	4.772321
"ENSMUSG00000018199"	12.076789	8.986296	9.421064	6.783596	5.010595	6.221176	5.42248	8.227739	11.027888
"ENSMUSG00000018417"	8.00029	13.603553	11.450332	38.054859	62.99992	35.666611	0.16584	46.734138	62.134254
"ENSMUSG00000019230"	0	0.520741	0.262698	0.05007	0.110959	0.05944	0	0	0
"ENSMUSG00000019699"	20.502434	17.360275	19.356407	19.867315	9.600511	7.510274	6.412106	27.288921	26.744797
"ENSMUSG00000022591"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000022995"	3.895853	3.984366	3.471409	39.892944	13.845082	16.161745	1.591984	28.738308	36.14603
"ENSMUSG00000023094"	2.607218	1.991513	0.812124	0.658106	1.197872	0.292081	3.059432	0.966643	1.353034
"ENSMUSG00000023150"	24.389103	25.507509	25.42585	96.61171	27.192629	90.375923	97.263237	22.266035	40.948822
"ENSMUSG00000023206"	8.38818	5.218216	6.445421	3.208408	8.894242	4.333143	1.942883	6.403139	6.413761
"ENSMUSG00000025776"	13.063684	6.236693	6.521467	0.218345	1.483417	0	0	3.104495	3.574815
"ENSMUSG00000025779"	0	4.651664	5.41325	2.88677	0.983967	3.684911	18.168306	5.387688	9.321077
"ENSMUSG00000025780"	133.903671	115.434769	121.780312	35.813877	14.029637	2.054766	3.157861	1.083627	6.159909
"ENSMUSG00000025781"	49.917522	51.369778	59.09539	106.185905	41.327881	114.52681	67.965782	40.204025	52.184086
"ENSMUSG00000025782"	5.682781	4.530547	5.656363	5.18553	3.398132	5.272478	5.539111	5.987526	5.257656
"ENSMUSG00000025815"	0.76414	1.15469	0.900278	3.39564	1.563882	0.79061	0.249812	0	1.13387
"ENSMUSG00000025816"	15.776346	8.832405	7.103117	24.131733	8.074349	14.329537	7.778328	7.433719	8.024833
"ENSMUSG00000025817"	7.385034	6.489419	7.099114	13.461306	4.69113	26.166035	5.205509	4.005795	7.907961
