"gene"	"Young.ECs.D7_2"	"Young.ECs.D7_1"	"Young.ECs.D7_3"	"Young.FAPs.D7_1"	"Young.FAPs.D7_2"	"Young.FAPs.D7_3"	"Young.M2.D7_2"	"Young.M2.D7_1"	"Young.M2.D7_3"	"Young.sCs.D7_3"	"Young.sCs.D7_1"	"Young.sCs.D7_2"
"ENSMUSG00000000001"	817.592994421475	1091.13733686742	946.022322310624	1155.64327489697	991.270900749022	1093.36230985226	1220.98261161398	1148.75429732226	1057.88268325268	1114.78079683565	1101.23936851561	1335.0970255417
"ENSMUSG00000000028"	196.88182427943	153.090761294178	147.180545538603	13.0686638518235	62.6725543150066	35.9133605425925	21.0332921897326	42.8639663179948	35.1208536693547	195.035314363511	154.266443184465	146.890855862161
"ENSMUSG00000000037"	28.1259748970614	7.8008031232702	8.71463756478568	60.6759393120377	47.004415736255	41.8989206330246	28.394944456139	10.4778584332876	5.32134146505375	79.0406273999493	132.892176960111	113.689498030303
"ENSMUSG00000000049"	0	0	0	2.8004279682479	4.17817028766711	2.99278004521604	0	0	0	4.10600661817918	0	0
"ENSMUSG00000000056"	297.747389427512	257.426503067916	240.136679562983	234.302473343407	229.799365821691	302.27078456682	450.112452860277	351.484523807558	348.015731814515	265.863928527102	150.549179493273	335.031883576025
"ENSMUSG00000000058"	5334.2366184082	5389.3798577893	5666.4510032362	119.484926645244	161.9040986471	159.614935744856	695.150306870661	581.997409339885	551.290975779568	607.688979490519	684.905835102112	656.984444369802
"ENSMUSG00000000078"	2858.18096626345	3510.36140547159	2991.057270847	4159.56900883754	3714.39338573606	3177.33481467103	6866.3182353382	8548.97994897786	6668.70512400536	2895.76116747087	3350.18390168672	3544.49647398899
"ENSMUSG00000000085"	508.207270553799	554.832122142593	484.146531376982	480.740134549222	362.456272455122	469.866467098919	315.499382845988	381.965566522576	371.429634260752	606.662477835975	656.097041495374	511.099690260122
"ENSMUSG00000000088"	135.780568468572	175.518070273579	181.070802734991	95.2145509204285	115.944225482762	107.740081627778	380.702588634159	273.376851850323	326.7303659543	316.162509599797	353.140050663233	274.665778427191
"ENSMUSG00000000093"	90.1970919112659	113.111645287418	25.1756196316031	63.4763672802856	131.612364061514	69.8315343883744	7.3616522664064	7.62026067875464	9.57841463709675	610.768484454154	593.83287466791	625.795290042905
"ENSMUSG00000000094"	3.87944481338778	0	0	75.6115551426932	55.3607563115892	87.7882146596706	4.20665843794651	12.3829236029763	2.1285365860215	185.796799472608	234.187612545091	205.244757506033
"ENSMUSG00000000120"	6.78902842342862	7.8008031232702	0	28.004279682479	56.405298883506	5.98556009043209	4.20665843794651	1.90506516968866	0	252.51940701802	250.915299155455	367.227139655403
"ENSMUSG00000000125"	14.5479180502042	7.8008031232702	16.4609820668174	3.73390395766386	4.17817028766711	12.9687135292695	4.20665843794651	6.66772809391031	5.32134146505375	4.10600661817918	0	7.04271226736388
"ENSMUSG00000000126"	26.1862524903675	14.6265058561316	6.77805143927775	56.0085593649579	143.102332352598	159.614935744856	0	2.85759775453299	0	167.319769690802	131.962861037313	174.055603179136
"ENSMUSG00000000127"	449.045737149636	642.591157279382	446.383101929578	891.469569892247	966.201879023019	792.089118633846	359.669296444427	331.481339525827	367.172561088709	655.934557254125	749.95794969797	584.545118191202
"ENSMUSG00000000131"	931.066755213067	973.150189627957	942.149150059608	855.99748229444	877.415760410093	912.797913790894	1623.77015704735	1638.35604593225	1620.88061025537	1899.02806090787	1898.59243027627	1752.62925282113
"ENSMUSG00000000134"	454.864904369717	453.42168154008	401.841621042895	547.950405787172	504.514062235803	385.071032484464	1310.37410342034	1460.23245256636	1336.7209760215	458.846239581524	467.445909167384	428.599346556716
"ENSMUSG00000000142"	8.72875083012251	5.85060234245265	10.6512236902936	41.0729435343025	34.4699048732537	50.8772607686728	0	3.81013033937732	1.06426829301075	68.7756108545013	74.3452738238384	61.3722069013138
