"gene"	"Old.Inflammatory-Mac.D2_1"	"Old.Resolving-Mac.D2_3"	"Old.Inflammatory-Mac.D2_2"	"Old.Resolving-Mac.D2_2"	"Old.Inflammatory-Mac.D2_3"	"Old.Resolving-Mac.D2_1"	"Old.FAPs.D2_1"	"Old.FAPs.D2_2"	"Old.FAPs.D2_3"	"Old.MuSCs.D2_1"	"Old.MuSCs.D2_2"	"Old.ECs.D2_2"	"Old.Neutrophils.D2_2"	"Old.Neutrophils.D2_1"	"Old.Neutrophils.D2_3"	"Old.ECs.D2_1"
"ENSMUSG00000009551"	0.738441	1.250704	0	0.965904	1.362565	1.249887	0.225956	0.392101	0	0.546508	0	12.166158	9.691224	7.999199	3.655324	7.160281
"ENSMUSG00000009563"	8.207829	9.247947	6.804904	7.178685	5.567698	6.801175	2.533728	5.619904	4.686649	5.588276	3.790349	10.107848	10.130333	7.416728	4.555195	7.795419
"ENSMUSG00000009614"	0	0.158059	0.339277	0.371976	0	0.542078	1.590089	2.479251	2.85184	1.334602	2.873674	1.401845	0.880986	0.234987	0.352467	1.116079
"ENSMUSG00000009633"	0.119537	0	0	0.469633	1.602257	0.153915	1.069656	2.022967	1.529642	4.420842	3.300899	0	1.365279	0.539176	0.368386	0
"ENSMUSG00000009772"	14.400532	27.351711	25.777245	30.074287	26.456764	36.712109	1.123229	2.318635	1.945053	1.94604	0.629789	6.438572	2.218154	2.613396	1.4029	3.891465
"ENSMUSG00000009905"	2.220726	3.104049	3.166304	4.232033	2.547404	4.226165	2.143773	6.334649	7.125454	3.00533	6.820461	6.16942	4.188636	4.246421	2.438511	4.37894
"ENSMUSG00000009907"	24.82774	31.540453	25.798382	23.809124	25.219975	29.853333	6.088758	11.408713	12.745036	8.78026	14.145789	19.060104	16.053179	7.731414	8.048148	15.315659
"ENSMUSG00000010175"	0	0	0	0	0	0	0	0.317349	0.135063	3.24624	39.301922	1.109868	0	0.297404	0	0
"ENSMUSG00000010290"	2.589365	3.077772	2.9237	2.844375	2.198702	2.341695	1.499225	3.127695	3.414665	4.626298	4.731379	3.104293	3.07658	1.666089	1.166302	2.728408
"ENSMUSG00000010311"	0	0	0	0	0	0	0.742154	1.033681	1.165255	0	1.601659	0	0.45763	0	0	0.449883
"ENSMUSG00000010453"	6.548259	6.843768	8.8155	8.858502	8.087823	10.294139	2.929585	10.343713	7.951287	14.602527	16.553404	11.65829	9.980593	10.143783	6.707013	13.057326
"ENSMUSG00000010609"	11.347246	12.305224	11.636075	10.726993	9.387415	11.634043	1.345634	4.051634	3.025764	1.27323	2.597426	5.681659	2.017467	1.305498	3.117609	4.133716
"ENSMUSG00000012187"	0	0	0	0	0	0	0	0	0.39734	0.2183	0	0	0	0	0	0
"ENSMUSG00000013275"	1.147883	2.384416	2.586061	2.049274	1.916424	3.186698	3.42195	5.574789	6.016854	6.21291	18.144428	6.920099	4.001893	4.590084	2.656078	5.523182
"ENSMUSG00000013465"	5.38006	10.638152	7.832593	6.328891	6.696589	9.055687	5.424899	10.803776	10.865866	10.606228	8.459281	20.10441	21.064741	12.999586	8.604398	14.418506
"ENSMUSG00000013698"	23.552128	49.555416	48.135742	40.499336	15.247044	34.634697	13.911554	30.600256	33.910851	28.026817	23.473213	44.279369	42.533047	28.995302	22.932095	47.079956
"ENSMUSG00000013973"	5.574777	7.41973	4.005122	6.61243	6.080759	7.256344	2.043897	4.559786	7.933584	8.542332	7.050102	8.119766	3.368768	3.857492	3.14814	6.476327
"ENSMUSG00000013997"	5.331523	8.831998	10.579714	6.721963	6.723639	5.123496	2.297231	6.601512	7.473088	6.617928	9.09354	9.594275	8.507061	3.116938	3.498584	6.301048
"ENSMUSG00000014602"	0.48369	1.127305	1.487834	1.307667	0.826765	2.788726	0.039043	0	0.089317	2.18258	0.560493	0	0	0	0	0
"ENSMUSG00000014852"	0	0	0	0	0	0	0	0	0	0	0.086011	0.009494	0	0	0	0
"ENSMUSG00000014867"	47.376862	35.174389	31.780043	32.09132	49.627949	30.030338	49.002556	113.130455	98.662399	30.892099	22.443539	21.951321	28.283098	11.505762	11.814375	18.611376
"ENSMUSG00000014873"	14.635068	12.455477	12.506467	11.804418	10.673543	9.880311	6.110778	11.999782	17.275867	24.789955	12.87268	16.002298	8.492986	5.731673	5.237117	10.486125
"ENSMUSG00000014980"	3.974363	5.950087	3.601466	4.880002	2.125135	4.219311	6.529896	15.101231	17.73843	14.972837	8.88541	8.61972	9.920569	7.339326	5.294221	7.457911
"ENSMUSG00000015085"	0	0.164617	0	0	0	0	4.278681	8.763819	12.038939	5.262716	4.561412	0	0.682319	0.180977	0.213184	0
"ENSMUSG00000015087"	11.113072	13.408925	14.17818	12.254037	11.13778	10.679502	7.198117	17.134754	15.360304	12.476682	19.307077	13.041065	10.957955	6.442013	5.236232	10.38534
"ENSMUSG00000015090"	0	0	0	0	0	0	0	0	0	0.621458	0.56711	0	0	0	0	0
"ENSMUSG00000015092"	36.769413	43.778713	29.252087	29.490295	30.008278	26.284925	21.273079	36.554016	48.451424	38.627922	29.264233	34.771557	26.098139	14.277417	16.039207	19.053247
"ENSMUSG00000015093"	0	0	0.305425	0.676224	0	0	0.050578	0	0	0	0	0.639387	0.590651	0	0.052172	0
"ENSMUSG00000015094"	0	0.121055	0	0	0	0	20.261251	37.658092	50.499363	13.50709	19.997023	32.209854	30.86763	12.666524	15.371197	22.855894
"ENSMUSG00000015095"	6.358241	9.157594	8.478903	7.385566	5.968026	7.529868	3.186274	7.117661	7.117935	7.408524	7.971185	9.044926	5.770319	4.853324	4.124276	5.853778
"ENSMUSG00000015222"	0.020655	0.139252	0.485293	0	0.009216	0.049861	3.76767	6.58516	5.505083	21.705896	62.558628	4.744933	5.258988	0.790601	0.136928	1.508625
"ENSMUSG00000015314"	1.31689	3.105642	3.402435	3.199713	1.093931	5.460087	0.053064	0	0	0	0	0	0	0.009219	0.052904	0
"ENSMUSG00000015316"	0	0	0	0	0	0.228746	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000015335"	1.652566	2.764351	2.897604	1.260609	1.475378	1.48976	1.521644	1.758096	1.475813	3.225768	1.370319	5.026402	2.849772	2.517129	1.80314	3.963903
"ENSMUSG00000015355"	112.613472	114.439819	107.991798	123.869392	107.556244	96.631851	0	0	0	0	0	0	0.043494	0.200857	2.132818	0
"ENSMUSG00000015488"	7.189346	6.84485	6.900132	6.340525	7.819341	7.856139	3.887928	10.511579	7.139548	4.928519	9.43067	2.064555	3.507148	2.623779	2.330972	2.81979
"ENSMUSG00000015619"	0	0	0	0	0	0	0	0	0	0.182951	0.104242	0	0.470958	0.742892	0.377196	0
"ENSMUSG00000015790"	7.443137	17.143696	13.339423	15.5863	7.250331	13.937893	6.453613	11.859695	12.963871	12.343079	14.801151	14.957819	13.575167	11.462553	5.824646	14.47157
"ENSMUSG00000015829"	0.074697	0	0.003819	0	0.047326	0.044569	0.025771	0	0.052973	0.038762	0	0	0	0	0.002949	0
"ENSMUSG00000015846"	9.872538	17.957705	17.582762	7.283257	6.715878	10.062138	3.827823	7.596657	8.318455	6.210638	6.389614	6.900614	5.643931	3.72362	3.243001	7.211505
"ENSMUSG00000015962"	0.36208	0	0	0	0.8345	0.363851	0.284745	0	0	0.852346	0	0.394875	0.433297	0.489811	0.457397	0.631859
"ENSMUSG00000016179"	0	0	0	0	0	0	0	0	0	0	0.664314	0	0	0	0	0
"ENSMUSG00000016181"	2.324275	2.529572	1.756105	2.708656	3.3139	3.161896	1.188685	1.718015	3.196412	5.244527	11.093045	4.237593	3.03019	1.056497	1.521666	1.710956
"ENSMUSG00000016194"	0.308785	0	0	0.929901	0.854516	0.594674	6.299389	11.440179	19.351282	1.6094	1.634355	0	0.589084	0	0	0
"ENSMUSG00000016200"	0	0	0	0	0	0	0	0.08641	0	0.427811	0.947018	0	0	0	0.035456	0
"ENSMUSG00000016262"	0	0	0	0.353027	0	0	2.364616	9.302998	5.959229	3.738514	12.028462	0.859336	0	0.424969	0	0
"ENSMUSG00000016493"	0.422021	0	0.962337	0.507648	0.490276	0.626939	0.576559	0	0.519746	2.178882	3.110177	3.456854	3.644432	4.794814	1.621605	3.627144
"ENSMUSG00000016494"	0.268163	0.21299	0.302048	0.289617	0.033321	0.642911	31.752285	64.419449	76.543648	20.998955	6.221173	283.372803	218.597	157.633408	134.378372	274.584473
"ENSMUSG00000016524"	0	0	0	0	0	0.287617	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0.6255	0.687923	0	0.476537	0.745066	0.750425	0.102935	0.129021	0	1.181386	0	0	0.15724	0	0	0
"ENSMUSG00000016529"	14.625659	14.142791	20.026255	20.696959	21.592691	16.948565	1.585285	4.860799	2.836587	1.425982	1.080859	1.531979	1.309292	1.03762	0.897184	1.435696
"ENSMUSG00000016918"	0	0	0.027282	0.132133	0.043039	0.058704	21.175545	53.433292	52.025761	19.966	55.153965	10.256833	6.915734	8.464346	5.816074	10.689779
"ENSMUSG00000017418"	13.229787	25.454184	23.567999	39.999748	26.36013	28.832451	6.032631	14.447861	13.215333	14.301075	19.368183	13.889223	13.833364	13.675264	6.952768	13.04556
"ENSMUSG00000018196"	3.632193	4.666851	7.07574	2.887224	6.603298	3.689092	1.736977	3.94571	5.522479	3.355442	5.554566	6.797816	5.785707	2.980687	2.494783	4.712431
"ENSMUSG00000018199"	2.822999	3.332781	4.739153	2.698575	1.931975	2.78649	3.538655	8.160658	7.191385	6.4213	7.123517	10.084546	8.860759	5.979602	4.088619	10.476213
"ENSMUSG00000018417"	0.662602	0.268859	0.444612	0.18951	0.774719	0.479286	8.520866	19.943367	16.73313	46.580982	32.723907	48.918293	68.610542	40.188042	26.01462	60.228035
"ENSMUSG00000019230"	0	0	0	0.136358	0	0	0.193045	0	0.277407	0.14012	0.087934	0.871937	0.010485	0.0147	0.049036	0.040128
