"gene"	"Old.Inflammatory-Mac.D2_1"	"Old.Resolving-Mac.D2_3"	"Old.Inflammatory-Mac.D2_2"	"Old.Resolving-Mac.D2_2"	"Old.Inflammatory-Mac.D2_3"	"Old.Resolving-Mac.D2_1"	"Old.FAPs.D2_1"	"Old.FAPs.D2_2"	"Old.FAPs.D2_3"	"Old.MuSCs.D2_1"	"Old.MuSCs.D2_2"	"Old.ECs.D2_2"	"Old.Neutrophils.D2_2"	"Old.Neutrophils.D2_1"	"Old.Neutrophils.D2_3"	"Old.ECs.D2_1"
"ENSMUSG00000026000"	1.004477	2.826531	1.750968	1.822456	0.349911	1.665703	1.17062	2.309571	2.305961	2.592118	4.065721	1.660943	2.053496	1.822734	0.743806	1.122301
"ENSMUSG00000026003"	18.959164	23.369999	21.932779	16.419413	9.298814	17.017853	10.473399	22.633747	20.200331	24.602901	30.377691	15.7281	16.543453	7.927368	9.254519	16.989637
"ENSMUSG00000026004"	40.204777	39.068043	43.754562	50.638905	38.177761	57.012199	4.66604	16.650221	13.443735	14.775186	47.930023	16.563402	18.23815	17.328272	13.700864	17.767269
"ENSMUSG00000026011"	0.002917	0.013834	0	0.296918	0	0	0	0	0	0	0	0	0	0	0	0.139243
"ENSMUSG00000026020"	13.145413	8.751451	6.641069	9.837096	13.873509	8.893984	26.063841	39.197083	40.82457	57.927376	59.417263	14.311174	20.359724	14.901677	8.722934	17.630072
"ENSMUSG00000026023"	0.478271	0.283586	0	0	0	0	0	0	0	0.313804	0.197195	0	0	0	0	0
"ENSMUSG00000026024"	5.195063	4.962903	6.201724	5.665553	5.531789	5.871737	1.056999	2.798804	2.770379	3.572551	3.962136	4.128392	5.501041	3.130463	2.382219	4.940854
"ENSMUSG00000026028"	11.286426	9.73715	10.130242	11.045815	12.664207	9.868468	7.273457	13.100919	13.684112	14.907299	18.847485	13.687181	16.874062	12.858867	7.839293	16.783504
"ENSMUSG00000026029"	20.41712	27.674465	27.025139	30.174236	28.16597	25.781363	5.196841	9.384824	11.398805	5.44827	2.278006	23.447577	23.071608	14.949754	11.684389	21.531231
"ENSMUSG00000026032"	15.623735	14.577454	10.120861	10.584372	9.656505	11.736051	5.288206	9.824958	12.157133	14.031307	8.051525	8.925123	4.998072	4.380946	3.436937	6.842939
"ENSMUSG00000026036"	2.859074	1.961992	1.582489	1.791796	1.926165	1.181046	1.560582	4.206125	3.62362	4.617017	2.723925	2.883835	4.493627	1.00393	1.623243	3.277244
"ENSMUSG00000026037"	4.992419	4.854046	4.085683	2.93254	2.823587	2.490813	4.365294	7.198322	8.226241	10.695571	7.476299	3.253799	4.624037	2.80912	2.985569	3.719103
"ENSMUSG00000026039"	1.870455	3.350785	1.977827	1.825623	0.46687	0.075347	3.017866	8.276028	7.2665	6.537657	6.097867	6.652454	2.395516	4.556287	3.201016	8.555707
"ENSMUSG00000026042"	0	0.034694	0.572819	0.275894	0	0.281392	117.101151	248.618805	252.589951	40.645447	69.952744	10.071125	10.847438	4.262288	4.006639	5.434851
"ENSMUSG00000026043"	0.299392	0.701326	2.010935	1.29777	0.145143	1.944874	599.114746	1302.924561	1225.811401	61.309692	195.4552	21.046253	37.09045	12.771608	11.468913	20.063908
"ENSMUSG00000026047"	4.154874	4.983957	3.762428	3.202822	2.898825	3.950915	8.259445	15.500163	16.814072	11.20577	10.464935	7.605295	5.84488	4.868809	3.414479	6.136413
