"gene"	"Old.Resolving-Mac.D7_3"	"Old.Resolving-Mac.D7_1"	"Old.Resolving-Mac.D7_2"	"Old.FAPs.D7_1"	"Old.FAPs.D7_2"	"Old.FAPs.D7_3"	"Old.MuSCs.D7_1"	"Old.MuSCs.D7_3"	"Old.MuSCs.D7_2"	"Old.ECs.D7_1"	"Old.ECs.D7_2"	"Old.ECs.D7_3"
"ENSMUSG00000015846"	5.353528	13.330876	15.047113	8.606995	8.520713	9.442448	7.401591	4.508397	1.780641	7.650764	5.184794	7.907268
"ENSMUSG00000015962"	0	0	0	0	0.442032	0	0	0.900406	0.458264	0	1.15126	0.66838
"ENSMUSG00000016179"	0	0	0	0	0.357349	0.535822	0.033452	0.145319	0.402944	0	0	0
"ENSMUSG00000016181"	0.503463	1.539955	1.494274	2.577304	3.49888	4.465441	6.099656	2.781312	2.027699	1.849252	3.869724	2.725549
"ENSMUSG00000016194"	0.040108	0.691264	0	15.436973	12.799437	12.541641	6.001669	0.355021	0.249932	0	0.251762	1.101283
"ENSMUSG00000016200"	0	0	0	0	0	0	0	1.638585	0.392344	0	0.031656	0
"ENSMUSG00000016262"	0.110243	0.349804	0	31.347746	35.855164	36.741783	1.997367	11.770184	4.176314	0	0.933444	0.525862
"ENSMUSG00000016493"	0.383053	0.341972	1.072005	4.235747	4.575274	4.307916	5.045995	0.770338	0.461597	6.873638	3.895847	5.422241
"ENSMUSG00000016494"	0	0	0.492657	182.871643	114.337967	119.763138	7.637984	4.559026	0.250396	96.17009	191.659622	152.875076
"ENSMUSG00000016524"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0	0	0.375888	0	0	0.12816	0	0.8726	0.118512	0	0	0
"ENSMUSG00000016529"	10.726598	13.877585	15.638917	1.799112	2.061552	3.362944	0	2.232871	0.498802	0	1.146214	1.107288
"ENSMUSG00000016918"	0.138947	0.119584	0	139.164474	122.054634	104.03138	23.87624	20.602617	8.362854	6.8597	8.696136	11.55533
"ENSMUSG00000017418"	10.024119	29.827639	16.70122	23.702417	29.212893	23.159466	12.657182	14.665876	3.673053	20.240658	21.273851	23.85672
"ENSMUSG00000018196"	1.764151	2.250453	2.963511	5.240428	6.63044	6.835873	5.961181	3.520299	1.436583	1.078814	3.722979	3.716533
"ENSMUSG00000018199"	1.695702	3.433049	3.295832	13.409487	11.067257	11.645321	7.374064	8.571462	2.330056	7.298919	6.898097	10.255345
"ENSMUSG00000018417"	0.238711	0.747706	0.77701	19.655157	15.374152	16.667046	96.659775	14.579646	6.993986	40.104031	50.379803	67.017761
"ENSMUSG00000019230"	0.001702	0	0	0.806013	0.087958	0.41113	0.021911	0	0.026318	0	0	0.134521
"ENSMUSG00000019699"	2.572387	7.873737	7.944505	22.840918	18.555408	20.927633	15.602268	10.619229	4.196437	21.934982	18.949934	31.614717
"ENSMUSG00000022591"	0.175002	0.062708	0.190888	0	0	0	0	0	0	0	0	0
"ENSMUSG00000022995"	0.23105	1.159224	0.700083	12.435098	12.659681	9.900739	17.48555	24.42791	9.750516	30.465118	17.911533	31.30489
"ENSMUSG00000023094"	0.629492	1.608169	1.67634	2.196741	2.280317	2.685212	0.744126	0.579722	0.157256	0.899557	0.948276	1.01313
"ENSMUSG00000023150"	26.685604	71.903084	81.571068	31.332838	31.18927	26.221062	27.424242	70.265495	25.50536	27.094788	41.495632	36.493225
"ENSMUSG00000023206"	0.275522	1.391428	3.536443	13.330174	10.174439	13.106476	13.218616	2.317203	0.737573	5.763457	3.75312	7.334341
"ENSMUSG00000025776"	0.011801	0	0	6.570808	6.631644	7.06747	1.69063	0	0	2.021405	0.693265	3.380256
"ENSMUSG00000025779"	11.880294	29.003052	23.474236	11.011318	10.461558	8.264813	2.383232	2.789217	2.284877	5.127877	7.452964	10.968395
"ENSMUSG00000025780"	0	0.133466	0	127.660461	91.078384	101.982559	18.180185	5.816374	3.312855	2.282762	1.337172	1.948467
"ENSMUSG00000025781"	33.753326	87.442955	119.10202	79.864975	76.861115	72.044914	60.366333	146.455429	38.619522	31.687141	68.317474	74.105103
"ENSMUSG00000025782"	1.444108	3.52038	5.471775	4.821043	4.038177	4.678102	4.627343	2.067676	1.276981	4.118403	5.49368	7.374123
"ENSMUSG00000025815"	0.069339	0	0.130624	2.975306	2.792729	2.802503	1.803951	1.984406	0.547038	0	0	0
"ENSMUSG00000025816"	3.342183	4.397872	7.529371	15.08766	13.323758	11.210195	12.297299	10.260434	4.232699	4.814332	10.719769	12.454681
"ENSMUSG00000025817"	2.361575	6.206793	9.78381	12.207557	9.626411	10.534623	4.529305	9.581518	3.752753	4.783996	7.966683	7.91013
"ENSMUSG00000025900"	0	0	0	0	0	0	0.020243	0	0	0	0	0
"ENSMUSG00000025902"	0	0	0.170991	0	0	0	0.530257	2.054324	0.024556	51.178741	47.162743	51.495514
"ENSMUSG00000025903"	9.52517	22.228983	27.435354	23.797539	17.315088	19.072515	15.993476	26.069548	7.745164	24.178217	31.093685	37.871071
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025909"	0	0	0	0.036413	0	0	0.015114	0	0	0	0	0
"ENSMUSG00000025911"	0.246607	0.602855	0.132517	3.615795	4.897965	4.065897	0.227057	0.358509	0.061256	2.734183	1.597435	2.420986
"ENSMUSG00000025912"	0.177648	1.058755	0.685959	1.681965	0.741742	1.561165	1.023871	3.48926	1.238922	0.951588	3.787733	5.30467
"ENSMUSG00000025915"	12.428488	25.790422	33.501755	7.55458	7.196704	7.326336	3.154161	3.066578	0.835704	5.330579	5.145085	7.232583
"ENSMUSG00000025917"	3.791421	13.021363	15.839478	19.981667	19.70541	17.651581	9.369608	25.215899	7.304392	8.655356	17.741802	26.260048
"ENSMUSG00000025921"	0.721882	1.542862	1.211651	11.652545	10.97412	10.719832	2.748462	2.902745	0.908342	3.100058	3.541921	4.884322
"ENSMUSG00000025925"	3.043615	7.748976	5.895402	6.877648	6.088744	5.967168	8.842166	8.308382	2.771165	13.525678	13.25224	12.043126
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025930"	0.04656	0	0.214826	5.916373	14.552193	7.989091	4.375867	7.820496	5.759841	0	0.697238	0
"ENSMUSG00000025931"	0.076519	0.321516	0.474297	4.450505	2.968659	3.241097	1.223993	1.104956	0.416657	2.34756	3.385281	2.618925
"ENSMUSG00000025934"	0.067669	0.175318	0.106765	0.725272	0.055368	1.329786	0.571258	0.013611	0.006359	0.150304	0	0.027885
"ENSMUSG00000025935"	21.201174	55.858807	62.89196	87.263695	64.903358	68.022728	14.158358	27.783531	10.129975	19.627167	36.664249	44.708923
"ENSMUSG00000025937"	2.167183	6.075074	5.352629	5.334837	5.194895	3.770115	5.270149	4.042367	1.172676	1.532202	3.716814	4.415125
"ENSMUSG00000025938"	0	0	0	5.38539	5.852286	4.511167	1.539501	0.880498	0.418232	0.389417	0.843299	1.31366
"ENSMUSG00000025949"	9.043983	21.355553	19.932535	11.383059	13.45499	12.206035	7.401076	9.215258	3.210747	6.752624	9.610982	10.695123
"ENSMUSG00000025956"	1.03548	2.920649	3.982926	7.936604	6.319839	4.865751	3.496695	6.073543	2.084821	0.88595	2.387209	2.619503
"ENSMUSG00000025958"	11.345733	29.615631	28.223385	20.82744	17.200029	15.495218	17.950357	18.158539	5.507884	20.509941	17.308464	23.462229
"ENSMUSG00000025961"	0	0	0	0.156149	0	0	0.348119	0	0	0.295669	0	0.397638
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0.019654	0	0	0
"ENSMUSG00000025969"	8.484109	24.822092	22.82008	7.149959	10.337587	8.379274	8.614758	3.4638	0.8143	23.550703	31.049799	40.298363
"ENSMUSG00000025971"	0.658528	1.69957	1.777101	1.399766	1.336987	2.002715	2.119921	2.858167	0.860597	1.407385	2.147991	2.477803
"ENSMUSG00000025977"	0	0.423979	0	0	0	0	0	0.27869	0.473825	0	0	1.258533
"ENSMUSG00000025978"	0.217172	0.484598	1.03922	10.561384	9.655828	8.758186	12.37064	2.986632	1.187172	1.497056	0.971809	4.238494
"ENSMUSG00000025979"	5.804406	15.995741	14.466976	14.37261	14.679363	13.47982	11.592113	16.500957	5.614244	14.265384	17.258314	17.739855
"ENSMUSG00000025981"	16.101931	47.386494	56.300011	36.639503	31.640667	31.502481	32.699814	20.239115	6.777602	10.338605	25.466734	33.713078
"ENSMUSG00000025982"	35.2948	85.417473	94.111259	69.918701	73.191536	84.31144	69.308685	55.954189	21.28021	49.236557	72.390518	88.822472
"ENSMUSG00000025983"	0	0	0.226355	0.41033	1.483516	0.383521	0.082671	0.36531	0.136915	0	0.0745	0.361177
"ENSMUSG00000025995"	1.904378	4.649701	4.297161	10.440077	8.865837	9.877217	6.883068	12.173774	4.312674	4.038431	11.306485	10.729585
"ENSMUSG00000025997"	0.262942	1.540812	1.435405	3.652212	4.170152	2.596578	2.116251	1.112752	0.42636	0.185302	0.448695	0.340301
"ENSMUSG00000026000"	1.057124	2.094872	2.50532	3.94609	2.136248	3.880697	3.132958	2.616996	1.068865	1.650286	1.981005	2.04806
"ENSMUSG00000026003"	5.419125	17.309633	22.002174	15.743876	19.339903	15.714224	12.154321	40.680916	11.28265	7.547115	16.116703	21.566521
"ENSMUSG00000026004"	12.757622	31.960981	42.106766	24.327528	30.26223	32.076736	22.106077	27.516945	9.238955	19.512409	15.718572	23.34664
"ENSMUSG00000026011"	0	0.25758	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026020"	2.233384	8.930964	6.775944	68.919952	74.33432	99.130013	20.383419	30.691624	8.225939	4.182425	26.791178	27.696907
"ENSMUSG00000026023"	0.163046	0.263393	0.437783	1.208457	1.099566	2.064242	2.710439	0	0	0.137026	0	0
"ENSMUSG00000026024"	1.880437	5.676644	4.402265	4.1615	3.489866	4.802549	2.36323	2.875921	1.288812	3.796149	4.054976	6.993698
"ENSMUSG00000026028"	4.482131	9.107658	8.129963	12.641796	13.576096	11.6892	17.257149	11.079978	4.156076	9.376875	16.840441	22.622187
"ENSMUSG00000026029"	8.818391	20.685253	27.067657	8.321551	7.33204	4.911704	1.589077	7.407264	1.330534	10.830724	22.212503	20.905064
"ENSMUSG00000026032"	4.437445	10.66307	13.321458	7.995913	4.687958	5.948254	7.338491	13.328911	3.208985	2.884549	9.034176	8.368429
"ENSMUSG00000026036"	0.615584	1.639934	1.453263	2.492744	1.994823	1.799586	2.427923	3.042047	1.15769	1.659875	3.563585	3.965616
"ENSMUSG00000026037"	1.45812	3.216933	4.401989	3.494161	3.374586	5.038545	3.258377	6.205207	1.62982	2.071798	5.661749	6.253125
"ENSMUSG00000026039"	0.058827	1.115669	2.161001	0	0.690236	1.196957	0.003772	8.579404	2.177921	0.568039	3.999597	2.130747
"ENSMUSG00000026042"	0.12069	0.74165	0.205735	585.22644	596.437256	534.786987	18.962107	52.881603	23.892847	1.669127	8.008351	9.545345
"ENSMUSG00000026043"	1.885914	3.196963	1.665376	5576.254883	5023.275879	4301.522461	81.133308	79.318367	38.796848	1.412944	28.994825	34.481224
"ENSMUSG00000026047"	1.344213	3.362058	4.641685	17.359587	10.959991	15.463411	4.522844	9.085072	2.94992	3.948095	9.41566	6.824066
"ENSMUSG00000026049"	1.522095	7.402119	4.031071	3.526843	1.497037	1.674436	2.312166	9.277925	1.90659	1.574116	11.417187	9.656826
