"gene"	"Old.Resolving-Mac.D7_3"	"Old.Resolving-Mac.D7_1"	"Old.Resolving-Mac.D7_2"	"Old.FAPs.D7_1"	"Old.FAPs.D7_2"	"Old.FAPs.D7_3"	"Old.MuSCs.D7_1"	"Old.MuSCs.D7_3"	"Old.MuSCs.D7_2"	"Old.ECs.D7_1"	"Old.ECs.D7_2"	"Old.ECs.D7_3"
"ENSMUSG00000026126"	8.240704	18.864695	33.545105	0.300983	0.360019	0	0.202294	0.644541	0.044202	0.604805	3.674021	1.972163
"ENSMUSG00000026127"	1.74657	5.93439	6.786641	2.907285	2.731046	2.569583	3.358815	3.36276	1.282861	3.106269	5.257767	7.708935
"ENSMUSG00000026134"	1.9812	4.700078	6.102025	6.370636	5.596014	3.590574	3.414198	5.314764	2.027267	2.382133	6.248684	7.009685
"ENSMUSG00000026141"	0	0	0.019004	0	0	0.129839	2.71405	5.837312	2.04434	0	0.11252	0
"ENSMUSG00000026142"	1.238583	4.052591	4.620312	4.533513	4.526399	3.455397	4.954071	5.315969	1.589718	5.610647	5.872425	6.742507
"ENSMUSG00000026147"	0	0	0	0	0	0	0.126028	0.131417	0.195452	0	0	0
"ENSMUSG00000026149"	0	0.545675	1.708186	0.933979	1.238791	0.31855	1.026401	0.776122	0.430812	0	1.52124	1.436617
"ENSMUSG00000026150"	11.913947	33.425995	36.993385	35.471645	34.868076	38.185162	27.19293	32.543507	11.346253	26.044155	27.752861	39.609013
"ENSMUSG00000026153"	0.380425	1.522371	1.075403	12.378775	14.422068	12.362975	11.52563	9.935081	3.468104	8.061087	7.045053	11.23929
"ENSMUSG00000026154"	2.648983	4.409116	5.55855	5.201235	6.598072	5.056046	1.532208	4.504193	1.861087	0	4.994349	6.169203
"ENSMUSG00000026155"	6.102689	15.900903	25.540953	33.308369	22.944687	28.883562	16.287481	15.240647	5.811497	13.795869	20.166502	22.233007
"ENSMUSG00000026156"	0	0.171782	0	1.236598	0.351363	0.776812	0.881668	0.319477	0.089374	0	0	1.929766
"ENSMUSG00000026158"	2.330564	6.508305	10.4693	7.213286	7.065895	6.774895	1.974177	1.516416	0.43647	3.647591	2.765105	4.651138
"ENSMUSG00000026159"	4.263338	10.849481	15.202359	22.454969	21.316324	18.15995	12.487158	10.437248	4.060946	9.346822	17.20204	15.47851
"ENSMUSG00000026162"	0.573325	1.445449	3.229285	0.29622	2.176838	0.684509	0.37456	1.128224	0.247481	0.327603	0.746406	0.246873
"ENSMUSG00000026163"	0	0	0	2.167547	0.767423	1.823454	0.306726	0	0.075571	0	0	0.112635
"ENSMUSG00000026166"	0	0	0	0.209423	0	0	0	0	0	0	0	0
"ENSMUSG00000026175"	0	0.640963	0.717663	1.872911	1.941103	1.737736	0.188919	0	0.250264	0.272201	0	0.986255
"ENSMUSG00000026179"	3.441345	6.323958	7.205334	7.984671	7.801138	4.788235	8.002721	10.151814	3.491824	24.200853	18.318638	20.575167
"ENSMUSG00000026185"	0.281682	0.523395	0.641818	227.164032	117.067467	126.596359	304.570251	213.73053	95.41185	4.437311	14.036623	92.878677
"ENSMUSG00000026187"	0.204357	0.324168	0	3.504188	5.588236	5.053624	3.281633	17.42403	6.348395	0.060607	1.34356	1.577774
"ENSMUSG00000026188"	0	0	0	0	0	0.6564	0	0	0.198946	0	0	0
"ENSMUSG00000026189"	0.367809	0.956276	0.507426	4.901821	1.190663	3.314257	1.101037	1.858865	0.930764	0.151749	1.295499	0.537122
"ENSMUSG00000026192"	1.447961	5.546661	6.884286	18.309645	20.05092	13.911976	4.552623	15.172478	4.288486	0.526751	10.861255	8.516565
"ENSMUSG00000026193"	4.032712	21.430285	27.039461	1634.912598	1852.177246	1424.940186	23.089588	24.932068	28.166714	6.22556	29.86087	23.780918
"ENSMUSG00000026196"	0.221733	0.557691	1.446776	0.321067	0.542595	0.120993	0.219698	2.916824	0.951347	0.127039	1.98417	0.868837
"ENSMUSG00000026197"	1.941222	6.284854	7.314766	4.163464	3.408715	4.256533	4.137828	4.344992	0.867988	4.337686	2.597152	6.932519
"ENSMUSG00000026199"	1.483703	4.766119	5.406328	5.088119	5.471903	6.782268	3.220737	2.863367	0.651947	2.167981	4.032907	6.792399
"ENSMUSG00000026200"	2.129501	3.948924	9.544219	13.142265	16.008326	17.966793	4.0833	4.227563	1.974727	3.214183	5.491567	7.48691
"ENSMUSG00000026202"	2.353208	8.057317	8.413849	2.517438	4.755945	2.758911	2.429928	11.933273	1.423911	5.348082	5.706362	11.613508
"ENSMUSG00000026204"	0	0	0.067275	0.842856	0.75614	1.326947	0.424295	2.860726	2.113459	0.181633	0.725378	1.657735
