"gene"	"Young.Resolving-Mac.D7_2"	"Young.Resolving-Mac.D7_1"	"Young.Resolving-Mac.D7_3"	"Young.FAPs.D7_1"	"Young.FAPs.D7_2"	"Young.FAPs.D7_3"	"Young.MuSCs.D7_3"	"Young.MuSCs.D7_1"	"Young.MuSCs.D7_2"	"Young.ECs.D7_2"	"Young.ECs.D7_1"	"Young.ECs.D7_3"
"ENSMUSG00000026125"	0	0	0.159366	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026126"	26.927866	27.821516	9.150604	1.060456	0.56401	1.630166	0.397469	0.285614	0.033601	17.642988	0.895218	3.471916
"ENSMUSG00000026127"	8.337754	11.566302	2.763097	2.832776	2.893022	3.554715	4.467102	3.426986	3.720977	9.01825	2.62129	4.248293
"ENSMUSG00000026134"	6.695065	3.821425	1.760153	7.201743	5.341212	4.8461	6.427546	8.358829	5.238684	5.602258	2.022598	3.552467
"ENSMUSG00000026141"	0	0	0	0	0	0	7.372202	7.47868	5.164831	0	0.017905	0
"ENSMUSG00000026142"	6.967396	3.484385	1.915796	2.741092	3.118631	3.78515	3.978319	5.102718	5.079659	5.310105	3.773534	4.538698
"ENSMUSG00000026147"	0	0	0	0.067558	0	0	0	0	0.245132	0	0	0
"ENSMUSG00000026149"	0.741169	1.218165	0.223222	1.051573	0.581537	1.802793	0.308926	1.083348	0.58381	0	0.402802	0
"ENSMUSG00000026150"	40.02927	36.499706	14.22298	44.141388	35.55938	36.539043	49.522949	49.331116	35.000053	38.596588	15.005858	37.640854
"ENSMUSG00000026153"	0.366165	0.915416	0.31026	12.713985	10.419343	12.068892	12.74225	15.157747	9.643981	0	5.065138	9.836009
"ENSMUSG00000026154"	6.185837	5.759035	2.93421	6.819746	7.131241	8.745625	4.447533	4.510289	2.957022	6.754562	0.885452	1.904031
"ENSMUSG00000026155"	20.193432	17.771198	8.100385	31.671858	27.913616	27.203955	21.296204	23.210663	19.126154	26.161001	9.209503	14.427785
"ENSMUSG00000026156"	1.266686	1.786632	0	1.059509	0	1.419106	1.0317	1.330393	0.61744	1.905821	0.823382	0.928032
"ENSMUSG00000026158"	16.079111	17.394257	3.618284	3.190077	4.468916	4.215866	1.924515	2.045549	1.321838	64.988136	1.796523	3.914263
"ENSMUSG00000026159"	17.589117	29.091209	7.651011	20.737518	25.234964	26.906406	13.511733	22.260956	11.972177	25.374107	6.682852	15.619452
"ENSMUSG00000026162"	2.297933	0.948699	0.330013	0.924999	2.330691	0	0.999533	0.835374	1.188779	4.219768	0.270308	0
"ENSMUSG00000026163"	0	0	0	0.713574	0	0.594006	0.189301	0.340872	0.433487	0	0	0
"ENSMUSG00000026166"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026175"	0.641917	0.58687	0.245027	1.751469	1.943268	1.448762	0.590437	0.693933	0.412722	0	0.17957	0.641125
