"gene"	"Young.Resolving-Mac.D7_2"	"Young.Resolving-Mac.D7_1"	"Young.Resolving-Mac.D7_3"	"Young.FAPs.D7_1"	"Young.FAPs.D7_2"	"Young.FAPs.D7_3"	"Young.MuSCs.D7_3"	"Young.MuSCs.D7_1"	"Young.MuSCs.D7_2"	"Young.ECs.D7_2"	"Young.ECs.D7_1"	"Young.ECs.D7_3"
"ENSMUSG00000009905"	3.325399	2.529335	1.990773	8.009788	6.409351	8.139388	4.04032	4.834339	3.947679	5.254031	2.564578	5.381042
"ENSMUSG00000009907"	29.791445	31.250347	12.108068	18.119934	12.983222	14.345886	16.029301	23.184444	9.482671	48.638824	11.338407	18.061525
"ENSMUSG00000010175"	0	0	0.039256	0	0.277647	0	34.975861	30.449158	16.844461	0	0	0.832281
"ENSMUSG00000010290"	3.305041	1.725866	1.006265	5.698446	3.799536	3.725565	4.986722	5.046264	3.885105	2.314657	1.748081	2.275135
"ENSMUSG00000010311"	0	0	0	2.024414	2.500439	3.725683	1.331659	1.248521	0.316138	0	0	0.934195
"ENSMUSG00000010453"	9.646832	8.936594	3.990463	15.068951	10.076149	10.835672	18.780592	19.019999	8.73918	8.375626	4.804038	18.057362
"ENSMUSG00000010609"	15.080385	13.721537	3.861401	5.676534	3.802149	4.595729	2.761591	3.393207	1.294381	12.580482	1.502253	4.628617
"ENSMUSG00000012187"	0	0	0	0.263613	0	0	0.269484	0	0	0	0	0
"ENSMUSG00000013275"	3.119041	2.295004	1.317411	9.085037	9.797083	8.219428	18.23719	15.688338	4.011841	12.975451	2.497227	8.309473
"ENSMUSG00000013465"	6.932819	6.346655	2.767676	15.689066	15.780437	18.434259	8.411721	11.933146	6.676031	7.170261	5.881087	16.277901
"ENSMUSG00000013698"	44.615707	21.939148	22.857504	38.670731	34.242641	43.104939	23.644993	33.327633	22.281416	7.323755	32.082485	46.861664
"ENSMUSG00000013973"	7.525449	6.157056	2.037456	6.063206	10.257219	3.568227	7.416482	9.848461	5.52704	5.762136	4.831041	6.790289
"ENSMUSG00000013997"	7.455488	6.148567	3.220447	6.20914	9.198725	9.520229	6.757485	8.833779	6.106757	7.352218	2.660992	5.316486
"ENSMUSG00000014602"	1.88843	0.621029	1.454223	0.018928	0	0	0.556685	0.42478	0.089561	0.63006	0.045806	0
"ENSMUSG00000014852"	0	0	0.032853	0	0	0.051201	0	0	0	0.310766	0.008476	0
"ENSMUSG00000014867"	44.144981	52.966415	12.116623	72.258698	71.318527	76.109283	28.037285	31.90192	31.122128	33.624489	6.156167	25.329784
"ENSMUSG00000014873"	11.851753	11.028443	5.763133	18.307341	15.041439	19.240425	15.56888	16.183296	13.306715	11.486732	3.30152	15.263174
"ENSMUSG00000014980"	4.474949	3.563901	2.45292	10.797568	16.056408	11.668393	12.485741	8.707332	9.134636	2.563457	5.599577	5.251923
"ENSMUSG00000015085"	0	0	0	48.690304	35.211323	40.158569	4.363773	3.231886	1.096829	0	0	0
"ENSMUSG00000015087"	14.172072	9.897407	5.079002	17.957823	17.360119	15.538071	16.75683	22.369072	14.306227	7.976128	5.776767	9.383616
"ENSMUSG00000015090"	0	0	0	0.314854	0.235611	0	0.885837	2.668943	1.152424	0	0	0
"ENSMUSG00000015092"	36.82806	26.523516	12.686579	23.66745	20.348326	21.38825	23.094604	22.313683	35.421238	21.85611	10.964269	23.349941
"ENSMUSG00000015093"	0	0	0	1.124359	0.566476	0.639457	0.594212	1.43194	1.043739	1.092074	0.312712	0
"ENSMUSG00000015094"	0	0	0.233537	55.687294	57.451927	58.809196	14.810462	21.355558	10.107364	0	10.995848	32.692059
"ENSMUSG00000015095"	9.314938	6.738454	4.052659	8.183006	7.454784	9.259498	8.886215	9.91783	5.600108	4.295506	3.494156	8.152944
"ENSMUSG00000015222"	0.181735	0	0.042369	4.223431	0.741535	0.813277	53.634693	71.428452	25.718117	0	0.582425	0.318225
"ENSMUSG00000015314"	3.379989	2.957654	2.04007	0	0	0	0	0	0	0.168093	0	0
"ENSMUSG00000015316"	0	0	0.073665	0	0	0	0	0	0	0	0	0
"ENSMUSG00000015335"	2.1934	1.140047	0.711234	1.18829	2.094719	1.184599	2.091231	2.052328	2.407589	0.240257	1.715843	4.470723
"ENSMUSG00000015355"	133.81189	128.02272	52.271362	0	0	0	0	0	0	34.805084	0.023361	0.058052
"ENSMUSG00000015488"	9.074626	9.191755	3.275826	15.877208	15.690106	15.853235	6.222593	11.0353	5.290084	131.048569	1.898008	2.184917
"ENSMUSG00000015619"	0.093903	0	0.273649	0	0	0	0	0.346698	0.874601	0	1.593042	0
"ENSMUSG00000015790"	15.967843	9.570589	6.960509	25.074717	23.027105	27.528896	14.386807	10.225121	9.15995	8.542661	6.655479	19.654636
"ENSMUSG00000015829"	0	0	0.000602	0	0	0	0	0.070271	0	0	0	0
"ENSMUSG00000015846"	9.295053	7.174983	6.20668	7.917901	8.504804	7.264498	7.870294	8.645036	5.888641	3.211302	6.158893	8.704337
"ENSMUSG00000015962"	0	0.616052	0	0.483012	0.418454	0	0.91245	0.661762	0.765288	0	0	1.88204
"ENSMUSG00000016179"	0	0	0	0.434033	1.234818	0.64683	0.232935	0.300394	0.384148	0	0	0
"ENSMUSG00000016181"	1.923218	2.938817	0.74407	4.627698	1.745086	3.630273	5.804113	10.15341	3.541246	1.30179	2.282279	1.61089
"ENSMUSG00000016194"	1.01961	0.466884	0.017857	6.715889	2.788853	4.236445	1.08628	0.954934	0.562742	6.440746	0	0
"ENSMUSG00000016200"	0	0	0	0	0	0	0.355834	0.541662	0.884264	0	0	0
"ENSMUSG00000016262"	0	0	0	21.778925	34.586472	26.897747	5.913827	10.719143	12.956502	0	0	0.622383
"ENSMUSG00000016493"	0.542303	1.105922	0.222237	4.777519	2.971747	2.539287	2.571269	3.405147	1.269801	15.804601	4.922131	4.631946
"ENSMUSG00000016494"	0.381877	0.123044	0.241638	137.611908	122.391747	161.29982	3.508669	5.776788	0.482489	1.00961	52.108257	370.954346
"ENSMUSG00000016524"	0	0.279645	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0.674434	0	0.051776	0	0	0	0	0.216087	0	0	0	0
"ENSMUSG00000016529"	16.134176	21.317873	10.507147	1.682133	5.188207	2.757085	1.018434	1.055912	0.709243	105.730087	0	3.072292
"ENSMUSG00000016918"	0.01584	0	0.022599	132.245941	81.226791	133.841736	40.90773	38.834873	26.118622	0	5.397315	11.389971
"ENSMUSG00000017418"	38.250259	31.104898	16.255131	28.090332	31.745161	35.075542	23.779539	19.641838	9.64138	28.076918	10.237731	15.328568
"ENSMUSG00000018196"	3.248676	3.738119	0.983919	6.489789	7.683707	4.646602	4.489127	6.699588	4.175896	8.59421	2.975352	3.624028
"ENSMUSG00000018199"	2.349884	1.699785	1.775862	9.279239	9.868023	9.942867	6.223464	7.711857	6.88512	4.256293	4.744225	11.422057
"ENSMUSG00000018417"	0.506458	0.366808	0.237328	13.340215	14.138529	16.658875	44.289665	62.196835	17.739477	0.77112	33.880203	58.26033
"ENSMUSG00000019230"	0.001337	0	0.020027	0.250441	0.837059	1.150249	0.453143	0.098906	0.166807	0	0	0.098942
"ENSMUSG00000019699"	14.52302	10.068754	3.501206	26.658041	22.32288	17.431454	14.5891	17.038149	11.207658	3.708508	18.750763	26.300238
"ENSMUSG00000022591"	0	0	0	0	0	0	0	0	0	0	0.155532	0
"ENSMUSG00000022995"	0.691201	0.125295	0.136916	14.538696	15.468218	17.54567	42.317825	43.215847	27.063499	1.915505	22.700401	20.438726
"ENSMUSG00000023094"	1.217632	0.901833	0.575649	3.016006	2.412802	3.50592	0.808719	0.945218	0.696907	3.354963	0.860598	0.761154
"ENSMUSG00000023150"	94.276894	63.401653	32.534328	36.815754	37.904083	34.421417	87.287811	103.500237	66.270287	76.171913	14.915513	43.706108
"ENSMUSG00000023206"	6.590393	2.614593	0.991948	6.506947	3.778267	7.639574	2.965546	3.292334	1.140575	3.362214	3.477311	6.467256
"ENSMUSG00000025776"	0	0	0	2.979939	4.430219	4.546458	0.563889	0.113216	0	0	1.754886	2.409639
"ENSMUSG00000025779"	32.544044	33.200951	11.746495	12.575046	13.210014	14.730224	3.539914	3.607746	2.762618	23.972307	2.324251	9.87764
"ENSMUSG00000025780"	0	0	0.039854	136.928635	106.30864	113.327805	35.613483	29.98551	6.599238	2.988184	0.771914	12.853065
"ENSMUSG00000025781"	131.870422	123.651901	36.309101	79.082214	67.195229	75.036568	106.384064	111.961235	124.643959	60.439827	21.628805	68.266472
"ENSMUSG00000025782"	6.013356	4.881432	1.943688	5.471709	3.766316	5.286157	5.023576	6.161593	3.6922	6.613617	3.124432	4.786871
"ENSMUSG00000025815"	0.144941	0	0	1.047449	2.301176	1.056823	3.543195	1.86728	1.741464	0.015052	0	0
"ENSMUSG00000025816"	11.609891	5.490968	1.36159	17.670622	14.459352	16.000299	18.596657	22.594593	13.126261	4.272028	6.28011	8.91186
"ENSMUSG00000025817"	6.053627	9.709672	4.538112	13.319049	9.707596	10.41121	12.554499	14.143055	13.152642	5.291334	2.431906	5.057606
"ENSMUSG00000025900"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025902"	0	0	0.008093	0	0.270074	0.102175	0.334422	0.443693	0	0	24.808165	55.602551
"ENSMUSG00000025903"	34.64278	44.149204	10.90061	16.78124	21.626396	23.826372	23.681234	25.770346	20.259724	41.355408	12.640695	25.344042
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025909"	0	0	0	0	0	0.108102	0	0	0	0	0	0
"ENSMUSG00000025911"	0.266634	0.431749	0.184663	2.385112	1.970708	1.771466	0.062029	0.475743	0.513551	0	1.839327	1.523568
"ENSMUSG00000025912"	0.9559	0.395448	0.490628	1.15935	2.069242	1.524466	3.277966	5.70116	3.390217	1.396729	0.626187	2.359765
"ENSMUSG00000025915"	59.277119	58.369545	14.006282	6.100214	3.822022	4.919851	2.546179	3.469327	2.685201	45.887527	5.747331	7.108416
"ENSMUSG00000025917"	25.169918	22.430666	6.028512	20.326691	19.750565	19.311749	16.414639	24.451515	25.968079	16.031364	6.899171	20.070421
"ENSMUSG00000025921"	1.723668	2.053421	0.932888	14.551575	15.11268	10.961637	3.296166	2.994202	2.21547	2.870397	1.527774	3.101608
"ENSMUSG00000025925"	9.226826	4.405453	2.245756	7.058581	5.759073	5.079352	9.608624	10.479563	7.746285	3.645463	9.036868	11.020584
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0.151163	0	0	0	0
