"Sample"	"Cell_type"
"Old.Resolving-Mac.D4_2"	"Resolving-Mac"
"Old.Inflammatory-Mac.D4_3"	"Inflammatory-Mac"
"Old.Resolving-Mac.D4_3"	"Resolving-Mac"
"Old.Inflammatory-Mac.D4_2"	"Inflammatory-Mac"
"Old.Inflammatory-Mac.D4_1"	"Inflammatory-Mac"
"Old.Resolving-Mac.D4_1"	"Resolving-Mac"
"Old.FAPs.D4_1"	"FAPs"
"Old.FAPs.D4_2"	"FAPs"
"Old.FAPs.D4_3"	"FAPs"
"Old.MuSCs.D4_2"	"MuSCs"
"Old.MuSCs.D4_1"	"MuSCs"
"Old.ECs.D4_1"	"ECs"
"Old.ECs.D4_3"	"ECs"
"Old.ECs.D4_2"	"ECs"
