"","id","symbol","day","type","baseMean","meanCountNormalizedYoung","meanCountNormalizedOld","padj","log2FoldChange","nbDayDE","CombiDayDEG","NbUpDown","CombiDaysUpDown","GeneDayType"
"1","ENSMUSG00000016494","Cd34","D0","ECs",4132.56750806279,4917.3245,3347.8105,"4.1976e-06",-0.5203,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Cd34_D0_ECs"
"2","ENSMUSG00000025780","Itih5","D0","ECs",247.516447028782,319.071,175.9619,"5.0073e-03",-0.7542,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Itih5_D0_ECs"
"3","ENSMUSG00000026208","Des","D0","ECs",123.127437583262,84.333,161.9219,"4.2694e-02",0.7674,2,"D0.D7","2_UP.","D0_UP.D7_UP","Des_D0_ECs"
"4","ENSMUSG00000026399","Cd55","D0","ECs",192.96568172928,252.4979,133.4335,"2.9390e-03",-0.8138,1,"D0","1_DOWN","D0_DOWN","Cd55_D0_ECs"
"5","ENSMUSG00000026872","Zeb2","D0","ECs",759.376571483609,567.1058,951.6474,"9.9706e-03",0.6445,2,"D0.D7","2_UP.","D0_UP.D7_UP","Zeb2_D0_ECs"
"6","ENSMUSG00000039157","Fam102a","D0","ECs",981.585373270564,707.7254,1255.4454,"4.1976e-06",0.7764,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Fam102a_D0_ECs"
"7","ENSMUSG00000073490","Ifi207","D0","ECs",80.0118526437824,40.5537,119.47,"4.0921e-03",1.374,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Ifi207_D0_ECs"
"8","ENSMUSG00000079588","Tmem182","D0","ECs",439.410840826915,249.4306,629.3911,"2.4255e-09",1.2841,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Tmem182_D0_ECs"
"9","ENSMUSG00000026893","Gca","D0","ECs",17.4097989102446,2.7525,32.0671,"5.8806e-03",3.1008,2,"D0.D7","2_UP.","D0_UP.D7_UP","Gca_D0_ECs"
"10","ENSMUSG00000027074","Slc43a3","D0","ECs",4652.9504991859,5272.0413,4033.8597,"2.1129e-02",-0.3254,1,"D0","1_DOWN","D0_DOWN","Slc43a3_D0_ECs"
"11","ENSMUSG00000027293","Ehd4","D0","ECs",740.386279471708,875.827,604.9455,"1.6164e-02",-0.4529,2,"D0.D4","2_DOWN","D0_DOWN.D4_DOWN","Ehd4_D0_ECs"
"12","ENSMUSG00000031391","L1cam","D0","ECs",540.181310917591,398.2653,682.0973,"4.3953e-04",0.7071,2,"D0.D4","2_UP.","D0_UP.D4_UP","L1cam_D0_ECs"
"13","ENSMUSG00000045103","Dmd","D0","ECs",1077.25583011662,877.8325,1276.6791,"1.4481e-02",0.4631,2,"D0.D7","2_UP.","D0_UP.D7_UP","Dmd_D0_ECs"
"14","ENSMUSG00000067377","Tspan6","D0","ECs",818.45609004831,952.1435,684.7687,"1.4702e-02",-0.4057,1,"D0","1_DOWN","D0_DOWN","Tspan6_D0_ECs"
"15","ENSMUSG00000071722","Spin4","D0","ECs",94.1571849119657,55.2895,133.0248,"7.8763e-03",1.1007,1,"D0","1_UP.","D0_UP","Spin4_D0_ECs"
