"","id","symbol","day","type","baseMean","meanCountNormalizedYoung","meanCountNormalizedOld","padj","log2FoldChange","nbDayDE","CombiDayDEG","NbUpDown","CombiDaysUpDown","GeneDayType"
"16","ENSMUSG00000027500","Stmn2","D0","ECs",351.535008529616,268.5561,434.5139,"3.6750e-02",0.5708,1,"D0","1_UP.","D0_UP","Stmn2_D0_ECs"
"17","ENSMUSG00000027895","Kcnc4","D0","ECs",44.8573609404925,19.5988,70.1159,"7.8769e-03",1.5963,1,"D0","1_UP.","D0_UP","Kcnc4_D0_ECs"
"18","ENSMUSG00000028005","Gucy1b1","D0","ECs",322.620786682566,227.1846,418.057,"4.6082e-02",0.7131,2,"D0.D7","2_UP.","D0_UP.D7_UP","Gucy1b1_D0_ECs"
"19","ENSMUSG00000052415","Tchh","D0","ECs",18.0482838381434,0.6963,35.4003,"6.2154e-04",5.1928,2,"D0.D7","2_UP.","D0_UP.D7_UP","Tchh_D0_ECs"
"20","ENSMUSG00000060206","Zfp462","D0","ECs",657.484579824172,853.6841,461.2851,"1.9343e-06",-0.8363,4,"D0.D2.D4.D7","4_DOWN","D0_DOWN.D2_DOWN.D4_DOWN.D7_DOWN","Zfp462_D0_ECs"
"21","ENSMUSG00000018604","Tbx3","D0","ECs",1363.41786496548,1040.3633,1686.4725,"7.8763e-03",0.6057,1,"D0","1_UP.","D0_UP","Tbx3_D0_ECs"
"22","ENSMUSG00000028766","Alpl","D0","ECs",1137.97938331558,842.1544,1433.8044,"1.4060e-06",0.7247,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Alpl_D0_ECs"
"23","ENSMUSG00000029053","Prkcz","D0","ECs",57.7723241869196,26.7573,88.7873,"9.8181e-04",1.5625,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Prkcz_D0_ECs"
"24","ENSMUSG00000029338","Antxr2","D0","ECs",111.708410169642,150.7411,72.6757,"2.3304e-02",-0.8797,1,"D0","1_DOWN","D0_DOWN","Antxr2_D0_ECs"
"25","ENSMUSG00000037235","Mxd4","D0","ECs",3180.60673408064,3570.9868,2790.2267,"1.6164e-02",-0.3027,1,"D0","1_DOWN","D0_DOWN","Mxd4_D0_ECs"
"26","ENSMUSG00000040537","Adam22","D0","ECs",1111.63062615926,757.1762,1466.085,"1.1232e-04",0.8778,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Adam22_D0_ECs"
"27","ENSMUSG00000046447","Camk2n1","D0","ECs",143.946359497856,99.9843,187.9085,"1.6164e-02",0.7729,1,"D0","1_UP.","D0_UP","Camk2n1_D0_ECs"
"28","ENSMUSG00000106379","Lhfpl3","D0","ECs",30.0829097949628,3.748,56.4179,"1.6765e-06",3.6815,2,"D0.D7","2_UP.","D0_UP.D7_UP","Lhfpl3_D0_ECs"
"29","ENSMUSG00000003153","Slc2a3","D0","ECs",71.6499479798961,38.907,104.3929,"9.8317e-03",1.2277,1,"D0","1_UP.","D0_UP","Slc2a3_D0_ECs"
"30","ENSMUSG00000029860","Zyx","D0","ECs",1636.75391184956,1370.1766,1903.3312,"3.6381e-02",0.3915,1,"D0","1_UP.","D0_UP","Zyx_D0_ECs"
"31","ENSMUSG00000030393","Zik1","D0","ECs",27.7777516059713,46.8609,8.6946,"2.1334e-03",-2.1719,1,"D0","1_DOWN","D0_DOWN","Zik1_D0_ECs"
"32","ENSMUSG00000034387","Ssu2","D0","ECs",284.833016414042,385.9262,183.7398,"1.1232e-04",-0.9855,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Ssu2_D0_ECs"
"33","ENSMUSG00000053007","Creb5","D0","ECs",190.655578262723,136.7813,244.5298,"1.4288e-02",0.7151,1,"D0","1_UP.","D0_UP","Creb5_D0_ECs"
"34","ENSMUSG00000054435","Gimap4","D0","ECs",1456.94757781372,1679.7923,1234.1029,"4.4896e-02",-0.3625,1,"D0","1_DOWN","D0_DOWN","Gimap4_D0_ECs"
"35","ENSMUSG00000092035","Peg10","D0","ECs",249.429280529955,191.19,307.6686,"1.9955e-02",0.5794,1,"D0","1_UP.","D0_UP","Peg10_D0_ECs"
"36","ENSMUSG00000030701","Plekhb1","D0","ECs",339.719536481383,263.1813,416.2578,"3.7964e-02",0.5418,2,"D0.D7","2_UP.","D0_UP.D7_UP","Plekhb1_D0_ECs"
"37","ENSMUSG00000030922","Lyrm1","D0","ECs",249.018358217025,310.5484,187.4884,"1.0537e-02",-0.6265,1,"D0","1_DOWN","D0_DOWN","Lyrm1_D0_ECs"
"38","ENSMUSG00000039031","Arhgap18","D0","ECs",3199.72518231478,2784.1541,3615.2963,"3.6750e-02",0.3128,1,"D0","1_UP.","D0_UP","Arhgap18_D0_ECs"
"39","ENSMUSG00000058297","Spock2","D0","ECs",383.849723434912,212.9816,554.7178,"4.2810e-05",1.2798,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Spock2_D0_ECs"
"40","ENSMUSG00000070509","Rgma","D0","ECs",120.412724058841,73.8862,166.9392,"1.5214e-02",1.0001,1,"D0","1_UP.","D0_UP","Rgma_D0_ECs"
"41","ENSMUSG00000090958","Lrrc32","D0","ECs",576.22195741742,416.9215,735.5224,"2.2919e-06",0.7703,1,"D0","1_UP.","D0_UP","Lrrc32_D0_ECs"
"42","ENSMUSG00000015568","Lpl","D0","ECs",12034.9791748979,14195.5429,9874.4155,"9.8317e-03",-0.4527,2,"D0.D4","1_UP.1_DOWN","D0_DOWN.D4_UP","Lpl_D0_ECs"
"43","ENSMUSG00000020183","Cpm","D0","ECs",495.846086692091,396.9004,594.7917,"1.0537e-02",0.5031,2,"D0.D7","2_UP.","D0_UP.D7_UP","Cpm_D0_ECs"
"44","ENSMUSG00000025366","Esyt1","D0","ECs",1396.11456315351,1187.499,1604.7301,"3.5092e-02",0.3595,1,"D0","1_UP.","D0_UP","Esyt1_D0_ECs"
"45","ENSMUSG00000031450","Grk1","D0","ECs",285.587067771227,352.211,218.9631,"3.3809e-02",-0.5656,2,"D0.D7","1_UP.1_DOWN","D0_DOWN.D7_UP","Grk1_D0_ECs"
"46","ENSMUSG00000038872","Zfhx3","D0","ECs",540.754769423505,386.603,694.9065,"1.2667e-03",0.7601,2,"D0.D7","2_UP.","D0_UP.D7_UP","Zfhx3_D0_ECs"
"47","ENSMUSG00000005148","Klf5","D0","ECs",47.8953971950572,22.5933,73.1975,"2.6805e-02",1.4082,1,"D0","1_UP.","D0_UP","Klf5_D0_ECs"
"48","ENSMUSG00000023064","Sncg","D0","ECs",124.861949822476,84.3343,165.3896,"3.5092e-02",0.8004,1,"D0","1_UP.","D0_UP","Sncg_D0_ECs"
"49","ENSMUSG00000032177","Pde4a","D0","ECs",189.099274473471,134.3741,243.8244,"4.4896e-02",0.6965,1,"D0","1_UP.","D0_UP","Pde4a_D0_ECs"
"50","ENSMUSG00000032502","Stac","D0","ECs",29.7242645657266,11.9768,47.4718,"3.9807e-02",1.6204,1,"D0","1_UP.","D0_UP","Stac_D0_ECs"
"51","ENSMUSG00000035566","Pcdh17","D0","ECs",1928.48747146055,2337.1473,1519.8276,"4.1976e-06",-0.5827,3,"D0.D2.D7","3_DOWN","D0_DOWN.D2_DOWN.D7_DOWN","Pcdh17_D0_ECs"
"52","ENSMUSG00000066687","Zbtb16","D0","ECs",790.053982412872,1232.8162,347.2918,"2.7418e-20",-1.7914,1,"D0","1_DOWN","D0_DOWN","Zbtb16_D0_ECs"
"53","ENSMUSG00000017417","Plxdc1","D0","ECs",225.637953264827,164.0101,287.2658,"4.9037e-02",0.6524,2,"D0.D7","2_UP.","D0_UP.D7_UP","Plxdc1_D0_ECs"
"54","ENSMUSG00000018593","Sparc","D0","ECs",9809.27505323735,11369.8937,8248.6564,"1.1407e-02",-0.3989,3,"D0.D2.D7","3_DOWN","D0_DOWN.D2_DOWN.D7_DOWN","Sparc_D0_ECs"
"55","ENSMUSG00000020902","Ntn1","D0","ECs",188.560645168614,127.0574,250.0639,"2.7059e-03",0.8686,1,"D0","1_UP.","D0_UP","Ntn1_D0_ECs"
"56","ENSMUSG00000053113","Socs3","D0","ECs",635.429389845893,526.8268,744.032,"3.9807e-02",0.4092,1,"D0","1_UP.","D0_UP","Socs3_D0_ECs"
"57","ENSMUSG00000056427","Slit3","D0","ECs",182.678246019078,89.1484,276.2081,"4.0965e-08",1.5566,2,"D0.D7","2_UP.","D0_UP.D7_UP","Slit3_D0_ECs"
"58","ENSMUSG00000044258","Ctla2a","D0","ECs",889.332512980368,1165.0026,613.6625,"2.1993e-06",-0.8709,1,"D0","1_DOWN","D0_DOWN","Ctla2a_D0_ECs"
"59","ENSMUSG00000047414","Flrt2","D0","ECs",255.879599133062,336.3668,175.3924,"5.2653e-03",-0.8227,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Flrt2_D0_ECs"
"60","ENSMUSG00000001870","Ltbp1","D0","ECs",664.463291745943,520.4604,808.4662,"3.9322e-04",0.5797,2,"D0.D7","2_UP.","D0_UP.D7_UP","Ltbp1_D0_ECs"
"61","ENSMUSG00000018830","Myh11","D0","ECs",1326.76906553978,998.4558,1655.0823,"4.2628e-03",0.6428,1,"D0","1_UP.","D0_UP","Myh11_D0_ECs"
"62","ENSMUSG00000022505","Emp2","D0","ECs",282.844887737345,178.2463,387.4435,"6.0488e-07",1.0619,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Emp2_D0_ECs"
"63","ENSMUSG00000022533","Atp13a3","D0","ECs",1445.20713684982,1168.8155,1721.5987,"2.8692e-03",0.4971,1,"D0","1_UP.","D0_UP","Atp13a3_D0_ECs"
"64","ENSMUSG00000035678","Tnfsf9","D0","ECs",82.5091100993875,52.4556,112.5627,"2.8501e-02",0.9152,1,"D0","1_UP.","D0_UP","Tnfsf9_D0_ECs"
"65","ENSMUSG00000062609","Kcnj15","D0","ECs",171.657797439608,231.707,111.6086,"1.7134e-02",-0.8893,1,"D0","1_DOWN","D0_DOWN","Kcnj15_D0_ECs"
"66","ENSMUSG00000045215","Asxl3","D0","ECs",265.96144988877,372.106,159.8169,"3.7452e-07",-1.1557,1,"D0","1_DOWN","D0_DOWN","Asxl3_D0_ECs"
"67","ENSMUSG00000039671","Zmynd8","D0","ECs",822.290244943883,953.7503,690.8302,"4.6902e-02",-0.3783,3,"D0.D4.D7","3_DOWN","D0_DOWN.D4_DOWN.D7_DOWN","Zmynd8_D0_ECs"
"68","ENSMUSG00000044338","Aplnr","D0","ECs",2224.46150478353,2765.8467,1683.0763,"2.5301e-05",-0.6662,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Aplnr_D0_ECs"
"69","ENSMUSG00000003282","Plag1","D0","ECs",114.749206748247,60.4766,169.0218,"1.8813e-04",1.3576,4,"D0.D2.D4.D7","4_UP.","D0_UP.D2_UP.D4_UP.D7_UP","Plag1_D0_ECs"
"70","ENSMUSG00000004891","Nes","D0","ECs",3217.7412842247,2688.438,3747.0445,"1.9955e-02",0.4054,2,"D0.D4","2_UP.","D0_UP.D4_UP","Nes_D0_ECs"
"71","ENSMUSG00000015243","Abca1","D0","ECs",3272.77399398198,3797.4528,2748.0951,"3.3293e-02",-0.3832,3,"D0.D4.D7","3_DOWN","D0_DOWN.D4_DOWN.D7_DOWN","Abca1_D0_ECs"
"72","ENSMUSG00000028037","Ifi44","D0","ECs",455.226518107193,590.212,320.241,"1.1326e-03",-0.792,1,"D0","1_DOWN","D0_DOWN","Ifi44_D0_ECs"
"73","ENSMUSG00000028518","Prkaa2","D0","ECs",48.1976597853442,18.9598,77.4355,"4.3953e-04",1.8469,2,"D0.D2","2_UP.","D0_UP.D2_UP","Prkaa2_D0_ECs"
"74","ENSMUSG00000028906","Epb41","D0","ECs",4426.54995555016,5036.1696,3816.9303,"2.0738e-02",-0.3378,2,"D0.D4","1_UP.1_DOWN","D0_DOWN.D4_UP","Epb41_D0_ECs"
"75","ENSMUSG00000029417","Cxcl9","D0","ECs",411.118625239286,517.0942,305.1431,"8.3331e-03",-0.6599,1,"D0","1_DOWN","D0_DOWN","Cxcl9_D0_ECs"
"76","ENSMUSG00000040118","Cacna2d1","D0","ECs",147.965002693352,78.3856,217.5444,"2.3288e-05",1.3706,2,"D0.D7","2_UP.","D0_UP.D7_UP","Cacna2d1_D0_ECs"
"77","ENSMUSG00000042476","Abcb4","D0","ECs",518.045096396463,407.5536,628.5366,"5.2653e-03",0.5477,2,"D0.D7","2_UP.","D0_UP.D7_UP","Abcb4_D0_ECs"
"78","ENSMUSG00000002985","Apoe","D0","ECs",1322.83511416202,1046.9471,1598.7232,"1.4673e-02",0.5199,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Apoe_D0_ECs"
"79","ENSMUSG00000030096","Slc6a6","D0","ECs",5116.1866105723,3872.518,6359.8552,"2.3625e-04",0.6555,2,"D0.D4","2_UP.","D0_UP.D4_UP","Slc6a6_D0_ECs"
"80","ENSMUSG00000031748","Gnao1","D0","ECs",175.560086523612,112.5205,238.5996,"2.8692e-03",0.9631,1,"D0","1_UP.","D0_UP","Gnao1_D0_ECs"
"81","ENSMUSG00000033763","Mtss2","D0","ECs",547.004124543235,418.1069,675.9014,"9.3385e-04",0.6257,1,"D0","1_UP.","D0_UP","Mtss2_D0_ECs"
"82","ENSMUSG00000040441","Slc26a10","D0","ECs",1232.74880630345,927.4309,1538.0667,"7.2907e-07",0.6913,1,"D0","1_UP.","D0_UP","Slc26a10_D0_ECs"
"83","ENSMUSG00000032372","Plscr2","D0","ECs",490.211577098723,380.5151,599.9081,"1.3487e-03",0.5902,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Plscr2_D0_ECs"
"84","ENSMUSG00000034275","Igsf9b","D0","ECs",62.5304121373877,20.2992,104.7616,"7.6021e-07",2.24,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Igsf9b_D0_ECs"
"85","ENSMUSG00000041112","Elmo1","D0","ECs",2162.47508714479,2492.0732,1832.877,"5.0073e-03",-0.3897,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Elmo1_D0_ECs"
"86","ENSMUSG00000038679","Trps1","D0","ECs",481.47378195477,379.9925,582.9551,"7.8763e-03",0.5386,1,"D0","1_UP.","D0_UP","Trps1_D0_ECs"
"87","ENSMUSG00000052609","Plekhg3","D0","ECs",968.013798217703,781.4466,1154.5809,"1.5085e-03",0.5055,1,"D0","1_UP.","D0_UP","Plekhg3_D0_ECs"
"88","ENSMUSG00000023913","Pla2g7","D0","ECs",107.07065018811,48.918,165.2233,"4.3953e-04",1.6011,1,"D0","1_UP.","D0_UP","Pla2g7_D0_ECs"
"89","ENSMUSG00000038146","Notch3","D0","ECs",1102.93138672276,826.2619,1379.6008,"1.4288e-02",0.6319,2,"D0.D7","2_UP.","D0_UP.D7_UP","Notch3_D0_ECs"
"90","ENSMUSG00000038541","Srd5a2","D0","ECs",35.1369488874831,13.7077,56.5662,"2.6061e-02",1.7097,1,"D0","1_UP.","D0_UP","Srd5a2_D0_ECs"
"91","ENSMUSG00000048826","Dact2","D0","ECs",76.2735265070847,31.572,120.975,"4.2628e-03",1.7052,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Dact2_D0_ECs"
"92","ENSMUSG00000052516","Robo2","D0","ECs",326.556523120048,250.8845,402.2286,"8.4727e-03",0.5896,2,"D0.D4","2_UP.","D0_UP.D4_UP","Robo2_D0_ECs"
"93","ENSMUSG00000003418","St8sia6","D0","FAPs",18.7522529918711,2.0457,35.4588,"1.3620e-04",3.6376,1,"D0","1_UP.","D0_UP","St8sia6_D0_FAPs"
"94","ENSMUSG00000009418","Nav1","D0","FAPs",8439.20501222552,7601.3093,9277.1007,"2.3878e-02",0.2506,1,"D0","1_UP.","D0_UP","Nav1_D0_FAPs"
"95","ENSMUSG00000010311","Optc","D0","FAPs",225.29480335864,176.3101,274.2795,"3.6885e-02",0.5074,1,"D0","1_UP.","D0_UP","Optc_D0_FAPs"
"96","ENSMUSG00000015222","Map2","D0","FAPs",322.461543719871,238.9342,405.9889,"1.1758e-03",0.6797,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP","Map2_D0_FAPs"
"97","ENSMUSG00000016194","Hsd11b1","D0","FAPs",1232.66981227252,846.7517,1618.5879,"9.1369e-11",0.9009,4,"D0.D2.D4.D7","4_UP.","D0_UP.D2_UP.D4_UP.D7_UP","Hsd11b1_D0_FAPs"
"98","ENSMUSG00000025969","Nrp2","D0","FAPs",516.649927388083,376.628,656.6718,"1.7074e-05",0.7444,3,"D0.D2.D4","3_UP.","D0_UP.D2_UP.D4_UP","Nrp2_D0_FAPs"
"99","ENSMUSG00000026036","Nif3l1","D0","FAPs",117.778591897967,153.3712,82.186,"3.8379e-02",-0.6835,1,"D0","1_DOWN","D0_DOWN","Nif3l1_D0_FAPs"
"100","ENSMUSG00000026042","Col5a2","D0","FAPs",12598.9415372202,16144.0268,9053.8563,"1.3631e-10",-0.8057,1,"D0","1_DOWN","D0_DOWN","Col5a2_D0_FAPs"
"101","ENSMUSG00000026043","Col3a1","D0","FAPs",91036.9050663443,130085.4692,51988.3409,"3.4179e-29",-1.3105,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Col3a1_D0_FAPs"
"102","ENSMUSG00000026069","Il1rl1","D0","FAPs",57.0493921549419,112.0895,2.0093,"1.4176e-13",-5.5312,2,"D0.D2","1_UP.1_DOWN","D0_DOWN.D2_UP","Il1rl1_D0_FAPs"
"103","ENSMUSG00000026107","Nabp1","D0","FAPs",1017.16891268956,836.8216,1197.5163,"3.8684e-02",0.4176,1,"D0","1_UP.","D0_UP","Nabp1_D0_FAPs"
"104","ENSMUSG00000026158","Ogfrl1","D0","FAPs",489.204576276942,359.0289,619.3803,"5.5209e-04",0.713,2,"D0.D7","2_UP.","D0_UP.D7_UP","Ogfrl1_D0_FAPs"
"105","ENSMUSG00000026163","Sphkap","D0","FAPs",161.726264672446,77.7573,245.6953,"4.0917e-06",1.5324,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP","Sphkap_D0_FAPs"
"106","ENSMUSG00000026202","Tuba4a","D0","FAPs",85.7807889743809,54.9963,116.5653,"1.4546e-02",0.8824,2,"D0.D2","2_UP.","D0_UP.D2_UP","Tuba4a_D0_FAPs"
"107","ENSMUSG00000026208","Des","D0","FAPs",176.365000184766,108.1848,244.5452,"1.6502e-05",1.0916,2,"D0.D4","2_UP.","D0_UP.D4_UP","Des_D0_FAPs"
"108","ENSMUSG00000026443","Lrrn2","D0","FAPs",183.0606410811,253.0045,113.1168,"1.3772e-05",-1.0777,1,"D0","1_DOWN","D0_DOWN","Lrrn2_D0_FAPs"
"109","ENSMUSG00000026558","Uck2","D0","FAPs",68.5395950958793,95.9004,41.1788,"4.6749e-02",-0.9071,1,"D0","1_DOWN","D0_DOWN","Uck2_D0_FAPs"
"110","ENSMUSG00000026657","Frmd4a","D0","FAPs",985.705289225242,1139.3692,832.0414,"2.5043e-02",-0.3755,1,"D0","1_DOWN","D0_DOWN","Frmd4a_D0_FAPs"
"111","ENSMUSG00000026796","Fam129b","D0","FAPs",414.173000991786,505.8558,322.4902,"8.8568e-04",-0.5797,1,"D0","1_DOWN","D0_DOWN","Fam129b_D0_FAPs"
"112","ENSMUSG00000026837","Col5a1","D0","FAPs",12228.0327207074,15382.5106,9073.5548,"7.7165e-09",-0.7274,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Col5a1_D0_FAPs"
"113","ENSMUSG00000026840","Lamc3","D0","FAPs",177.561966354725,89.2004,265.9235,"6.2199e-06",1.4771,1,"D0","1_UP.","D0_UP","Lamc3_D0_FAPs"
"114","ENSMUSG00000026956","Uap1l1","D0","FAPs",214.280866976435,161.2747,267.287,"2.8062e-02",0.5871,1,"D0","1_UP.","D0_UP","Uap1l1_D0_FAPs"
"115","ENSMUSG00000032666","1700025G04Rik","D0","FAPs",601.551098273964,716.1581,486.9441,"5.3017e-03",-0.486,1,"D0","1_DOWN","D0_DOWN","1700025G04Rik_D0_FAPs"
"116","ENSMUSG00000037375","Hhat","D0","FAPs",124.348541848334,159.8332,88.8639,"3.2981e-02",-0.66,1,"D0","1_DOWN","D0_DOWN","Hhat_D0_FAPs"
"117","ENSMUSG00000038305","Spats2l","D0","FAPs",549.682558896722,648.7186,450.6465,"3.1328e-02",-0.4269,1,"D0","1_DOWN","D0_DOWN","Spats2l_D0_FAPs"
"118","ENSMUSG00000041439","Mfsd6","D0","FAPs",178.138513939932,136.6376,219.6394,"4.1421e-02",0.5344,1,"D0","1_UP.","D0_UP","Mfsd6_D0_FAPs"
"119","ENSMUSG00000041559","Fmod","D0","FAPs",648.251741717895,830.2921,466.2114,"1.2425e-05",-0.7782,1,"D0","1_DOWN","D0_DOWN","Fmod_D0_FAPs"
"120","ENSMUSG00000041801","Phlda3","D0","FAPs",256.076836477189,310.2127,201.941,"2.6621e-02",-0.5018,1,"D0","1_DOWN","D0_DOWN","Phlda3_D0_FAPs"
"121","ENSMUSG00000047330","Kcne4","D0","FAPs",105.657237009783,57.0869,154.2276,"1.5364e-03",1.256,2,"D0.D2","2_UP.","D0_UP.D2_UP","Kcne4_D0_FAPs"
"122","ENSMUSG00000049690","Nckap5","D0","FAPs",262.853109768093,187.6873,338.0189,"1.2355e-02",0.7023,1,"D0","1_UP.","D0_UP","Nckap5_D0_FAPs"
"123","ENSMUSG00000099032","Tcf24","D0","FAPs",31.675948074336,13.7985,49.5534,"5.8723e-03",1.5744,1,"D0","1_UP.","D0_UP","Tcf24_D0_FAPs"
"124","ENSMUSG00000001986","Gria3","D0","FAPs",653.112427355509,552.0018,754.2231,"4.2252e-02",0.3648,2,"D0.D7","2_UP.","D0_UP.D7_UP","Gria3_D0_FAPs"
"125","ENSMUSG00000005087","Cd44","D0","FAPs",1330.92802332186,1565.5597,1096.2963,"4.0378e-03",-0.4503,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Cd44_D0_FAPs"
"126","ENSMUSG00000017754","Pltp","D0","FAPs",247.548574465446,175.6442,319.453,"1.0192e-02",0.7265,1,"D0","1_UP.","D0_UP","Pltp_D0_FAPs"
"127","ENSMUSG00000017897","Eya2","D0","FAPs",389.035867501165,311.1014,466.9704,"6.0558e-03",0.5051,1,"D0","1_UP.","D0_UP","Eya2_D0_FAPs"
"128","ENSMUSG00000026893","Gca","D0","FAPs",20.4736574296983,7.3221,33.6253,"1.8974e-02",1.791,1,"D0","1_UP.","D0_UP","Gca_D0_FAPs"
"129","ENSMUSG00000027075","Slc43a1","D0","FAPs",499.871103668052,328.1584,671.5838,"3.0069e-08",0.9829,1,"D0","1_UP.","D0_UP","Slc43a1_D0_FAPs"
"130","ENSMUSG00000027111","Itga6","D0","FAPs",76.3206410970874,111.7404,40.9008,"3.3194e-03",-1.2651,2,"D0.D2","2_DOWN","D0_DOWN.D2_DOWN","Itga6_D0_FAPs"
"131","ENSMUSG00000027358","Bmp2","D0","FAPs",346.715712191348,250.6937,442.7377,"9.2499e-05",0.7553,1,"D0","1_UP.","D0_UP","Bmp2_D0_FAPs"
"132","ENSMUSG00000027381","Bcl2l11","D0","FAPs",374.462057546301,299.2843,449.6398,"2.7909e-02",0.4793,1,"D0","1_UP.","D0_UP","Bcl2l11_D0_FAPs"
"133","ENSMUSG00000027422","Rrbp1","D0","FAPs",4411.21680693425,4909.3137,3913.1199,"4.0208e-02",-0.277,1,"D0","1_DOWN","D0_DOWN","Rrbp1_D0_FAPs"
"134","ENSMUSG00000027469","Tpx2","D0","FAPs",64.4549485419947,102.609,26.3009,"8.3276e-06",-1.8219,1,"D0","1_DOWN","D0_DOWN","Tpx2_D0_FAPs"
"135","ENSMUSG00000031239","Itm2a","D0","FAPs",1790.75850180793,2318.2011,1263.3159,"1.1320e-09",-0.8405,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN","Itm2a_D0_FAPs"
"136","ENSMUSG00000033368","Trim69","D0","FAPs",112.543967679199,79.1861,145.9019,"2.4582e-02",0.7148,2,"D0.D7","2_UP.","D0_UP.D7_UP","Trim69_D0_FAPs"
"137","ENSMUSG00000033965","Slc16a2","D0","FAPs",503.607711825964,407.6215,599.5939,"1.1224e-02",0.4775,3,"D0.D2.D4","3_UP.","D0_UP.D2_UP.D4_UP","Slc16a2_D0_FAPs"
"138","ENSMUSG00000034311","Kif4","D0","FAPs",16.2818408948209,28.7907,3.7729,"1.5380e-02",-0.0864,1,"D0","1_DOWN","D0_DOWN","Kif4_D0_FAPs"
