"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"id"	"day"	"type"	"symbol"
1248.836	-0.3103231	0.1513059	0.01721537	0.08571505	"ENSMUSG00000013662"	"D2"	"MuSCs"	"Atad1"
5982.572	0.2182897	0.1655041	0.1112877	0.2908366	"ENSMUSG00000013663"	"D2"	"MuSCs"	"Pten"
152.5074	-0.1835092	0.2399804	0.2400354	0.4687945	"ENSMUSG00000014503"	"D2"	"MuSCs"	"Pkd2l2"
273.7439	-0.2233637	0.2001676	0.1410143	0.3384863	"ENSMUSG00000014504"	"D2"	"MuSCs"	"Srp19"
128.3328	0.3306374	0.2956406	0.07249405	0.220999	"ENSMUSG00000016495"	"D2"	"MuSCs"	"Plgrkt"
30.5559	0.186059	0.3343845	0.1376029	0.3332281	"ENSMUSG00000016496"	"D2"	"MuSCs"	"Cd274"
137.6427	0.305831	0.2735611	0.08595994	0.2464751	"ENSMUSG00000018820"	"D2"	"MuSCs"	"Zfyve27"
900.3594	0.489986	0.1866484	0.001938749	0.0194888	"ENSMUSG00000024143"	"D2"	"MuSCs"	"Rhoq"
381.433	-0.4077418	0.2144273	0.01420142	0.07563407	"ENSMUSG00000024151"	"D2"	"MuSCs"	"Msh2"
694.6561	0.4452933	0.2159437	0.009386621	0.05720258	"ENSMUSG00000024236"	"D2"	"MuSCs"	"Svil"
2296.127	0.4330713	0.1867848	0.005418396	0.03971691	"ENSMUSG00000024238"	"D2"	"MuSCs"	"Zeb1"
257.5006	-0.3266889	0.2257766	0.04890812	0.1714912	"ENSMUSG00000024258"	"D2"	"MuSCs"	"Polr2d"
914.7797	0.7664678	0.1939085	9.590765e-06	0.0003612425	"ENSMUSG00000024277"	"D2"	"MuSCs"	"Mapre2"
763.6141	-0.3003047	0.1672844	0.03097426	0.1268776	"ENSMUSG00000024287"	"D2"	"MuSCs"	"Thoc1"
2705.33	-0.1314389	0.1308868	0.2561068	0.4870506	"ENSMUSG00000024294"	"D2"	"MuSCs"	"Mib1"
581.2798	1.209965	0.1890531	1.324924e-11	4.733763e-09	"ENSMUSG00000024302"	"D2"	"MuSCs"	"Dtna"
2149.187	-0.9125021	0.1740399	1.326147e-08	1.658347e-06	"ENSMUSG00000024304"	"D2"	"MuSCs"	"Cdh2"
251.9735	-0.1711811	0.212658	0.2587998	0.4894997	"ENSMUSG00000024317"	"D2"	"MuSCs"	"Rnf138"
220.1327	-0.2104116	0.2204646	0.1787866	0.3908964	"ENSMUSG00000024354"	"D2"	"MuSCs"	"Slc23a1"
5958.119	-0.4290685	0.1737184	0.003412933	0.02875522	"ENSMUSG00000024359"	"D2"	"MuSCs"	"Hspa9"
3927.588	-0.4896425	0.1614617	0.0005187969	0.007543669	"ENSMUSG00000024360"	"D2"	"MuSCs"	"Etf1"
69.56757	0.3754121	0.3781114	0.05671392	0.1885088	"ENSMUSG00000024366"	"D2"	"MuSCs"	"Gfra3"
1407.512	-0.1987664	0.1455278	0.1126821	0.293316	"ENSMUSG00000024383"	"D2"	"MuSCs"	"Map3k2"
85.92514	1.409189	0.3795781	1.332181e-05	0.000471924	"ENSMUSG00000024395"	"D2"	"MuSCs"	"Lims2"
1047.113	-0.2720014	0.1700982	0.0516803	0.1774135	"ENSMUSG00000024400"	"D2"	"MuSCs"	"Wdr33"
617.7202	0.3074922	0.1932426	0.04602042	0.1652797	"ENSMUSG00000024420"	"D2"	"MuSCs"	"Zfp521"
39.66822	1.465158	0.6172556	0.0008459239	0.01082731	"ENSMUSG00000024421"	"D2"	"MuSCs"	"Lama3"
775.5078	0.2289823	0.1744953	0.1089048	0.2862844	"ENSMUSG00000024423"	"D2"	"MuSCs"	"Impact"
1026.278	0.2608098	0.1537482	0.04797246	0.1697017	"ENSMUSG00000024425"	"D2"	"MuSCs"	"Ndfip1"
1583.609	0.1745633	0.1472498	0.1751282	0.3863759	"ENSMUSG00000024431"	"D2"	"MuSCs"	"Nr3c1"
578.5965	-0.1735165	0.1736178	0.2144114	0.4385369	"ENSMUSG00000024477"	"D2"	"MuSCs"	"Pggt1b"
1281.371	-0.2684297	0.1511619	0.03814938	0.146381	"ENSMUSG00000024491"	"D2"	"MuSCs"	"Rbm27"
137.5977	-0.6518516	0.4486687	0.01016921	0.06038269	"ENSMUSG00000024521"	"D2"	"MuSCs"	"Pmaip1"
276.3376	0.440387	0.2649151	0.02064701	0.09684576	"ENSMUSG00000024525"	"D2"	"MuSCs"	"Impa2"
263.6774	-0.5037095	0.2808395	0.01115755	0.06403176	"ENSMUSG00000024528"	"D2"	"MuSCs"	"Srfbp1"
56.08692	0.3552008	0.4130124	0.0614602	0.1985512	"ENSMUSG00000024530"	"D2"	"MuSCs"	"Prelid3a"
260.2578	-0.2453334	0.2201579	0.1212864	0.307894	"ENSMUSG00000024537"	"D2"	"MuSCs"	"Psmg2"
452.9176	-0.4995119	0.1978367	0.002233444	0.0213363	"ENSMUSG00000024538"	"D2"	"MuSCs"	"Ppic"
1427.475	-0.6300842	0.1567336	8.531988e-06	0.0003262768	"ENSMUSG00000024542"	"D2"	"MuSCs"	"Cep192"
433.2343	-0.327379	0.1966063	0.03444347	0.1368019	"ENSMUSG00000024560"	"D2"	"MuSCs"	"Cxxc1"
737.0858	-0.1673315	0.1541612	0.1983778	0.4171372	"ENSMUSG00000024563"	"D2"	"MuSCs"	"Smad2"
