"","id","symbol","day","type","baseMean","meanCountNormalizedYoung","meanCountNormalizedOld","padj","log2FoldChange","nbDayDE","CombiDayDEG","NbUpDown","CombiDaysUpDown"
"1","ENSMUSG00000016494","Cd34","D0","ECs",4132.56750806279,4917.32448306478,3347.81053306079,4.197573094619e-06,-0.520349257718414,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"2","ENSMUSG00000025780","Itih5","D0","ECs",247.516447028782,319.071032674975,175.961861382589,0.0050072726777294,-0.754246920126267,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"3","ENSMUSG00000026208","Des","D0","ECs",123.127437583262,84.3329520425037,161.92192312402,0.0426936978782349,0.767434090102048,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"4","ENSMUSG00000026399","Cd55","D0","ECs",192.96568172928,252.497868881278,133.433494577281,0.00293895564476403,-0.813769029032157,1,"D0","1_DOWN","D0_DOWN"
"5","ENSMUSG00000026872","Zeb2","D0","ECs",759.376571483609,567.105770409397,951.64737255782,0.00997060103191915,0.644500755108112,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"6","ENSMUSG00000039157","Fam102a","D0","ECs",981.585373270564,707.725369333433,1255.44537720769,4.197573094619e-06,0.776435832832652,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"7","ENSMUSG00000073490","Ifi207","D0","ECs",80.0118526437824,40.5537377303008,119.469967557264,0.00409214177826276,1.37398944006299,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"8","ENSMUSG00000079588","Tmem182","D0","ECs",439.410840826915,249.430594718068,629.391086935762,2.42551563228845e-09,1.28405161516074,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"9","ENSMUSG00000026893","Gca","D0","ECs",17.4097989102446,2.75246493261738,32.0671328878719,0.00588061882935176,3.10082361350986,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"10","ENSMUSG00000027074","Slc43a3","D0","ECs",4652.9504991859,5272.04132023272,4033.85967813909,0.0211294063587606,-0.325428738667857,1,"D0","1_DOWN","D0_DOWN"
"11","ENSMUSG00000027293","Ehd4","D0","ECs",740.386279471708,875.827044045787,604.945514897629,0.0161643322688469,-0.452917213699619,2,"D0.D4","2_DOWN","D0_DOWN.D4_DOWN"
"12","ENSMUSG00000031391","L1cam","D0","ECs",540.181310917591,398.265307994025,682.097313841156,0.000439525237478652,0.707126773761626,2,"D0.D4","2_UP.","D0_UP.D4_UP"
"13","ENSMUSG00000045103","Dmd","D0","ECs",1077.25583011662,877.832519315903,1276.67914091734,0.0144809976909661,0.463128040865728,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"14","ENSMUSG00000067377","Tspan6","D0","ECs",818.45609004831,952.143451821029,684.768728275592,0.0147023413063466,-0.405735184388524,1,"D0","1_DOWN","D0_DOWN"
"15","ENSMUSG00000071722","Spin4","D0","ECs",94.1571849119657,55.2895285060106,133.024841317921,0.00787627932790339,1.10067522807239,1,"D0","1_UP.","D0_UP"
"16","ENSMUSG00000027500","Stmn2","D0","ECs",351.535008529616,268.556098638792,434.513918420441,0.036749546265455,0.57082672050096,1,"D0","1_UP.","D0_UP"
"17","ENSMUSG00000027895","Kcnc4","D0","ECs",44.8573609404925,19.5988352397449,70.11588664124,0.00787692481056214,1.59627900002962,1,"D0","1_UP.","D0_UP"
"18","ENSMUSG00000028005","Gucy1b1","D0","ECs",322.620786682566,227.184561261104,418.057012104028,0.0460816125812146,0.713144494157704,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"19","ENSMUSG00000052415","Tchh","D0","ECs",18.0482838381434,0.696256908958709,35.400310767328,0.000621541009586944,5.19284750309113,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"20","ENSMUSG00000060206","Zfp462","D0","ECs",657.484579824172,853.684055691923,461.285103956422,1.93427482277126e-06,-0.836348684000097,4,"D0.D2.D4.D7","4_DOWN","D0_DOWN.D2_DOWN.D4_DOWN.D7_DOWN"
"21","ENSMUSG00000018604","Tbx3","D0","ECs",1363.41786496548,1040.36327321532,1686.47245671565,0.00787627932790339,0.60572652071685,1,"D0","1_UP.","D0_UP"
"22","ENSMUSG00000028766","Alpl","D0","ECs",1137.97938331558,842.154364832343,1433.80440179882,1.40604150475648e-06,0.724654719488645,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"23","ENSMUSG00000029053","Prkcz","D0","ECs",57.7723241869196,26.7573133315315,88.7873350423078,0.000981808640529117,1.56245007424289,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"24","ENSMUSG00000029338","Antxr2","D0","ECs",111.708410169642,150.741083294502,72.6757370447813,0.0233042182569051,-0.879671615998214,1,"D0","1_DOWN","D0_DOWN"
