"","id","symbol","day","type","baseMean","meanCountNormalizedYoung","meanCountNormalizedOld","padj","log2FoldChange","nbDayDE","CombiDayDEG","NbUpDown","CombiDaysUpDown"
"25","ENSMUSG00000037235","Mxd4","D0","ECs",3180.60673408064,3570.98676972287,2790.22669843841,0.0161643322688469,-0.302743011951039,1,"D0","1_DOWN","D0_DOWN"
"26","ENSMUSG00000040537","Adam22","D0","ECs",1111.63062615926,757.176218961318,1466.0850333572,0.000112315068713207,0.877806521888933,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"27","ENSMUSG00000046447","Camk2n1","D0","ECs",143.946359497856,99.9842545663782,187.908464429334,0.0161643322688469,0.772916306235938,1,"D0","1_UP.","D0_UP"
"28","ENSMUSG00000106379","Lhfpl3","D0","ECs",30.0829097949628,3.74795296293979,56.4178666269857,1.67654530052902e-06,3.68147873082426,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"29","ENSMUSG00000003153","Slc2a3","D0","ECs",71.6499479798961,38.9069529819569,104.392942977835,0.00983173740633752,1.22769203520984,1,"D0","1_UP.","D0_UP"
"30","ENSMUSG00000029860","Zyx","D0","ECs",1636.75391184956,1370.1766101017,1903.33121359742,0.0363811510472429,0.391516556344336,1,"D0","1_UP.","D0_UP"
"31","ENSMUSG00000030393","Zik1","D0","ECs",27.7777516059713,46.8609131248194,8.69459008712318,0.00213339318436674,-2.17193942674231,1,"D0","1_DOWN","D0_DOWN"
"32","ENSMUSG00000034387","Ssu2","D0","ECs",284.833016414042,385.926203149871,183.739829678214,0.000112315068713207,-0.985469524068324,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"33","ENSMUSG00000053007","Creb5","D0","ECs",190.655578262723,136.781312596751,244.529843928695,0.0142876547052949,0.715115717038857,1,"D0","1_UP.","D0_UP"
"34","ENSMUSG00000054435","Gimap4","D0","ECs",1456.94757781372,1679.79226310095,1234.10289252649,0.0448959106018498,-0.362511962871106,1,"D0","1_DOWN","D0_DOWN"
"35","ENSMUSG00000092035","Peg10","D0","ECs",249.429280529955,191.189961873174,307.668599186736,0.019954869148867,0.579357959019951,1,"D0","1_UP.","D0_UP"
"36","ENSMUSG00000030701","Plekhb1","D0","ECs",339.719536481383,263.181291780614,416.257781182151,0.0379641695410318,0.541843471580228,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"37","ENSMUSG00000030922","Lyrm1","D0","ECs",249.018358217025,310.54835728119,187.488359152861,0.0105372291738818,-0.626492617678704,1,"D0","1_DOWN","D0_DOWN"
"38","ENSMUSG00000039031","Arhgap18","D0","ECs",3199.72518231478,2784.15408077592,3615.29628385364,0.036749546265455,0.312798501817194,1,"D0","1_UP.","D0_UP"
"39","ENSMUSG00000058297","Spock2","D0","ECs",383.849723434912,212.981635855012,554.717811014813,4.28095682045272e-05,1.27982364745011,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"40","ENSMUSG00000070509","Rgma","D0","ECs",120.412724058841,73.8862187938042,166.939229323879,0.0152137712576719,1.00013663538727,1,"D0","1_UP.","D0_UP"
"41","ENSMUSG00000090958","Lrrc32","D0","ECs",576.22195741742,416.921513669867,735.522401164973,2.29188411217236e-06,0.770297786916033,1,"D0","1_UP.","D0_UP"
"42","ENSMUSG00000015568","Lpl","D0","ECs",12034.9791748979,14195.5428827727,9874.41546702306,0.00983173740633752,-0.452720556862008,2,"D0.D4","1_UP.1_DOWN","D0_DOWN.D4_UP"
"43","ENSMUSG00000020183","Cpm","D0","ECs",495.846086692091,396.900431440772,594.791741943409,0.0105372291738818,0.503140480097261,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"44","ENSMUSG00000025366","Esyt1","D0","ECs",1396.11456315351,1187.49903577161,1604.73009053541,0.0350921240939436,0.359452596392893,1,"D0","1_UP.","D0_UP"
"45","ENSMUSG00000031450","Grk1","D0","ECs",285.587067771227,352.211038382726,218.963097159728,0.0338092399851689,-0.565614139489692,2,"D0.D7","1_UP.1_DOWN","D0_DOWN.D7_UP"
"46","ENSMUSG00000038872","Zfhx3","D0","ECs",540.754769423505,386.603027405417,694.906511441594,0.0012667472899388,0.760145051092947,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"47","ENSMUSG00000005148","Klf5","D0","ECs",47.8953971950572,22.5932801716481,73.1975142184662,0.0268045238119139,1.40818672920092,1,"D0","1_UP.","D0_UP"
"48","ENSMUSG00000023064","Sncg","D0","ECs",124.861949822476,84.3342759618107,165.389623683141,0.0350921240939436,0.800363711886473,1,"D0","1_UP.","D0_UP"
"49","ENSMUSG00000032177","Pde4a","D0","ECs",189.099274473471,134.374149782583,243.824399164359,0.0448959106018498,0.69650004395297,1,"D0","1_UP.","D0_UP"
"50","ENSMUSG00000032502","Stac","D0","ECs",29.7242645657266,11.9767754780425,47.4717536534108,0.0398067198287509,1.62037448056929,1,"D0","1_UP.","D0_UP"
"51","ENSMUSG00000035566","Pcdh17","D0","ECs",1928.48747146055,2337.14732609851,1519.8276168226,4.197573094619e-06,-0.582655339897923,3,"D0.D2.D7","3_DOWN","D0_DOWN.D2_DOWN.D7_DOWN"
"52","ENSMUSG00000066687","Zbtb16","D0","ECs",790.053982412872,1232.81617718959,347.291787636158,2.74180851753766e-20,-1.79135313960597,1,"D0","1_DOWN","D0_DOWN"
"53","ENSMUSG00000017417","Plxdc1","D0","ECs",225.637953264827,164.010124536228,287.265781993426,0.0490367415099477,0.652420966491974,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"54","ENSMUSG00000018593","Sparc","D0","ECs",9809.27505323735,11369.8936999024,8248.65640657226,0.0114074678948384,-0.398892614358087,3,"D0.D2.D7","3_DOWN","D0_DOWN.D2_DOWN.D7_DOWN"
"55","ENSMUSG00000020902","Ntn1","D0","ECs",188.560645168614,127.057400040619,250.063890296609,0.0027058618433507,0.868576516185649,1,"D0","1_UP.","D0_UP"
"56","ENSMUSG00000053113","Socs3","D0","ECs",635.429389845893,526.826825819851,744.031953871934,0.0398067198287509,0.409197045896741,1,"D0","1_UP.","D0_UP"
"57","ENSMUSG00000056427","Slit3","D0","ECs",182.678246019078,89.1483698144407,276.208122223715,4.09654706033848e-08,1.55657085344823,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"58","ENSMUSG00000044258","Ctla2a","D0","ECs",889.332512980368,1165.0025566087,613.66246935204,2.19927184006394e-06,-0.87088681293742,1,"D0","1_DOWN","D0_DOWN"
"59","ENSMUSG00000047414","Flrt2","D0","ECs",255.879599133062,336.366773115769,175.392425150355,0.00526531584189138,-0.822653776028583,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"60","ENSMUSG00000001870","Ltbp1","D0","ECs",664.463291745943,520.460372141568,808.466211350318,0.000393224898346178,0.57972593258579,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"61","ENSMUSG00000018830","Myh11","D0","ECs",1326.76906553978,998.455814910424,1655.08231616914,0.00426281640205123,0.642806723298452,1,"D0","1_UP.","D0_UP"
"62","ENSMUSG00000022505","Emp2","D0","ECs",282.844887737345,178.246270647558,387.443504827132,6.04883320037468e-07,1.06193708349269,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"63","ENSMUSG00000022533","Atp13a3","D0","ECs",1445.20713684982,1168.81553375007,1721.59873994957,0.00286922894591671,0.497110076302892,1,"D0","1_UP.","D0_UP"
"64","ENSMUSG00000035678","Tnfsf9","D0","ECs",82.5091100993875,52.4555502587706,112.562669940004,0.0285014512967296,0.91520610867812,1,"D0","1_UP.","D0_UP"
"65","ENSMUSG00000062609","Kcnj15","D0","ECs",171.657797439608,231.707015932084,111.608578947131,0.0171341852800536,-0.88927666144309,1,"D0","1_DOWN","D0_DOWN"
"66","ENSMUSG00000045215","Asxl3","D0","ECs",265.96144988877,372.105966775999,159.816933001541,3.74515208627876e-07,-1.15567276595247,1,"D0","1_DOWN","D0_DOWN"
"67","ENSMUSG00000039671","Zmynd8","D0","ECs",822.290244943883,953.750252385927,690.83023750184,0.0469021944137447,-0.378323513183382,3,"D0.D4.D7","3_DOWN","D0_DOWN.D4_DOWN.D7_DOWN"
"68","ENSMUSG00000044338","Aplnr","D0","ECs",2224.46150478353,2765.84671489995,1683.07629466711,2.5301207336079e-05,-0.666206238491588,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"69","ENSMUSG00000003282","Plag1","D0","ECs",114.749206748247,60.4765990668489,169.021814429646,0.000188127263806633,1.3576242320108,4,"D0.D2.D4.D7","4_UP.","D0_UP.D2_UP.D4_UP.D7_UP"
"70","ENSMUSG00000004891","Nes","D0","ECs",3217.7412842247,2688.43804428797,3747.04452416143,0.019954869148867,0.405384891861324,2,"D0.D4","2_UP.","D0_UP.D4_UP"
"71","ENSMUSG00000015243","Abca1","D0","ECs",3272.77399398198,3797.45284742504,2748.09514053892,0.033292504517974,-0.383172622639984,3,"D0.D4.D7","3_DOWN","D0_DOWN.D4_DOWN.D7_DOWN"
"72","ENSMUSG00000028037","Ifi44","D0","ECs",455.226518107193,590.212041085197,320.240995129188,0.00113261406233223,-0.791998157193991,1,"D0","1_DOWN","D0_DOWN"
"73","ENSMUSG00000028518","Prkaa2","D0","ECs",48.1976597853442,18.9598294528641,77.4354901178242,0.000439525237478652,1.84685103105594,2,"D0.D2","2_UP.","D0_UP.D2_UP"
"74","ENSMUSG00000028906","Epb41","D0","ECs",4426.54995555016,5036.16959998501,3816.93031111531,0.0207378738732089,-0.337796408014054,2,"D0.D4","1_UP.1_DOWN","D0_DOWN.D4_UP"
"75","ENSMUSG00000029417","Cxcl9","D0","ECs",411.118625239286,517.094165277497,305.143085201075,0.0083331009292014,-0.659856799646357,1,"D0","1_DOWN","D0_DOWN"
"76","ENSMUSG00000040118","Cacna2d1","D0","ECs",147.965002693352,78.3856099724209,217.544395414283,2.32880774125553e-05,1.37064836155342,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"77","ENSMUSG00000042476","Abcb4","D0","ECs",518.045096396463,407.553638468315,628.536554324611,0.00526531584189138,0.54773252208323,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"78","ENSMUSG00000002985","Apoe","D0","ECs",1322.83511416202,1046.9470611277,1598.72316719634,0.0146727120504512,0.519869163826601,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"79","ENSMUSG00000030096","Slc6a6","D0","ECs",5116.1866105723,3872.5179929892,6359.85522815541,0.000236254947617744,0.655453732526613,2,"D0.D4","2_UP.","D0_UP.D4_UP"
"80","ENSMUSG00000031748","Gnao1","D0","ECs",175.560086523612,112.520549678366,238.599623368858,0.00286922894591671,0.963110969299119,1,"D0","1_UP.","D0_UP"
"81","ENSMUSG00000033763","Mtss2","D0","ECs",547.004124543235,418.106893120234,675.901355966236,0.00093385158144676,0.625655198787343,1,"D0","1_UP.","D0_UP"
"82","ENSMUSG00000040441","Slc26a10","D0","ECs",1232.74880630345,927.430908034647,1538.06670457225,7.29065437733692e-07,0.691265470916712,1,"D0","1_UP.","D0_UP"
"83","ENSMUSG00000032372","Plscr2","D0","ECs",490.211577098723,380.515101521525,599.90805267592,0.00134870361327434,0.59022915684455,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"84","ENSMUSG00000034275","Igsf9b","D0","ECs",62.5304121373877,20.2991891257506,104.761635149025,7.60212293573837e-07,2.23997052320222,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"85","ENSMUSG00000041112","Elmo1","D0","ECs",2162.47508714479,2492.0731723926,1832.87700189699,0.0050072726777294,-0.389709722002106,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"86","ENSMUSG00000038679","Trps1","D0","ECs",481.47378195477,379.992454681002,582.955109228538,0.00787627932790339,0.538577801247113,1,"D0","1_UP.","D0_UP"
"87","ENSMUSG00000052609","Plekhg3","D0","ECs",968.013798217703,781.44664880815,1154.58094762726,0.00150851140579015,0.505468240044873,1,"D0","1_UP.","D0_UP"
"88","ENSMUSG00000023913","Pla2g7","D0","ECs",107.07065018811,48.9180375040162,165.223262872203,0.000439525237478652,1.60114452033817,1,"D0","1_UP.","D0_UP"
"89","ENSMUSG00000038146","Notch3","D0","ECs",1102.93138672276,826.261945263767,1379.60082818175,0.0142876547052949,0.631927759483496,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"90","ENSMUSG00000038541","Srd5a2","D0","ECs",35.1369488874831,13.7077400421699,56.5661577327962,0.0260611304641889,1.70974802613969,1,"D0","1_UP.","D0_UP"
"91","ENSMUSG00000048826","Dact2","D0","ECs",76.2735265070847,31.5720465236352,120.975006490534,0.00426281640205123,1.70516330262737,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"92","ENSMUSG00000052516","Robo2","D0","ECs",326.556523120048,250.884480626236,402.228565613861,0.00847273437890753,0.589551459868146,2,"D0.D4","2_UP.","D0_UP.D4_UP"
"93","ENSMUSG00000003418","St8sia6","D0","FAPs",18.7522529918711,2.04567481802408,35.4588311657182,0.000136204018761085,3.63763711513499,1,"D0","1_UP.","D0_UP"
"94","ENSMUSG00000009418","Nav1","D0","FAPs",8439.20501222552,7601.30930457958,9277.10071987145,0.0238778510841196,0.250638586442176,1,"D0","1_UP.","D0_UP"
"95","ENSMUSG00000010311","Optc","D0","FAPs",225.29480335864,176.310094642432,274.279512074848,0.0368852792655958,0.507365819026429,1,"D0","1_UP.","D0_UP"
"96","ENSMUSG00000015222","Map2","D0","FAPs",322.461543719871,238.934202405936,405.988885033805,0.00117576353504479,0.679703515380091,3,"D0.D2.D7","3_UP.","D0_UP.D2_UP.D7_UP"
"97","ENSMUSG00000016194","Hsd11b1","D0","FAPs",1232.66981227252,846.751724563771,1618.58789998127,9.13691253183939e-11,0.900912874106242,4,"D0.D2.D4.D7","4_UP.","D0_UP.D2_UP.D4_UP.D7_UP"
"98","ENSMUSG00000025969","Nrp2","D0","FAPs",516.649927388083,376.628019433273,656.671835342894,1.70735823396948e-05,0.744432355735591,3,"D0.D2.D4","3_UP.","D0_UP.D2_UP.D4_UP"
"99","ENSMUSG00000026036","Nif3l1","D0","FAPs",117.778591897967,153.371213241503,82.1859705544312,0.0383789355403356,-0.68351878349331,1,"D0","1_DOWN","D0_DOWN"
"100","ENSMUSG00000026042","Col5a2","D0","FAPs",12598.9415372202,16144.0267596359,9053.85631480451,1.36314895841285e-10,-0.805654903538905,1,"D0","1_DOWN","D0_DOWN"
"101","ENSMUSG00000026043","Col3a1","D0","FAPs",91036.9050663443,130085.469202356,51988.3409303328,3.41794253453963e-29,-1.31052174097928,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"102","ENSMUSG00000026069","Il1rl1","D0","FAPs",57.0493921549419,112.089452652425,2.00933165745917,1.41764722613979e-13,-5.53122372673026,2,"D0.D2","1_UP.1_DOWN","D0_DOWN.D2_UP"
"103","ENSMUSG00000026107","Nabp1","D0","FAPs",1017.16891268956,836.821559593192,1197.51626578592,0.0386842304294373,0.417561290501871,1,"D0","1_UP.","D0_UP"
"104","ENSMUSG00000026158","Ogfrl1","D0","FAPs",489.204576276942,359.028885223257,619.380267330627,0.000552089137747238,0.713013805511597,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"105","ENSMUSG00000026163","Sphkap","D0","FAPs",161.726264672446,77.7572506315987,245.695278713293,4.0916653696778e-06,1.53240033722147,3,"D0.D4.D7","3_UP.","D0_UP.D4_UP.D7_UP"
"106","ENSMUSG00000026202","Tuba4a","D0","FAPs",85.7807889743809,54.9963179582647,116.565259990497,0.0145461075173849,0.882354009904706,2,"D0.D2","2_UP.","D0_UP.D2_UP"
"107","ENSMUSG00000026208","Des","D0","FAPs",176.365000184766,108.184818136201,244.545182233332,1.65019731365522e-05,1.09161085058386,2,"D0.D4","2_UP.","D0_UP.D4_UP"
"108","ENSMUSG00000026443","Lrrn2","D0","FAPs",183.0606410811,253.00448250613,113.116799656071,1.37722777503873e-05,-1.07771768019447,1,"D0","1_DOWN","D0_DOWN"
"109","ENSMUSG00000026558","Uck2","D0","FAPs",68.5395950958793,95.9003629726371,41.1788272191216,0.0467486357850727,-0.907060535374909,1,"D0","1_DOWN","D0_DOWN"
"110","ENSMUSG00000026657","Frmd4a","D0","FAPs",985.705289225242,1139.36921247195,832.041365978535,0.0250429101861294,-0.375508652888833,1,"D0","1_DOWN","D0_DOWN"
"111","ENSMUSG00000026796","Fam129b","D0","FAPs",414.173000991786,505.855814473696,322.490187509875,0.000885684830564483,-0.579727759475671,1,"D0","1_DOWN","D0_DOWN"
"112","ENSMUSG00000026837","Col5a1","D0","FAPs",12228.0327207074,15382.5106336381,9073.55480777669,7.71645973346952e-09,-0.727441969415477,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"113","ENSMUSG00000026840","Lamc3","D0","FAPs",177.561966354725,89.2004428446065,265.923489864843,6.2198783044543e-06,1.47706503039937,1,"D0","1_UP.","D0_UP"
"114","ENSMUSG00000026956","Uap1l1","D0","FAPs",214.280866976435,161.274724851473,267.287009101397,0.0280622476141146,0.587071306933587,1,"D0","1_UP.","D0_UP"
"115","ENSMUSG00000032666","1700025G04Rik","D0","FAPs",601.551098273964,716.158061163284,486.944135384643,0.00530165961521773,-0.486022097367363,1,"D0","1_DOWN","D0_DOWN"
"116","ENSMUSG00000037375","Hhat","D0","FAPs",124.348541848334,159.833151399155,88.8639322975138,0.0329807186477015,-0.660017111208561,1,"D0","1_DOWN","D0_DOWN"
"117","ENSMUSG00000038305","Spats2l","D0","FAPs",549.682558896722,648.718586194825,450.64653159862,0.0313275825609338,-0.426936475297632,1,"D0","1_DOWN","D0_DOWN"
"118","ENSMUSG00000041439","Mfsd6","D0","FAPs",178.138513939932,136.637585409496,219.639442470369,0.0414213230619604,0.534380636816284,1,"D0","1_UP.","D0_UP"
"119","ENSMUSG00000041559","Fmod","D0","FAPs",648.251741717895,830.292133233556,466.211350202234,1.24247538103366e-05,-0.778201665941709,1,"D0","1_DOWN","D0_DOWN"
"120","ENSMUSG00000041801","Phlda3","D0","FAPs",256.076836477189,310.212662697552,201.941010256826,0.0266210485948614,-0.501794821874798,1,"D0","1_DOWN","D0_DOWN"
"121","ENSMUSG00000047330","Kcne4","D0","FAPs",105.657237009783,57.0869237818972,154.227550237669,0.00153644831857995,1.25595601421194,2,"D0.D2","2_UP.","D0_UP.D2_UP"
"122","ENSMUSG00000049690","Nckap5","D0","FAPs",262.853109768093,187.687308324344,338.018911211842,0.0123551209711527,0.702313038119759,1,"D0","1_UP.","D0_UP"
"123","ENSMUSG00000099032","Tcf24","D0","FAPs",31.675948074336,13.7985186239721,49.5533775246999,0.00587232918776552,1.57440923420888,1,"D0","1_UP.","D0_UP"
"124","ENSMUSG00000001986","Gria3","D0","FAPs",653.112427355509,552.001798661064,754.223056049954,0.0422519205253366,0.36476414296277,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"125","ENSMUSG00000005087","Cd44","D0","FAPs",1330.92802332186,1565.55971561676,1096.29633102695,0.00403783940960829,-0.45032461650813,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"126","ENSMUSG00000017754","Pltp","D0","FAPs",247.548574465446,175.644160297287,319.452988633605,0.0101922262141914,0.726490704392968,1,"D0","1_UP.","D0_UP"
"127","ENSMUSG00000017897","Eya2","D0","FAPs",389.035867501165,311.101377192901,466.970357809428,0.0060558302611687,0.505121526557574,1,"D0","1_UP.","D0_UP"
"128","ENSMUSG00000026893","Gca","D0","FAPs",20.4736574296983,7.3220636000256,33.625251259371,0.0189739655666379,1.79103640473735,1,"D0","1_UP.","D0_UP"
"129","ENSMUSG00000027075","Slc43a1","D0","FAPs",499.871103668052,328.158428239797,671.583779096308,3.00690681003697e-08,0.982877092293292,1,"D0","1_UP.","D0_UP"
"130","ENSMUSG00000027111","Itga6","D0","FAPs",76.3206410970874,111.740445803758,40.9008363904164,0.00331939142101682,-1.26505406503544,2,"D0.D2","2_DOWN","D0_DOWN.D2_DOWN"
"131","ENSMUSG00000027358","Bmp2","D0","FAPs",346.715712191348,250.693727153443,442.737697229253,9.24993033184012e-05,0.755346196775106,1,"D0","1_UP.","D0_UP"
"132","ENSMUSG00000027381","Bcl2l11","D0","FAPs",374.462057546301,299.284314392112,449.639800700491,0.0279085781211166,0.479345726922368,1,"D0","1_UP.","D0_UP"
"133","ENSMUSG00000027422","Rrbp1","D0","FAPs",4411.21680693425,4909.31368930156,3913.11992456694,0.0402078287705922,-0.277007086336624,1,"D0","1_DOWN","D0_DOWN"
"134","ENSMUSG00000027469","Tpx2","D0","FAPs",64.4549485419947,102.609024143213,26.3008729407759,8.32757853189137e-06,-1.82194237043182,1,"D0","1_DOWN","D0_DOWN"
"135","ENSMUSG00000031239","Itm2a","D0","FAPs",1790.75850180793,2318.20110709906,1263.31589651681,1.13204250337768e-09,-0.840513127431448,2,"D0.D7","2_DOWN","D0_DOWN.D7_DOWN"
"136","ENSMUSG00000033368","Trim69","D0","FAPs",112.543967679199,79.186082512461,145.901852845938,0.0245821621447093,0.714774345452951,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"137","ENSMUSG00000033965","Slc16a2","D0","FAPs",503.607711825964,407.621522971814,599.593900680115,0.0112238590139224,0.477536109518458,3,"D0.D2.D4","3_UP.","D0_UP.D2_UP.D4_UP"
"138","ENSMUSG00000034311","Kif4","D0","FAPs",16.2818408948209,28.7907327041617,3.77294908548014,0.0153802649457508,-0.0863648563519441,1,"D0","1_DOWN","D0_DOWN"
"139","ENSMUSG00000034810","Scn7a","D0","FAPs",6599.67483842955,5515.0916164332,7684.2580604259,0.000283736440128293,0.438410143782457,2,"D0.D7","2_UP.","D0_UP.D7_UP"
"140","ENSMUSG00000044647","Csrnp3","D0","FAPs",17.7904446398331,33.6546059462189,1.9262833334474,0.00013209085103582,-3.73026444068102,1,"D0","1_DOWN","D0_DOWN"
"141","ENSMUSG00000048327","Ckap2l","D0","FAPs",44.3230959228066,77.1763975836336,11.4697942619795,4.8375571694923e-06,-2.52230148493573,1,"D0","1_DOWN","D0_DOWN"
"142","ENSMUSG00000055653","Gpc3","D0","FAPs",2308.84992190501,1847.88285523521,2769.81698857482,0.019035516952628,0.485750769771908,3,"D0.D4.D7","1_UP.2_DOWN","D0_UP.D4_DOWN.D7_DOWN"
"143","ENSMUSG00000075015","Gm10801","D0","FAPs",24.1276519813933,44.2020078342054,4.05329612858112,0.00542948436975881,-0.0735716297600948,1,"D0","1_DOWN","D0_DOWN"
"144","ENSMUSG00000075224","Lrrc55","D0","FAPs",270.043157655953,340.746474366405,199.3398409455,0.0144369818290055,-0.636927624488743,1,"D0","1_DOWN","D0_DOWN"
"145","ENSMUSG00000075256","Cerkl","D0","FAPs",36.2139166337145,18.2128065948954,54.2150266725336,0.0265250070886727,1.25397804969415,1,"D0","1_UP.","D0_UP"
