"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"22"	"ENSMUSG00000005501"	"Usp40"	0.156124715683462	"housekeeping"	"M2.D2"	1	1.20352092459432
"23"	"ENSMUSG00000005674"	"Tomm40l"	0.37525048481234	"housekeeping"	"M1.D2"	1	0.596350882155979
"24"	"ENSMUSG00000005677"	"Nr1i3"	0.393195224654242	"housekeeping"	"M2.D2"	1	0.611075823314037
"25"	"ENSMUSG00000005681"	"Apoa2"	0.788714093173858	"intermediate"	"M2.D2"	1	0.605876641853263
"26"	"ENSMUSG00000005763"	"Cd247"	0.70709846699628	"intermediate"	"ECs.D7"	1	0.861585852951947
"27"	"ENSMUSG00000005886"	"Ncoa2"	0.176730861042809	"housekeeping"	"FAPs.D0"	1	1.41784019621936
"28"	"ENSMUSG00000006010"	"Odr4"	0.290223413185473	"housekeeping"	"FAPs.D7"	1	1.22984813636074
"29"	"ENSMUSG00000006299"	"Aamp"	0.16755614623559	"housekeeping"	"M2.D2"	1	1.23419136911059
"30"	"ENSMUSG00000006301"	"Tmbim1"	0.247057382076046	"housekeeping"	"FAPs.D0"	1	1.39715514726287
"31"	"ENSMUSG00000006412"	"Pfdn2"	0.189654901815785	"housekeeping"	"M2.D4"	1	0.586876865901226
"32"	"ENSMUSG00000006471"	"Ndor1"	0.207895469544075	"housekeeping"	"FAPs.D0"	1	0.848914594096074
"33"	"ENSMUSG00000006542"	"Prkag3"	0.845504406662004	"specific"	"sCs.D2"	1	0.33095490074119
"34"	"ENSMUSG00000006576"	"Slc4a3"	0.74289027754581	"intermediate"	"sCs.D0"	1	1.11252722891219
"35"	"ENSMUSG00000007097"	"Atp1a2"	0.765829986422239	"intermediate"	"sCs.D0"	1	1.75708999119268
"36"	"ENSMUSG00000007107"	"Atp1a4"	0.771593428549613	"intermediate"	"FAPs.D7"	1	0.292609685678969
"37"	"ENSMUSG00000008136"	"Fhl2"	0.768150215366362	"intermediate"	"FAPs.D7"	1	1.37160756313344
"38"	"ENSMUSG00000008475"	"Arpc5"	0.26855489333866	"housekeeping"	"M2.D4"	1	2.10639724192997
"39"	"ENSMUSG00000009030"	"Pdcl"	0.172994411827645	"housekeeping"	"FAPs.D0"	1	0.99163473075118
"40"	"ENSMUSG00000009418"	"Nav1"	0.362418234155525	"housekeeping"	"FAPs.D0"	1	1.99058516536862
"41"	"ENSMUSG00000009551"	"6330409D20Rik"	0.735584335897057	"intermediate"	"ECs.D7"	1	1.06421196290055
"42"	"ENSMUSG00000009563"	"Tor2a"	0.2204078334451	"housekeeping"	"FAPs.D7"	1	1.00189726936076
"43"	"ENSMUSG00000009614"	"Sardh"	0.649666057204886	"intermediate"	"FAPs.D4"	1	0.702300985943178
"44"	"ENSMUSG00000009633"	"G0s2"	0.750148856235405	"intermediate"	"FAPs.D0"	1	1.31911324080548
"45"	"ENSMUSG00000009772"	"Nuak2"	0.537035648506768	"intermediate"	"M2.D4"	1	1.545251130433
"46"	"ENSMUSG00000009905"	"Kdsr"	0.352121105770663	"housekeeping"	"FAPs.D7"	1	1.01440016538373
"47"	"ENSMUSG00000009907"	"Vps4b"	0.226882302882766	"housekeeping"	"M2.D4"	1	1.47545951977024
"48"	"ENSMUSG00000010175"	"Prox1"	0.859149056397752	"specific"	"sCs.D7"	1	0.996734130200583
"49"	"ENSMUSG00000010290"	"AI597479"	0.351485617060055	"housekeeping"	"FAPs.D7"	1	0.833827949920494
