"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"id"	"TimeCondtion"	"type"	"age"	"symbol"
411.395337152394	1.28277780801911	0.171538922552232	2.28991575192301e-14	2.72726159380074e-13	"ENSMUSG00000001674"	"D0_D2"	"FAPs"	"Young"	"Ddx18"
10.7939374665971	2.57644128770082	1.00139480501183	0.000992408348546999	0.0032043771520031	"ENSMUSG00000003418"	"D0_D2"	"FAPs"	"Young"	"St8sia6"
520.664028764422	1.37369000701911	0.164813288870446	2.10664070143543e-17	3.15785823475607e-16	"ENSMUSG00000004880"	"D0_D2"	"FAPs"	"Young"	"Lbr"
1156.98272786705	-2.45012619078486	0.177461247130404	2.66068193591841e-44	1.75106792428033e-42	"ENSMUSG00000005338"	"D0_D2"	"FAPs"	"Young"	"Cadm3"
15.4266072191918	-1.80259828536955	0.748069800422792	0.00196062791191909	0.00592853971755289	"ENSMUSG00000006542"	"D0_D2"	"FAPs"	"Young"	"Prkag3"
395.25893642061	-4.86159580753105	0.537930805212716	8.66506051486914e-21	1.62472343524544e-19	"ENSMUSG00000007097"	"D0_D2"	"FAPs"	"Young"	"Atp1a2"
36.6814758779365	-2.06040926996544	0.521364074761288	8.77225416937004e-06	4.07849329084784e-05	"ENSMUSG00000007107"	"D0_D2"	"FAPs"	"Young"	"Atp1a4"
28.1739255816112	-5.05685961077639	0.827999980646251	1.88708200800455e-10	1.57358443665962e-09	"ENSMUSG00000009216"	"D0_D2"	"FAPs"	"Young"	"Fam163b"
5014.92824890749	-1.65829997763166	0.104883805116144	5.2806568396999e-57	6.46156817296316e-55	"ENSMUSG00000009418"	"D0_D2"	"FAPs"	"Young"	"Nav1"
70.1117975947203	-2.89402865976018	0.396067040932168	2.31823329017412e-14	2.75758490847615e-13	"ENSMUSG00000009633"	"D0_D2"	"FAPs"	"Young"	"G0s2"
100.948823910926	-2.75461658251279	0.304244777956009	1.44190173906221e-20	2.6732631680773e-19	"ENSMUSG00000010311"	"D0_D2"	"FAPs"	"Young"	"Optc"
22.6124442625669	-1.82509452700391	0.635418233615791	0.000515789357394645	0.001764407619549	"ENSMUSG00000014602"	"D0_D2"	"FAPs"	"Young"	"Kif1a"
2662.93064036758	1.32656388049547	0.122462358540359	7.08647632984877e-28	2.00791599473022e-26	"ENSMUSG00000014867"	"D0_D2"	"FAPs"	"Young"	"Surf4"
662.756498080859	-3.55850271786598	0.191188859622663	1.62533120242488e-78	5.36976922657132e-76	"ENSMUSG00000015085"	"D0_D2"	"FAPs"	"Young"	"Entpd2"
306.178859847756	1.2790589323783	0.186065254419374	1.86164216014477e-12	1.85479293386197e-11	"ENSMUSG00000015092"	"D0_D2"	"FAPs"	"Young"	"Edf1"
472.534109912938	-3.14407368886317	0.190354980629279	2.04195354544114e-62	3.06645732883111e-60	"ENSMUSG00000016194"	"D0_D2"	"FAPs"	"Young"	"Hsd11b1"
584.269702008567	-2.04479794310896	0.195565169930319	1.7456295587473e-26	4.62858020560941e-25	"ENSMUSG00000016262"	"D0_D2"	"FAPs"	"Young"	"Sertad4"
147.406586997201	-1.93801526863394	0.254452841647979	3.80457497724592e-15	4.84936528156832e-14	"ENSMUSG00000016493"	"D0_D2"	"FAPs"	"Young"	"Cd46"
5053.343401043	-1.99766792856201	0.128701318833668	3.53570488409026e-55	3.97321829797871e-53	"ENSMUSG00000016494"	"D0_D2"	"FAPs"	"Young"	"Cd34"
44.5342171572613	3.48266042300661	0.507732197409098	1.06529139044517e-12	1.08559830220628e-11	"ENSMUSG00000016529"	"D0_D2"	"FAPs"	"Young"	"Il10"
14.1716942488696	-1.50873697911847	0.830434233623017	0.00954985426726734	0.0241805706071412	"ENSMUSG00000019230"	"D0_D2"	"FAPs"	"Young"	"Lhx9"
893.609914977344	2.7477670740064	0.209014088021954	2.45959933355182e-40	1.31489065990105e-38	"ENSMUSG00000022995"	"D0_D2"	"FAPs"	"Young"	"Enah"
206.012109944223	-3.83248766968288	0.326547082230437	5.84946357723526e-33	2.12367667763405e-31	"ENSMUSG00000025776"	"D0_D2"	"FAPs"	"Young"	"Crispld1"
6041.38405268152	-3.32216940584461	0.113775667814234	1.5404532128731e-188	2.54467466234508e-184	"ENSMUSG00000025780"	"D0_D2"	"FAPs"	"Young"	"Itih5"
130.316397925186	1.85109438678014	0.281731034039663	8.32883597639283e-12	7.83954652387653e-11	"ENSMUSG00000025912"	"D0_D2"	"FAPs"	"Young"	"Mybl1"
432.47263682751	1.23910850681603	0.169806772703576	9.43110437911181e-14	1.05886206716958e-12	"ENSMUSG00000025917"	"D0_D2"	"FAPs"	"Young"	"Cops5"
43.1886311652403	-1.59197441664564	0.471668561388983	0.0001240613559101	0.000475712520491863	"ENSMUSG00000025930"	"D0_D2"	"FAPs"	"Young"	"Msc"
44.1295880666896	-4.41226804940416	0.589894127199303	8.91716981418357e-15	1.09681852688383e-13	"ENSMUSG00000025934"	"D0_D2"	"FAPs"	"Young"	"Gsta3"
709.473868045895	1.44312517995596	0.155526833067095	4.21009845823987e-21	8.04007126377623e-20	"ENSMUSG00000025969"	"D0_D2"	"FAPs"	"Young"	"Nrp2"
566.370921440504	1.50810739500455	0.15532246545154	5.85976574803943e-23	1.27532899067014e-21	"ENSMUSG00000025995"	"D0_D2"	"FAPs"	"Young"	"Wdr75"
231.397000554505	1.30914720486125	0.239352581276764	1.35942262837247e-08	9.27563089553274e-08	"ENSMUSG00000026029"	"D0_D2"	"FAPs"	"Young"	"Casp8"
89.9730523151583	2.26078438421434	0.373906894406296	1.55792651623567e-10	1.31236043455875e-09	"ENSMUSG00000026039"	"D0_D2"	"FAPs"	"Young"	"Sgo2a"
61.7551749884699	1.89381511103933	0.399987518068255	3.02281054872377e-07	1.7290099534061e-06	"ENSMUSG00000026049"	"D0_D2"	"FAPs"	"Young"	"Tex30"
489.32519204709	2.76717255842182	0.548245333969034	3.92230622135576e-08	2.52701156281497e-07	"ENSMUSG00000026069"	"D0_D2"	"FAPs"	"Young"	"Il1rl1"
3330.66941512561	2.01843286452103	0.124561162583529	6.17790788471334e-60	8.43412068988262e-58	"ENSMUSG00000026072"	"D0_D2"	"FAPs"	"Young"	"Il1r1"
460.329699480407	-1.27471810792149	0.162488965194079	1.25617988021872e-15	1.6667337703882e-14	"ENSMUSG00000026113"	"D0_D2"	"FAPs"	"Young"	"Inpp4a"
232.982977573808	1.50177988772183	0.215156979290179	7.324677477291e-13	7.56227170296062e-12	"ENSMUSG00000026134"	"D0_D2"	"FAPs"	"Young"	"Prim2"
172.27796683759	1.7026335432684	0.256452325636467	6.43884823608675e-12	6.12692016197679e-11	"ENSMUSG00000026163"	"D0_D2"	"FAPs"	"Young"	"Sphkap"
