cell,cluster
Old.FAPs.D0_1,FAPs
Old.FAPs.D0_2,FAPs
Old.FAPs.D0_3,FAPs
Old.MuSCs.D0_1,MuSCs
Old.MuSCs.D0_3,MuSCs
Old.MuSCs.D0_2,MuSCs
Old.ECs.D0_2,ECs
Old.ECs.D0_1,ECs
Old.ECs.D0_3,ECs
