Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
FAPs,Serping1,Selp,MuSCs,3.0,1.0,1516.953124666667,0.8893308176045429,2.0,0.6666666666666666,0.1591883333333333,0.0872512809119815,241.4812396604789,0.0775952529904962
FAPs,Psap,Gpr37l1,FAPs,3.0,1.0,243.634776,0.601197186834308,2.0,0.6666666666666666,0.6162516666666668,0.2214617309174475,150.14033676796,0.1331421696190259
ECs,Prn,Rpsa,FAPs,1.0,0.3333333333333333,1.091324666666667,0.5994568957956572,3.0,1.0,102.9000496666667,0.6526310778549473,112.2973624024585,0.3912242000307006
FAPs,Prn,Rpsa,FAPs,1.0,0.3333333333333333,0.6340866666666667,0.3482993067740449,3.0,1.0,102.9000496666667,0.6526310778549473,65.24754949297112,0.2273109519960759
ECs,Psap,Gpr37l1,FAPs,3.0,1.0,90.56466633333334,0.2234788625831797,2.0,0.6666666666666666,0.6162516666666668,0.2214617309174475,55.81062656902723,0.0494920157311333
FAPs,Cd34,Selp,MuSCs,3.0,1.0,320.4798073333333,0.83973167405618,2.0,0.6666666666666666,0.1591883333333333,0.0872512809119815,51.01664639638111,0.0732676641837642
MuSCs,Psap,Gpr37l1,FAPs,3.0,1.0,71.049919,0.1753239505825123,2.0,0.6666666666666666,0.6162516666666668,0.2214617309174475,43.78463100028168,0.0388275455672882
ECs,Prn,Rpsa,MuSCs,1.0,0.3333333333333333,1.091324666666667,0.5994568957956572,3.0,1.0,34.20111066666666,0.2169163940204933,37.32451569792978,0.1300320282067126
MuSCs,C1qb,Lrp1,FAPs,1.0,0.3333333333333333,0.100566,1.0,3.0,1.0,301.6001486666667,0.8587907398420774,30.330720550812,0.8587907398420774
MuSCs,Serping1,Selp,MuSCs,3.0,1.0,181.1216836666667,0.1061846225845528,2.0,0.6666666666666666,0.1591883333333333,0.0872512809119815,28.83245895342389,0.0092647443336575
FAPs,Nid1,Col13a1,FAPs,3.0,1.0,439.8208616666666,0.848161237947095,1.0,0.3333333333333333,0.0640526666666666,0.2534828531892131,28.17169904538111,0.2149943305593247
FAPs,Serping1,Sele,MuSCs,3.0,1.0,1516.953124666667,0.8893308176045429,1.0,0.3333333333333333,0.018028,0.0355523418241577,27.34763093149066,0.0316177932222344
ECs,Pgf,Flt1,ECs,2.0,0.6666666666666666,0.1298123333333333,0.0144218550261333,3.0,1.0,200.005264,0.9465949791503664,25.96314999878933,0.0136516555577722
