Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),Resolving-Mac (3 cells),21218018569.70042,84.64401612701523,1212,17506615.981601007,0.06983829713450102
FAPs (3 cells),ECs (3 cells),21165585288.701252,126.80805608814931,1332,15890079.04557151,0.09520124330942141
FAPs (3 cells),FAPs (3 cells),18308538187.171093,168.86787963915498,1389,13181093.007322602,0.12157514732840531
FAPs (3 cells),Inflammatory-Mac (3 cells),18197210738.50914,78.1651616965519,1266,14373784.153640712,0.06174183388353231
FAPs (3 cells),MuSCs (2 cells),12786737848.559927,119.76192081105035,1343,9521025.948294807,0.0891749224207374
Resolving-Mac (3 cells),Resolving-Mac (3 cells),11418020859.709208,43.25592884321675,976,11698791.864456154,0.04431959922460733
Resolving-Mac (3 cells),FAPs (3 cells),10225579800.846048,50.09692212959578,1066,9592476.361018807,0.046995236519320624
Resolving-Mac (3 cells),Inflammatory-Mac (3 cells),8860920440.579624,45.452899763885796,1013,8747206.75279331,0.0448695950285151
Inflammatory-Mac (3 cells),Resolving-Mac (3 cells),7315957887.215395,40.20471269396831,975,7503546.550990148,0.04123560276304442
Inflammatory-Mac (3 cells),FAPs (3 cells),6258846011.569534,47.17619502202374,1066,5871337.72192264,0.04425534242216111
Inflammatory-Mac (3 cells),Inflammatory-Mac (3 cells),5772368134.602704,43.8129263950416,1019,5664738.110503145,0.042996002350384296
ECs (3 cells),Resolving-Mac (3 cells),3905038900.5591135,40.68287133409141,1079,3619127.804039957,0.037704236639565715
ECs (3 cells),ECs (3 cells),3827998299.122221,71.89511954956069,1181,3241319.4742779178,0.06087647717998365
ECs (3 cells),Inflammatory-Mac (3 cells),3430248276.37303,39.84903118472611,1133,3027580.120364546,0.03517125435545111
ECs (3 cells),FAPs (3 cells),3332078022.942436,83.6678463522496,1228,2713418.58545801,0.06813342536828143
Resolving-Mac (3 cells),MuSCs (2 cells),3179671351.3055453,34.46183128486606,1033,3078094.241341283,0.03336092089532048
MuSCs (2 cells),Resolving-Mac (3 cells),3029227694.202231,29.861880924276615,1053,2876759.443686829,0.02835886127661597
MuSCs (2 cells),FAPs (3 cells),2754168408.353395,71.8961108152447,1196,2302816.39494431,0.06011380502946881
MuSCs (2 cells),Inflammatory-Mac (3 cells),2672655048.3199477,29.150879201960453,1107,2414322.5368743883,0.02633322421134639
Resolving-Mac (3 cells),ECs (3 cells),2661289608.993357,36.81026558542195,1029,2586287.2779332916,0.03577285285269383
MuSCs (2 cells),ECs (3 cells),2253601635.016283,51.820669123611644,1157,1947797.4373520166,0.04478882378877411
Inflammatory-Mac (3 cells),MuSCs (2 cells),2093032389.5466561,31.891951145398348,1035,2022253.5164701992,0.030813479367534636
Inflammatory-Mac (3 cells),ECs (3 cells),2075677726.4949143,34.15244556075964,1031,2013266.4660474434,0.03312555340519849
ECs (3 cells),MuSCs (2 cells),2038380767.2244656,59.15928856842034,1190,1712925.014474341,0.049713687872622134
MuSCs (2 cells),MuSCs (2 cells),1687765462.9168282,53.53915442471761,1168,1445004.6771548185,0.045838317144450004
