Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),ECs (3 cells),27096202248.23319,128.58832590022948,1312,20652593.177007005,0.09800939474102857
FAPs (3 cells),Resolving-Mac (3 cells),23937132312.34336,124.30326320423639,1265,18922634.23900661,0.0982634491733094
FAPs (3 cells),FAPs (3 cells),19354193773.587643,152.41581117038305,1354,14294086.981970195,0.11256706881121348
FAPs (3 cells),MuSCs (3 cells),15501255433.385008,151.9541757674255,1382,11216537.9402207,0.1099523703092804
Resolving-Mac (3 cells),FAPs (3 cells),10379144550.817411,80.20875889901147,1160,8947538.405877078,0.06914548180949265
Resolving-Mac (3 cells),Resolving-Mac (3 cells),9933912149.147892,124.28105576937749,1104,8998108.830749903,0.11257342008095787
ECs (3 cells),Resolving-Mac (3 cells),3837136227.6285768,68.38704561620493,1184,3240824.51657819,0.05775932906774065
ECs (3 cells),ECs (3 cells),3834096702.32846,78.15060023192042,1226,3127321.943171664,0.0637443721304408
MuSCs (3 cells),Resolving-Mac (3 cells),3213619390.034622,65.98625989490547,1259,2552517.3868424324,0.05241164407855876
Resolving-Mac (3 cells),MuSCs (3 cells),3113431852.3106027,68.52950938368667,1179,2640739.484572182,0.05812511398107436
MuSCs (3 cells),ECs (3 cells),3082323588.473441,79.9449701883871,1305,2361933.784270836,0.06126051355431962
MuSCs (3 cells),FAPs (3 cells),3056947033.5978312,101.86271991022707,1349,2266083.79065814,0.07550979978519427
ECs (3 cells),FAPs (3 cells),2824251102.359024,81.3424793590539,1263,2236144.974155997,0.06440418001508622
Resolving-Mac (3 cells),ECs (3 cells),2723249997.493586,60.61058156976677,1122,2427139.035199275,0.05402012617626272
MuSCs (3 cells),MuSCs (3 cells),2633251214.2243543,109.70546993293256,1378,1910922.506694016,0.07961209719371012
ECs (3 cells),MuSCs (3 cells),2337292137.9504395,80.99266871186886,1287,1816077.8072652987,0.06293136652048863
