cell,cluster
Young.FAPs.D0_1,FAPs
Young.FAPs.D0_2,FAPs
Young.FAPs.D0_3,FAPs
Young.MuSCs.D0_2,MuSCs
Young.MuSCs.D0_1,MuSCs
Young.MuSCs.D0_3,MuSCs
Young.ECs.D0_2,ECs
Young.ECs.D0_1,ECs
Young.ECs.D0_3,ECs
