"GeneID" "countNormalized"
"ENSMUSG00000000247" "ENSMUSG00000000247" 0
"ENSMUSG00000000817" "ENSMUSG00000000817" 12.4488819674539
"ENSMUSG00000000889" "ENSMUSG00000000889" 0
"ENSMUSG00000001138" "ENSMUSG00000001138" 253.033391836811
"ENSMUSG00000001143" "ENSMUSG00000001143" 200.325332524568
"ENSMUSG00000001305" "ENSMUSG00000001305" 23.2602863133107
"ENSMUSG00000001674" "ENSMUSG00000001674" 188.744053032929
"ENSMUSG00000001855" "ENSMUSG00000001855" 719.67499286067
"ENSMUSG00000002459" "ENSMUSG00000002459" 25.4995160090343
"ENSMUSG00000002546" "ENSMUSG00000002546" 506.469366241261
"ENSMUSG00000002550" "ENSMUSG00000002550" 57.917029071229
"ENSMUSG00000002881" "ENSMUSG00000002881" 1892.194826184
"ENSMUSG00000003135" "ENSMUSG00000003135" 1346.78875448062
"ENSMUSG00000003418" "ENSMUSG00000003418" 21.8237707608659
"ENSMUSG00000003458" "ENSMUSG00000003458" 915.081013616482
"ENSMUSG00000003464" "ENSMUSG00000003464" 132.659281261033
"ENSMUSG00000003721" "ENSMUSG00000003721" 130.671611225293
"ENSMUSG00000004031" "ENSMUSG00000004031" 0
"ENSMUSG00000004105" "ENSMUSG00000004105" 354.903029823588
"ENSMUSG00000004110" "ENSMUSG00000004110" 192.653656147039
"ENSMUSG00000004364" "ENSMUSG00000004364" 2977.05199145748
"ENSMUSG00000004552" "ENSMUSG00000004552" 496.968711302069
"ENSMUSG00000004707" "ENSMUSG00000004707" 415.05189222425
"ENSMUSG00000004709" "ENSMUSG00000004709" 787.413576899369
"ENSMUSG00000004872" "ENSMUSG00000004872" 0
"ENSMUSG00000004880" "ENSMUSG00000004880" 3172.54865064624
"ENSMUSG00000005338" "ENSMUSG00000005338" 1.48455071577512
"ENSMUSG00000005339" "ENSMUSG00000005339" 12.5475147216147
"ENSMUSG00000005501" "ENSMUSG00000005501" 1165.64368579745
"ENSMUSG00000005674" "ENSMUSG00000005674" 23.678698270782
"ENSMUSG00000005677" "ENSMUSG00000005677" 2.57222230670185
"ENSMUSG00000005681" "ENSMUSG00000005681" 35.0661988218076
"ENSMUSG00000005763" "ENSMUSG00000005763" 17.4962544355313
"ENSMUSG00000005886" "ENSMUSG00000005886" 4030.83553629751
"ENSMUSG00000006007" "ENSMUSG00000006007" 0
"ENSMUSG00000006010" "ENSMUSG00000006010" 239.48098692789
"ENSMUSG00000006299" "ENSMUSG00000006299" 256.465320425247
"ENSMUSG00000006301" "ENSMUSG00000006301" 231.84945276424
"ENSMUSG00000006412" "ENSMUSG00000006412" 30.3373926637092
