"gene"	"Old.ECs.D7_1"	"Old.ECs.D7_2"	"Old.ECs.D7_3"	"Old.FAPs.D7_1"	"Old.FAPs.D7_2"	"Old.FAPs.D7_3"	"Old.MuSCs.D7_1"	"Old.MuSCs.D7_3"	"Old.MuSCs.D7_2"	"Old.Resolving-Mac.D7_3"	"Old.Resolving-Mac.D7_1"	"Old.Resolving-Mac.D7_2"
"ENSMUSG00000000001"	925.459426393306	965.207210191664	955.707276417243	1126.97031638359	891.032099253139	1075.11672995695	1177.77330998786	1202.04054198427	1156.44965857383	1327.84195648506	1264.62753387457	1371.12032248796
"ENSMUSG00000000028"	191.508938722775	246.80224006883	207.288107898717	36.782349401459	47.5217119601674	17.4657952520082	123.304786966238	173.502078229804	166.985107650572	23.9416718922411	33.8331299735062	39.7893740643566
"ENSMUSG00000000037"	4.01065840257121	1.91319565944829	0	62.3256475969167	57.4220686185356	99.9431617198248	113.950630713627	106.596048062756	57.0446019924313	9.20833534316965	13.7161337730431	3.22616546467756
"ENSMUSG00000000049"	0	0	0	7.15212349472814	0	8.73289762600411	0	0	0	0	0	0
"ENSMUSG00000000056"	173.460975911205	249.672033558002	244.381769312172	259.51990966585	259.389344449247	265.868216613903	204.090681875152	280.09812629256	181.5055517941	488.962606722308	462.690912610653	293.581057285658
"ENSMUSG00000000058"	5405.36486206534	5840.02975046592	5120.01626509831	138.95554218329	57.4220686185356	56.2786735898043	424.338542732087	475.146214237177	421.092880162311	578.283459551054	549.559759839926	518.337251324862
"ENSMUSG00000000078"	3498.29679164274	3827.34791672631	2583.46441844296	2757.65447318161	3585.90918166097	2877.97492874758	3285.85997818995	3379.32152369161	2628.20038997856	6963.34318650489	6765.71158578304	7199.72592867209
"ENSMUSG00000000085"	508.3509525259	500.300664945729	518.220269746793	425.040481972415	429.67547897318	532.706755186251	624.177335401506	681.534307294852	648.234113550356	290.062563309844	344.732162162482	265.620956591786
"ENSMUSG00000000088"	177.471634313776	181.753587647588	142.919695445958	105.238388565286	105.93381624454	85.3883323431513	268.719397802283	265.356119645583	307.003676177449	399.641753893563	309.984623270773	388.215244249533
"ENSMUSG00000000093"	90.2398140578522	93.7465873129664	173.467416609979	110.347048204377	120.784351232092	157.192157268074	491.518392182658	401.436181002292	437.6876734692	11.0500024118036	13.7161337730431	10.7538848822585
"ENSMUSG00000000094"	0	0	4.36396016628878	103.194924709649	93.0633525886612	95.0915519276003	172.626701752733	229.068103283794	182.54272637578	0.920833534316965	0.914408918202871	0
