"GeneID" "countNormalized"
"ENSMUSG00000000247" "ENSMUSG00000000247" 20.2183118140361
"ENSMUSG00000000817" "ENSMUSG00000000817" 13.622605023569
"ENSMUSG00000000889" "ENSMUSG00000000889" 23.5307511540592
"ENSMUSG00000001138" "ENSMUSG00000001138" 209.622436930202
"ENSMUSG00000001143" "ENSMUSG00000001143" 114.970007968533
"ENSMUSG00000001305" "ENSMUSG00000001305" 91.221033430047
"ENSMUSG00000001674" "ENSMUSG00000001674" 343.371757760193
"ENSMUSG00000001855" "ENSMUSG00000001855" 587.544482583018
"ENSMUSG00000002459" "ENSMUSG00000002459" 68.4847119991392
"ENSMUSG00000002546" "ENSMUSG00000002546" 823.55482394898
"ENSMUSG00000002550" "ENSMUSG00000002550" 136.48690813829
"ENSMUSG00000002881" "ENSMUSG00000002881" 654.886648058561
"ENSMUSG00000003135" "ENSMUSG00000003135" 248.035606719413
"ENSMUSG00000003418" "ENSMUSG00000003418" 7.62950460133
"ENSMUSG00000003458" "ENSMUSG00000003458" 1068.0951662037
"ENSMUSG00000003464" "ENSMUSG00000003464" 298.334439036489
"ENSMUSG00000003721" "ENSMUSG00000003721" 328.463548877341
"ENSMUSG00000004031" "ENSMUSG00000004031" 1.65442401138925
"ENSMUSG00000004105" "ENSMUSG00000004105" 2547.557384493
"ENSMUSG00000004110" "ENSMUSG00000004110" 1.31777412769748
"ENSMUSG00000004364" "ENSMUSG00000004364" 1544.19940227315
"ENSMUSG00000004552" "ENSMUSG00000004552" 0.33485422506949
"ENSMUSG00000004707" "ENSMUSG00000004707" 0
"ENSMUSG00000004709" "ENSMUSG00000004709" 0
"ENSMUSG00000004872" "ENSMUSG00000004872" 0
"ENSMUSG00000004880" "ENSMUSG00000004880" 322.932419078617
"ENSMUSG00000005338" "ENSMUSG00000005338" 116.663438400317
"ENSMUSG00000005339" "ENSMUSG00000005339" 0
"ENSMUSG00000005501" "ENSMUSG00000005501" 659.95186427652
"ENSMUSG00000005674" "ENSMUSG00000005674" 12.6461747904114
"ENSMUSG00000005677" "ENSMUSG00000005677" 5.93359070340207
"ENSMUSG00000005681" "ENSMUSG00000005681" 5.99634525697416
"ENSMUSG00000005763" "ENSMUSG00000005763" 21.4794429520848
"ENSMUSG00000005886" "ENSMUSG00000005886" 1150.14917478311
"ENSMUSG00000006007" "ENSMUSG00000006007" 3.62568241554977
"ENSMUSG00000006010" "ENSMUSG00000006010" 563.848874576407
"ENSMUSG00000006299" "ENSMUSG00000006299" 296.623876633148
"ENSMUSG00000006301" "ENSMUSG00000006301" 447.140864727502
"ENSMUSG00000006412" "ENSMUSG00000006412" 27.8257639142009
"ENSMUSG00000006469" "ENSMUSG00000006469" 5.66942987748794
"ENSMUSG00000006471" "ENSMUSG00000006471" 45.1126428876325
"ENSMUSG00000006538" "ENSMUSG00000006538" 3.65778428039227
"ENSMUSG00000006542" "ENSMUSG00000006542" 7.96073588611723
"ENSMUSG00000006546" "ENSMUSG00000006546" 0
"ENSMUSG00000006576" "ENSMUSG00000006576" 184.873625350393
"ENSMUSG00000007097" "ENSMUSG00000007097" 49.5239400059072
"ENSMUSG00000007107" "ENSMUSG00000007107" 54.9923417166002
"ENSMUSG00000008136" "ENSMUSG00000008136" 436.554693195742
"ENSMUSG00000008475" "ENSMUSG00000008475" 1049.45884743185
"ENSMUSG00000009030" "ENSMUSG00000009030" 187.469316105186
"ENSMUSG00000009214" "ENSMUSG00000009214" 1.67427112534745
"ENSMUSG00000009216" "ENSMUSG00000009216" 11.5856937136106
"ENSMUSG00000009418" "ENSMUSG00000009418" 4456.05790102652
"ENSMUSG00000009551" "ENSMUSG00000009551" 15.5963520513705
"ENSMUSG00000009563" "ENSMUSG00000009563" 194.028321889076
"ENSMUSG00000009614" "ENSMUSG00000009614" 246.929466280063
"ENSMUSG00000009633" "ENSMUSG00000009633" 42.0513534115451
"ENSMUSG00000009772" "ENSMUSG00000009772" 170.751492459028
"ENSMUSG00000009905" "ENSMUSG00000009905" 308.070508899404
"ENSMUSG00000009907" "ENSMUSG00000009907" 615.296786395485
"ENSMUSG00000010175" "ENSMUSG00000010175" 49.6602863108604
"ENSMUSG00000010290" "ENSMUSG00000010290" 187.712212264067
"ENSMUSG00000010311" "ENSMUSG00000010311" 50.8592874567839
"ENSMUSG00000010453" "ENSMUSG00000010453" 521.989061283351
"ENSMUSG00000010609" "ENSMUSG00000010609" 105.747006627726
"ENSMUSG00000012187" "ENSMUSG00000012187" 0.661769604555701
"ENSMUSG00000013275" "ENSMUSG00000013275" 421.042443548192
"ENSMUSG00000013465" "ENSMUSG00000013465" 521.646777967893
"ENSMUSG00000013698" "ENSMUSG00000013698" 830.892943080226
"ENSMUSG00000013973" "ENSMUSG00000013973" 64.8575804074765
"ENSMUSG00000013997" "ENSMUSG00000013997" 97.2880404631389
"ENSMUSG00000014602" "ENSMUSG00000014602" 2.29347977279864
"ENSMUSG00000014852" "ENSMUSG00000014852" 4.28924767872776
"ENSMUSG00000014867" "ENSMUSG00000014867" 3866.32893453218
"ENSMUSG00000014873" "ENSMUSG00000014873" 275.926198924746
"ENSMUSG00000014980" "ENSMUSG00000014980" 180.336472642465
"ENSMUSG00000015085" "ENSMUSG00000015085" 347.396346543711
"ENSMUSG00000015087" "ENSMUSG00000015087" 576.178724729242
"ENSMUSG00000015090" "ENSMUSG00000015090" 8.29379445256444
"ENSMUSG00000015092" "ENSMUSG00000015092" 235.686980523186
"ENSMUSG00000015093" "ENSMUSG00000015093" 14.5867488828046
"ENSMUSG00000015094" "ENSMUSG00000015094" 692.388499142181
"ENSMUSG00000015095" "ENSMUSG00000015095" 203.211187650344
"ENSMUSG00000015222" "ENSMUSG00000015222" 137.293719104476
"ENSMUSG00000015314" "ENSMUSG00000015314" 4.3267681424748
"ENSMUSG00000015316" "ENSMUSG00000015316" 4.63238723188991
"ENSMUSG00000015335" "ENSMUSG00000015335" 37.8533708339873
"ENSMUSG00000015355" "ENSMUSG00000015355" 2.95849421208953
"ENSMUSG00000015488" "ENSMUSG00000015488" 412.000754909869
"ENSMUSG00000015619" "ENSMUSG00000015619" 9.61912932029812
"ENSMUSG00000015787" "ENSMUSG00000015787" 0
"ENSMUSG00000015790" "ENSMUSG00000015790" 233.722243411534
"ENSMUSG00000015829" "ENSMUSG00000015829" 3.95187320697953
"ENSMUSG00000015846" "ENSMUSG00000015846" 521.521388824498
"ENSMUSG00000015962" "ENSMUSG00000015962" 9.29618336360355
"ENSMUSG00000016179" "ENSMUSG00000016179" 14.52903482259
"ENSMUSG00000016181" "ENSMUSG00000016181" 144.611151727455
"ENSMUSG00000016194" "ENSMUSG00000016194" 157.680269412943
"ENSMUSG00000016200" "ENSMUSG00000016200" 12.2838810883098
"ENSMUSG00000016262" "ENSMUSG00000016262" 1154.37537435684
"ENSMUSG00000016493" "ENSMUSG00000016493" 96.9550135197293
"ENSMUSG00000016494" "ENSMUSG00000016494" 1556.82236652203
"ENSMUSG00000016524" "ENSMUSG00000016524" 2.97040248046445
"ENSMUSG00000016526" "ENSMUSG00000016526" 9.57297704594904
"ENSMUSG00000016529" "ENSMUSG00000016529" 88.3862210434417
"ENSMUSG00000016918" "ENSMUSG00000016918" 4803.59433265548
"ENSMUSG00000017418" "ENSMUSG00000017418" 1365.33396720203
"ENSMUSG00000018196" "ENSMUSG00000018196" 128.186970498764
"ENSMUSG00000018199" "ENSMUSG00000018199" 872.57783984206
"ENSMUSG00000018417" "ENSMUSG00000018417" 1111.74993543965
"ENSMUSG00000019230" "ENSMUSG00000019230" 19.2025654585092
"ENSMUSG00000019699" "ENSMUSG00000019699" 984.031209030109
"ENSMUSG00000022995" "ENSMUSG00000022995" 1378.19326163744
"ENSMUSG00000023094" "ENSMUSG00000023094" 29.4546073532557
"ENSMUSG00000023150" "ENSMUSG00000023150" 1421.25938520306
"ENSMUSG00000023206" "ENSMUSG00000023206" 171.922870918095
"ENSMUSG00000025776" "ENSMUSG00000025776" 50.062210994803
"ENSMUSG00000025779" "ENSMUSG00000025779" 57.251923965934
"ENSMUSG00000025780" "ENSMUSG00000025780" 1830.14926722419
"ENSMUSG00000025781" "ENSMUSG00000025781" 1133.5413090983
"ENSMUSG00000025782" "ENSMUSG00000025782" 193.640699228036
"ENSMUSG00000025815" "ENSMUSG00000025815" 41.7518458860533
"ENSMUSG00000025816" "ENSMUSG00000025816" 225.070817644678
"ENSMUSG00000025817" "ENSMUSG00000025817" 363.525550985072
"ENSMUSG00000025900" "ENSMUSG00000025900" 0
"ENSMUSG00000025902" "ENSMUSG00000025902" 2.00912535041694
"ENSMUSG00000025903" "ENSMUSG00000025903" 430.213286234833
"ENSMUSG00000025909" "ENSMUSG00000025909" 0.66970845013898
"ENSMUSG00000025911" "ENSMUSG00000025911" 37.7523712286118
"ENSMUSG00000025912" "ENSMUSG00000025912" 113.808495663319
"ENSMUSG00000025915" "ENSMUSG00000025915" 277.049975933351
"ENSMUSG00000025917" "ENSMUSG00000025917" 427.855187846268
"ENSMUSG00000025921" "ENSMUSG00000025921" 381.284145401218
