cell,cluster
Young.Resolving-Mac.D7_2,Resolving-Mac
Young.Resolving-Mac.D7_1,Resolving-Mac
Young.Resolving-Mac.D7_3,Resolving-Mac
Young.FAPs.D7_1,FAPs
Young.FAPs.D7_2,FAPs
Young.FAPs.D7_3,FAPs
Young.MuSCs.D7_3,MuSCs
Young.MuSCs.D7_1,MuSCs
Young.MuSCs.D7_2,MuSCs
Young.ECs.D7_2,ECs
Young.ECs.D7_1,ECs
Young.ECs.D7_3,ECs
