Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
FAPs,Col1a1,Itga11,Inflammatory-Mac,3.0,1.0,3857.568359333333,0.9681738695089208,2.0,0.6666666666666666,0.1711366666666666,0.0050915478471071,660.1713904551086,0.0049295035809235
FAPs,Col1a1,Itga11,MuSCs,3.0,1.0,3857.568359333333,0.9681738695089208,3.0,1.0,0.133027,0.0039577335976536,513.1607461370352,0.0038317742517257
FAPs,Col1a2,Itga11,Inflammatory-Mac,3.0,1.0,2623.51945,0.9176057312269552,2.0,0.6666666666666666,0.1711366666666666,0.0050915478471071,448.9803736081666,0.0046720334853217
Resolving-Mac,Psap,Gpr37l1,FAPs,3.0,1.0,2391.540242666666,0.5144519570958551,1.0,0.3333333333333333,0.1717676666666667,0.6917552331052554,410.789287222287,0.3558748335022981
FAPs,Col1a2,Itga11,MuSCs,3.0,1.0,2623.51945,0.9176057312269552,3.0,1.0,0.133027,0.0039577335976536,348.99892187515,0.0036316390318764
Inflammatory-Mac,Psap,Gpr37l1,FAPs,3.0,1.0,1925.076375666667,0.4141094058766164,1.0,0.3333333333333333,0.1717676666666667,0.6917552331052554,330.6658772033867,0.2864623485932576
FAPs,Fn1,Itga4,FAPs,3.0,1.0,1361.379069,0.8830494168872806,1.0,0.3333333333333333,0.137516,0.0008775937418887,187.211404052604,0.0007749586420388
FAPs,Col3a1,Mag,FAPs,3.0,1.0,2966.075764666667,0.9549836193138443,1.0,0.3333333333333333,0.061306,0.0554667055910938,181.8382408286546,0.0529697952567982
FAPs,Fn1,Sdc2,Resolving-Mac,3.0,1.0,1361.379069,0.8830494168872806,2.0,0.6666666666666666,0.1169856666666667,0.0017903462720285,159.261837973011,0.0015809642315411
FAPs,Fn1,Itgb8,ECs,3.0,1.0,1361.379069,0.8830494168872806,3.0,1.0,0.111675,0.02767755395605,152.032007530575,0.0244406478817562
FAPs,Fn1,Itgb6,Inflammatory-Mac,3.0,1.0,1361.379069,0.8830494168872806,2.0,0.6666666666666666,0.0887706666666666,0.0095427009098625,120.850527541176,0.0084266764739838
FAPs,Fn1,Tnfrsf11b,ECs,3.0,1.0,1361.379069,0.8830494168872806,1.0,0.3333333333333333,0.0824123333333333,0.0472700561286149,112.194425627451,0.0417417955006024
FAPs,Prn,Rpsa,FAPs,2.0,0.6666666666666666,0.385342,0.4646750402762905,3.0,1.0,284.3623303333333,0.341528235684153,109.5767490953073,0.1586996466720242
Resolving-Mac,Spp1,Itga4,FAPs,3.0,1.0,794.4973246666667,0.5528345953838922,1.0,0.3333333333333333,0.137516,0.0008775937418887,109.2560940988613,0.0004851641812085
