Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
FAPs,Bgn,Tlr2,MuSCs,3.0,1.0,3231.170084666667,0.9559623816860556,2.0,1.0,1.481899,0.008485984702594,4788.267717297449,0.0081122821472432
FAPs,Dcn,Tlr2,MuSCs,3.0,1.0,1431.923421333333,0.9908233747504438,2.0,1.0,1.481899,0.008485984702594,2121.965886150445,0.0084081120011048
FAPs,Col1a1,Cd93,FAPs,3.0,1.0,2518.056722,0.9851579054959454,1.0,0.3333333333333333,0.2899643333333333,0.0009322191998643,730.1466386902486,0.0009183831144014
FAPs,Col1a2,Cd93,FAPs,3.0,1.0,1964.941406333333,0.9182810852447438,1.0,0.3333333333333333,0.2899643333333333,0.0009322191998643,569.7629249265075,0.0008560392585374
MuSCs,Ccl12,Ccr2,Inflammatory-Mac,1.0,0.5,1.6570225,0.0151303063043872,3.0,1.0,318.203888,0.8423684015377977,527.27100200348,0.0127452919364039
FAPs,Anxa2,Tlr2,MuSCs,3.0,1.0,222.0648293333333,0.3182692862603769,2.0,1.0,1.481899,0.008485984702594,329.0776485242374,0.002700828294511
ECs,C1qa,Cd93,ECs,2.0,0.6666666666666666,1.838251333333333,0.0048015816884013,3.0,1.0,162.7225033333333,0.5231437953541009,299.1248587158377,0.002511917668173
MuSCs,Anxa2,Tlr2,MuSCs,2.0,1.0,199.324646,0.2856774438661625,2.0,1.0,1.481899,0.008485984702594,295.378993582754,0.0024242544185244
FAPs,C1qb,Lrp1,FAPs,2.0,0.6666666666666666,1.546070666666666,0.001408442618725,3.0,1.0,185.8027443333333,0.3528665483720876,287.2641727999328,0.0004969922854496
FAPs,C1qb,Lrp1,Resolving-Mac,2.0,0.6666666666666666,1.546070666666666,0.001408442618725,3.0,1.0,171.5584106666666,0.3258144783240821,265.241426351687,0.0004588909970693
FAPs,Vcan,Tlr2,MuSCs,3.0,1.0,146.4311116666667,0.7504462978934635,2.0,1.0,1.481899,0.008485984702594,216.9961179477217,0.0063682758040422
FAPs,C1qb,Lrp1,Inflammatory-Mac,2.0,0.6666666666666666,1.546070666666666,0.001408442618725,3.0,1.0,137.0717086666666,0.2603191943704447,211.9225479994124,0.0003666446478235
ECs,C1qa,Cd93,Resolving-Mac,2.0,0.6666666666666666,1.838251333333333,0.0048015816884013,3.0,1.0,83.559527,0.2686392305754237,153.6034119204527,0.0012898932103171
MuSCs,Ccl4,Ccr5,Inflammatory-Mac,1.0,0.5,1.79836,0.0102222935024778,3.0,1.0,84.40796133333333,0.630954418587972,151.7959013434133,0.0064498012534915
