Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
ECs,Agt,Mas1,ECs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,0.749495,2.248485,0.2788596554544122,0.2788596554544122,0.1115860647583333,0.006633084455075752,1.004274582825,0.006633084455075753
ECs,Agt,Mas1,FAPs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,0.9857943333333333,2.957383,0.3667779880349372,0.3667779880349372,0.1467667033372222,0.008724350487108117,1.320900330035,0.008724350487108118
ECs,Agt,Mas1,MuSCs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,0.9524246666666668,2.857274,0.3543623565106506,0.3543623565106506,0.1417985717477778,0.008429026546004139,1.27618714573,0.00842902654600414
FAPs,Agt,Mas1,ECs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,0.749495,2.248485,0.2788596554544122,0.2788596554544122,4.338806318635,0.257914541641482,39.049256867715,0.257914541641482
FAPs,Agt,Mas1,FAPs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,0.9857943333333333,2.957383,0.3667779880349372,0.3667779880349372,5.706736779219666,0.3392293392676896,51.360631012977,0.3392293392676896
FAPs,Agt,Mas1,MuSCs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,0.9524246666666668,2.857274,0.3543623565106506,0.3543623565106506,5.513560679867334,0.3277462442729767,49.622046118806,0.3277462442729767
MuSCs,Agt,Mas1,ECs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,0.749495,2.248485,0.2788596554544122,0.2788596554544122,0.24076627481,0.01431202935785439,2.16689647329,0.01431202935785439
MuSCs,Agt,Mas1,FAPs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,0.9857943333333333,2.957383,0.3667779880349372,0.3667779880349372,0.3166746000513333,0.01882429828013951,2.850071400462,0.01882429828013951
MuSCs,Agt,Mas1,MuSCs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,0.9524246666666668,2.857274,0.3543623565106506,0.3543623565106506,0.3059549950706667,0.01818708569166974,2.753594955636,0.01818708569166974
ECs,Agt,Agtr1a,ECs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,2.539707,7.619121,0.04480768326120512,0.04480768326120513,0.378115811005,0.001065816232267582,3.403042299045,0.001065816232267582
ECs,Agt,Agtr1a,FAPs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,20.52978033333333,61.589341,0.3622039450212636,0.3622039450212636,3.056507912327223,0.008615550189118052,27.508571210945,0.008615550189118054
ECs,Agt,Agtr1a,MuSCs,1,0.3333333333333333,0.1488816666666667,0.446645,0.02378646148818801,0.02378646148818801,3,1.0,33.61068033333333,100.832041,0.5929883717175313,0.5929883717175314,5.004014105827222,0.01410509506680237,45.036126952445,0.01410509506680238
FAPs,Agt,Agtr1a,ECs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,2.539707,7.619121,0.04480768326120512,0.04480768326120513,14.702295250911,0.04144218378057805,132.320657258199,0.04144218378057806
FAPs,Agt,Agtr1a,FAPs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,20.52978033333333,61.589341,0.3622039450212636,0.3622039450212636,118.8463440455977,0.3349988520521844,1069.617096410379,0.3349988520521844
FAPs,Agt,Agtr1a,MuSCs,3,1.0,5.788972999999999,17.366919,0.9248901251821483,0.9248901251821483,3,1.0,33.61068033333333,100.832041,0.5929883717175313,0.5929883717175314,194.5713209612977,0.5484490893493857,1751.141888651679,0.5484490893493859
MuSCs,Agt,Agtr1a,ECs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,2.539707,7.619121,0.04480768326120512,0.04480768326120513,0.815850397266,0.002299683248359481,7.342653575393999,0.002299683248359482
MuSCs,Agt,Agtr1a,FAPs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,20.52978033333333,61.589341,0.3622039450212636,0.3622039450212636,6.594945574719334,0.01858954277996108,59.354510172474,0.01858954277996108
MuSCs,Agt,Agtr1a,MuSCs,3,1.0,0.321238,0.963714,0.05132341332966364,0.05132341332966365,3,1.0,33.61068033333333,100.832041,0.5929883717175313,0.5929883717175314,10.79702772891933,0.03043418730134308,97.173249560274,0.03043418730134309
ECs,Serping1,Sele,ECs,3,1.0,7.649422333333334,22.948267,0.004484559810904267,0.004484559810904268,3,1.0,0.4890553333333333,1.467166,0.9644476581758422,0.9644476581758422,3.740990789035778,0.004325123207576119,33.668917101322,0.004325123207576119
ECs,Serping1,Sele,MuSCs,3,1.0,7.649422333333334,22.948267,0.004484559810904267,0.004484559810904268,1,0.3333333333333333,0.018028,0.054084,0.03555234182415776,0.03555234182415776,0.1379037858253333,0.0001594366033281488,1.241134072428,0.0001594366033281489
FAPs,Serping1,Sele,ECs,3,1.0,1516.953124666667,4550.859374,0.8893308176045429,0.889330817604543,3,1.0,0.4890553333333333,1.467166,0.9644476581758422,0.9644476581758422,741.8740160348982,0.8577130243823085,6676.866144314084,0.8577130243823086
FAPs,Serping1,Sele,MuSCs,3,1.0,1516.953124666667,4550.859374,0.8893308176045429,0.889330817604543,1,0.3333333333333333,0.018028,0.054084,0.03555234182415776,0.03555234182415776,27.34763093149066,0.03161779322223441,246.128678383416,0.03161779322223442
