Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),Inflammatory-Mac (3 cells),8707142.67757445,68.16945803398714,767,11352.206880801108,0.08887804176530266
FAPs (3 cells),Resolving-Mac (3 cells),7747835.626305439,76.67820920934852,753,10289.290340379068,0.10183029111467268
Inflammatory-Mac (3 cells),Resolving-Mac (3 cells),7325556.890533179,41.297916751403136,623,11758.518283359837,0.06628879093323135
Inflammatory-Mac (3 cells),Inflammatory-Mac (3 cells),7282488.689561117,33.56150303421725,640,11378.888577439246,0.05243984849096446
FAPs (3 cells),ECs (3 cells),6550525.349416359,116.13870269905404,885,7401.723558662553,0.131230172541304
Resolving-Mac (3 cells),Inflammatory-Mac (3 cells),5025013.642045609,37.52711980022459,589,8531.432329449251,0.06371327640106042
FAPs (3 cells),FAPs (3 cells),5008872.6730278665,158.91023687899744,905,5534.665937047366,0.17559142196574304
Inflammatory-Mac (3 cells),FAPs (3 cells),4910456.105790231,43.61335353838876,655,7496.87955082478,0.06658527257769276
Resolving-Mac (3 cells),Resolving-Mac (3 cells),4852328.672338386,47.55615943095846,576,8424.181722809699,0.08256277678985843
Inflammatory-Mac (3 cells),ECs (3 cells),3322331.924252972,32.43248110693283,653,5087.797740050493,0.04966689296620648
Resolving-Mac (3 cells),FAPs (3 cells),3260582.084692123,42.53630343688541,596,5470.775309886112,0.07136963663906948
Resolving-Mac (3 cells),ECs (3 cells),2489589.5379406605,33.15052599517851,603,4128.672533898276,0.05497599667525458
FAPs (3 cells),MuSCs (3 cells),1905206.685303976,68.77070931787385,953,1999.1675606547492,0.07216233926324643
Inflammatory-Mac (3 cells),MuSCs (3 cells),1564520.4188896709,15.879885379777448,697,2244.649094533244,0.022783192797385148
ECs (3 cells),Resolving-Mac (3 cells),1438289.1011455702,40.369993596921255,713,2017.2357659825668,0.05661990686805225
ECs (3 cells),Inflammatory-Mac (3 cells),1422148.3651989247,33.56068685225267,720,1975.2060627762842,0.04661206507257316
ECs (3 cells),ECs (3 cells),1266909.8700394328,69.3031242262199,805,1573.8010807943265,0.08609083754809925
Resolving-Mac (3 cells),MuSCs (3 cells),946579.9347744533,16.62494551149915,638,1483.6676093643468,0.026057908325233775
ECs (3 cells),FAPs (3 cells),908072.5427316731,73.95691017754915,811,1119.6948738984872,0.0911922443619595
MuSCs (3 cells),Resolving-Mac (3 cells),727392.9849123625,20.037967851107453,745,976.3664227011577,0.02689660114242611
MuSCs (3 cells),Inflammatory-Mac (3 cells),678999.2918987046,16.633113970855018,759,894.5972225279376,0.021914511160546796
MuSCs (3 cells),FAPs (3 cells),419025.82360285503,45.785406744482096,883,474.5479316000623,0.051852102768382896
MuSCs (3 cells),ECs (3 cells),381278.06712743646,31.906946263055545,873,436.74463588480694,0.036548621148975426
ECs (3 cells),MuSCs (3 cells),339835.62768862734,35.331913675377756,866,392.41989340488146,0.0407989765304593
MuSCs (3 cells),MuSCs (3 cells),163591.04854093603,21.947604989516723,933,175.33874441686606,0.02352369237890324
