Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),ECs (3 cells),7746777.305932024,137.86312551150564,947,8180.335064342158,0.14557880201848536
FAPs (3 cells),FAPs (3 cells),6557494.6689293515,204.68813089610387,969,6767.28036009221,0.21123646119308964
FAPs (3 cells),M2 (3 cells),5717367.019028712,123.6879125233369,830,6888.393998829773,0.14902158135341795
FAPs (3 cells),sCs (3 cells),2986669.242565241,110.77207668269989,1012,2951.2541922581436,0.10945857379713428
M2 (3 cells),FAPs (3 cells),2628311.7593208565,70.00151891440686,701,3749.374834979824,0.09985951342996699
M2 (3 cells),M2 (3 cells),2002329.437279492,85.20901682534227,666,3006.5006565758135,0.12794146670471812
M2 (3 cells),ECs (3 cells),1317483.7927862033,43.34379980660829,691,1906.6335640900193,0.06272619364198016
ECs (3 cells),M2 (3 cells),908842.4406819048,46.20748854334684,721,1260.5304309041676,0.0640880562321038
ECs (3 cells),ECs (3 cells),886715.308283041,67.02840790721895,803,1104.2531859066512,0.08347248805382185
ECs (3 cells),FAPs (3 cells),721990.0911860957,74.84909383701473,816,884.791778414333,0.0917268306826161
M2 (3 cells),sCs (3 cells),678892.3179961405,34.2381614186871,733,926.1832441966445,0.04670963358620341
sCs (3 cells),M2 (3 cells),591758.3576014866,36.37932815710448,796,743.4150221124204,0.04570267356420161
sCs (3 cells),FAPs (3 cells),534319.5536620172,75.20948558743446,929,575.1556013584685,0.08095746564847628
sCs (3 cells),ECs (3 cells),467695.9890546908,48.891862194292735,912,512.8245494020732,0.05360949802005782
ECs (3 cells),sCs (3 cells),333186.2389834045,42.00726616740911,856,389.2362604946314,0.04907390907407606
sCs (3 cells),sCs (3 cells),226624.37098478345,43.70134707707595,972,233.1526450460735,0.044960233618390896
