Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
Resolving-Mac (3 cells),Resolving-Mac (3 cells),21317232055.055763,20.152426052332682,981,21730104.031657252,0.02054273807577236
FAPs (3 cells),Neutrophils (3 cells),18879319623.85492,56.52637060147724,1150,16416799.672917321,0.04915336574041499
Resolving-Mac (3 cells),Inflammatory-Mac (3 cells),17625178430.924206,19.993245594170368,924,19074868.431736153,0.021637711682002563
Inflammatory-Mac (3 cells),Resolving-Mac (3 cells),16693912845.200687,19.380285858602917,921,18125855.423670672,0.02104265565537776
FAPs (3 cells),Resolving-Mac (3 cells),16635262406.771904,40.90054363915434,1152,14440331.950322833,0.035503944131210365
Resolving-Mac (3 cells),Neutrophils (3 cells),16613667695.001337,28.05058011260047,972,17092250.715021953,0.02885862151502106
FAPs (3 cells),Inflammatory-Mac (3 cells),15375508037.780268,38.93639470117128,1092,14080135.565732846,0.035656039103636704
Resolving-Mac (3 cells),FAPs (3 cells),13846315973.20206,32.447445824034425,1030,13443025.21670103,0.03150237458644119
Inflammatory-Mac (3 cells),Inflammatory-Mac (3 cells),13516119577.15663,19.443974469032362,869,15553647.38453007,0.02237511446378868
Inflammatory-Mac (3 cells),Neutrophils (3 cells),12350499839.442484,26.155866974185432,907,13616868.621215528,0.028837780566907865
FAPs (3 cells),FAPs (3 cells),11949346569.487505,106.96599427901502,1281,9328139.398507029,0.08350194713428183
FAPs (3 cells),ECs (2 cells),11819644107.632553,89.13969836714344,1232,9593866.97048097,0.07235365127203201
Inflammatory-Mac (3 cells),FAPs (3 cells),10514407464.89845,28.543272992743315,977,10761931.898565456,0.02921522312460933
Neutrophils (3 cells),Resolving-Mac (3 cells),10288460577.95108,24.241354722275393,974,10563101.20939536,0.02488845454032381
FAPs (3 cells),MuSCs (2 cells),9142324977.454971,98.06834469202576,1265,7227134.369529622,0.0775243831557516
Neutrophils (3 cells),Inflammatory-Mac (3 cells),8211839473.665989,24.625955833089545,913,8994347.725811599,0.026972569368115602
Neutrophils (3 cells),Neutrophils (3 cells),7463522939.06807,39.87648156943484,965,7734220.662246705,0.041322778828429885
Resolving-Mac (3 cells),MuSCs (2 cells),7196316507.157514,29.165469795594607,1011,7118018.305793782,0.028848140252813657
Neutrophils (3 cells),FAPs (3 cells),6698728038.876484,43.44125261517448,1034,6478460.385760623,0.04201281684252851
Resolving-Mac (3 cells),ECs (2 cells),6688243778.298151,25.57663896530441,993,6735391.518930665,0.025756937528000415
Inflammatory-Mac (3 cells),ECs (2 cells),6541127302.585176,23.187109376152396,950,6885397.160615975,0.024407483553844627
Inflammatory-Mac (3 cells),MuSCs (2 cells),5846414954.50918,25.292668438674216,960,6090015.577613729,0.026346529623618976
ECs (2 cells),Resolving-Mac (3 cells),4614691915.579353,25.022624138009398,1053,4382423.471585331,0.023763175819572078
MuSCs (2 cells),Resolving-Mac (3 cells),4407908870.514735,27.128885914260934,1089,4047666.5477637607,0.024911740968100032
MuSCs (2 cells),Neutrophils (3 cells),4311672763.785432,32.23023605333747,1083,3981230.622147213,0.029760144093571073
ECs (2 cells),Neutrophils (3 cells),3997589257.555417,33.19802570348499,1054,3792779.1817413825,0.0314971780867979
ECs (2 cells),Inflammatory-Mac (3 cells),3984726395.505102,22.71783882508377,1005,3964901.8860747283,0.022604814751327133
MuSCs (2 cells),Inflammatory-Mac (3 cells),3896341497.4929748,24.56539727761634,1035,3764581.1569980434,0.023734683360015787
Neutrophils (3 cells),ECs (2 cells),3882644021.9710183,30.01319057510776,1004,3867175.3206882654,0.0298936161106651
ECs (2 cells),ECs (2 cells),3857201983.8060703,65.48690396128183,1121,3440858.1479090727,0.05841829077723624
ECs (2 cells),FAPs (3 cells),3395555742.606249,59.496279136162734,1156,2937331.9572718414,0.05146736949495046
MuSCs (2 cells),FAPs (3 cells),3222109329.0664344,72.21884384697682,1199,2687330.5496800956,0.06023256367554364
MuSCs (2 cells),ECs (2 cells),3096466245.6085787,63.29994478300875,1157,2676288.889895055,0.05471041035696521
Neutrophils (3 cells),MuSCs (2 cells),3046817840.7369685,32.1342178626443,1016,2998836.457418276,0.031628167187642026
ECs (2 cells),MuSCs (2 cells),2666037983.278341,62.474636360121096,1144,2330452.782585962,0.05461069611898697
MuSCs (2 cells),MuSCs (2 cells),2390634508.66959,83.08000273486654,1192,2005565.862977844,0.06969798887153233
