cell,cluster
Young.Resolving-Mac.D4_1,Resolving-Mac
Young.Resolving-Mac.D4_3,Resolving-Mac
Young.Inflammatory-Mac.D4_1,Inflammatory-Mac
Young.Resolving-Mac.D4_2,Resolving-Mac
Young.Inflammatory-Mac.D4_3,Inflammatory-Mac
Young.Inflammatory-Mac.D4_2,Inflammatory-Mac
Young.FAPs.D4_1,FAPs
Young.FAPs.D4_2,FAPs
Young.FAPs.D4_3,FAPs
Young.MuSCs.D4_2,MuSCs
Young.MuSCs.D4_3,MuSCs
Young.MuSCs.D4_1,MuSCs
Young.ECs.D4_2,ECs
Young.ECs.D4_3,ECs
Young.ECs.D4_1,ECs
