"day_celltype"	"inputsize"	"maxpadj"	"minabslfc"
"D0"	3343	"0.99971813404118"	"0.200347545983579"
"D2"	5218	"0.999978757385929"	"0.200018311350372"
"D4"	4494	"0.999439386409966"	"0.200080992271284"
"D7"	3623	"0.999985282913315"	"0.200038210094776"
