"id"	"cluster"
"ENSMUSG00000016529"	"cluster_1"
"ENSMUSG00000026039"	"cluster_1"
"ENSMUSG00000026043"	"cluster_4"
"ENSMUSG00000026069"	"cluster_3"
"ENSMUSG00000026185"	"cluster_2"
"ENSMUSG00000026196"	"cluster_5"
"ENSMUSG00000026204"	"cluster_2"
"ENSMUSG00000026249"	"cluster_2"
"ENSMUSG00000026251"	"cluster_3"
"ENSMUSG00000026574"	"cluster_1"
"ENSMUSG00000026605"	"cluster_1"
"ENSMUSG00000026683"	"cluster_1"
"ENSMUSG00000026712"	"cluster_3"
"ENSMUSG00000026837"	"cluster_4"
"ENSMUSG00000032487"	"cluster_3"
"ENSMUSG00000034220"	"cluster_3"
"ENSMUSG00000039157"	"cluster_6"
"ENSMUSG00000039748"	"cluster_1"
"ENSMUSG00000040170"	"cluster_6"
"ENSMUSG00000040181"	"cluster_6"
"ENSMUSG00000041498"	"cluster_1"
"ENSMUSG00000041801"	"cluster_2"
"ENSMUSG00000054203"	"cluster_4"
"ENSMUSG00000070732"	"cluster_1"
"ENSMUSG00000005089"	"cluster_4"
"ENSMUSG00000005233"	"cluster_5"
"ENSMUSG00000026971"	"cluster_1"
"ENSMUSG00000027215"	"cluster_1"
"ENSMUSG00000027219"	"cluster_6"
"ENSMUSG00000027221"	"cluster_3"
"ENSMUSG00000027452"	"cluster_6"
"ENSMUSG00000027469"	"cluster_1"
"ENSMUSG00000027490"	"cluster_1"
"ENSMUSG00000027514"	"cluster_1"
"ENSMUSG00000027646"	"cluster_2"
"ENSMUSG00000031253"	"cluster_2"
"ENSMUSG00000031262"	"cluster_1"
"ENSMUSG00000033213"	"cluster_3"
"ENSMUSG00000033737"	"cluster_1"
"ENSMUSG00000033777"	"cluster_1"
"ENSMUSG00000034311"	"cluster_5"
"ENSMUSG00000034810"	"cluster_2"
"ENSMUSG00000037010"	"cluster_3"
"ENSMUSG00000040035"	"cluster_1"
"ENSMUSG00000040084"	"cluster_1"
"ENSMUSG00000041219"	"cluster_1"
"ENSMUSG00000042821"	"cluster_1"
"ENSMUSG00000048327"	"cluster_1"
"ENSMUSG00000048388"	"cluster_2"
"ENSMUSG00000049804"	"cluster_5"
"ENSMUSG00000074622"	"cluster_6"
"ENSMUSG00000074766"	"cluster_6"
"ENSMUSG00000087006"	"cluster_2"
"ENSMUSG00000011008"	"cluster_3"
"ENSMUSG00000027715"	"cluster_1"
"ENSMUSG00000027832"	"cluster_3"
"ENSMUSG00000028064"	"cluster_1"
"ENSMUSG00000028068"	"cluster_1"
"ENSMUSG00000028128"	"cluster_2"
"ENSMUSG00000028175"	"cluster_1"
"ENSMUSG00000028364"	"cluster_3"
