"id"	"cluster"
"ENSMUSG00000001305"	"cluster_5"
"ENSMUSG00000006576"	"cluster_3"
"ENSMUSG00000007097"	"cluster_3"
"ENSMUSG00000009633"	"cluster_3"
"ENSMUSG00000010175"	"cluster_4"
"ENSMUSG00000010311"	"cluster_4"
"ENSMUSG00000015962"	"cluster_6"
"ENSMUSG00000016194"	"cluster_3"
"ENSMUSG00000016526"	"cluster_5"
"ENSMUSG00000025776"	"cluster_3"
"ENSMUSG00000025780"	"cluster_4"
"ENSMUSG00000025912"	"cluster_5"
"ENSMUSG00000025921"	"cluster_5"
"ENSMUSG00000026023"	"cluster_3"
"ENSMUSG00000026039"	"cluster_6"
"ENSMUSG00000026109"	"cluster_4"
"ENSMUSG00000026196"	"cluster_6"
"ENSMUSG00000026235"	"cluster_3"
"ENSMUSG00000026241"	"cluster_3"
"ENSMUSG00000026253"	"cluster_6"
"ENSMUSG00000026274"	"cluster_6"
"ENSMUSG00000026321"	"cluster_3"
"ENSMUSG00000026414"	"cluster_1"
"ENSMUSG00000026429"	"cluster_6"
"ENSMUSG00000026452"	"cluster_3"
"ENSMUSG00000026475"	"cluster_5"
"ENSMUSG00000026536"	"cluster_6"
"ENSMUSG00000026574"	"cluster_4"
"ENSMUSG00000026587"	"cluster_2"
"ENSMUSG00000026605"	"cluster_6"
"ENSMUSG00000026620"	"cluster_3"
"ENSMUSG00000026676"	"cluster_3"
"ENSMUSG00000026683"	"cluster_6"
"ENSMUSG00000026779"	"cluster_6"
"ENSMUSG00000026786"	"cluster_5"
"ENSMUSG00000026840"	"cluster_3"
"ENSMUSG00000026875"	"cluster_6"
"ENSMUSG00000026879"	"cluster_3"
"ENSMUSG00000026955"	"cluster_6"
"ENSMUSG00000026974"	"cluster_5"
"ENSMUSG00000026980"	"cluster_6"
"ENSMUSG00000032487"	"cluster_5"
"ENSMUSG00000034220"	"cluster_6"
"ENSMUSG00000036617"	"cluster_4"
"ENSMUSG00000037860"	"cluster_2"
"ENSMUSG00000038370"	"cluster_2"
"ENSMUSG00000038530"	"cluster_2"
"ENSMUSG00000039384"	"cluster_6"
"ENSMUSG00000039748"	"cluster_6"
"ENSMUSG00000040170"	"cluster_3"
"ENSMUSG00000040265"	"cluster_4"
"ENSMUSG00000041498"	"cluster_6"
"ENSMUSG00000041757"	"cluster_3"
"ENSMUSG00000041945"	"cluster_5"
"ENSMUSG00000042182"	"cluster_6"
"ENSMUSG00000046618"	"cluster_4"
"ENSMUSG00000047361"	"cluster_3"
"ENSMUSG00000047443"	"cluster_3"
"ENSMUSG00000047496"	"cluster_3"
"ENSMUSG00000048096"	"cluster_3"
"ENSMUSG00000048402"	"cluster_4"
"ENSMUSG00000049866"	"cluster_6"
"ENSMUSG00000051998"	"cluster_1"
"ENSMUSG00000061531"	"cluster_6"
"ENSMUSG00000062510"	"cluster_6"
"ENSMUSG00000063558"	"cluster_4"
"ENSMUSG00000067071"	"cluster_6"
"ENSMUSG00000070732"	"cluster_6"
"ENSMUSG00000076441"	"cluster_5"
"ENSMUSG00000079445"	"cluster_6"
"ENSMUSG00000091844"	"cluster_6"
"ENSMUSG00000005089"	"cluster_6"
"ENSMUSG00000005233"	"cluster_6"
"ENSMUSG00000014361"	"cluster_2"
"ENSMUSG00000015217"	"cluster_6"
"ENSMUSG00000025665"	"cluster_6"
"ENSMUSG00000026971"	"cluster_6"
"ENSMUSG00000027076"	"cluster_5"
"ENSMUSG00000027134"	"cluster_5"
"ENSMUSG00000027171"	"cluster_5"
"ENSMUSG00000027203"	"cluster_5"
"ENSMUSG00000027219"	"cluster_3"
"ENSMUSG00000027298"	"cluster_6"
"ENSMUSG00000027306"	"cluster_6"
"ENSMUSG00000027314"	"cluster_4"
"ENSMUSG00000027323"	"cluster_6"
"ENSMUSG00000027335"	"cluster_3"
"ENSMUSG00000027339"	"cluster_3"
"ENSMUSG00000027353"	"cluster_5"
"ENSMUSG00000027358"	"cluster_2"
"ENSMUSG00000027368"	"cluster_6"
"ENSMUSG00000027452"	"cluster_3"
"ENSMUSG00000027454"	"cluster_6"
"ENSMUSG00000027469"	"cluster_6"
"ENSMUSG00000027524"	"cluster_4"
"ENSMUSG00000027635"	"cluster_6"
"ENSMUSG00000027654"	"cluster_6"
"ENSMUSG00000031169"	"cluster_4"
"ENSMUSG00000031262"	"cluster_6"
"ENSMUSG00000031340"	"cluster_4"
"ENSMUSG00000031383"	"cluster_5"
"ENSMUSG00000032698"	"cluster_3"
"ENSMUSG00000032715"	"cluster_5"
"ENSMUSG00000034311"	"cluster_6"
"ENSMUSG00000034607"	"cluster_4"
"ENSMUSG00000036502"	"cluster_4"
"ENSMUSG00000037005"	"cluster_3"
"ENSMUSG00000037010"	"cluster_5"
"ENSMUSG00000037358"	"cluster_4"
"ENSMUSG00000037820"	"cluster_3"
"ENSMUSG00000040084"	"cluster_6"
"ENSMUSG00000041219"	"cluster_6"
"ENSMUSG00000044083"	"cluster_6"
"ENSMUSG00000044991"	"cluster_4"
"ENSMUSG00000045103"	"cluster_3"
"ENSMUSG00000048327"	"cluster_6"
"ENSMUSG00000049999"	"cluster_3"
"ENSMUSG00000051220"	"cluster_6"
"ENSMUSG00000051747"	"cluster_1"
"ENSMUSG00000055612"	"cluster_6"
"ENSMUSG00000055653"	"cluster_4"
"ENSMUSG00000057378"	"cluster_1"
"ENSMUSG00000058620"	"cluster_2"
"ENSMUSG00000060445"	"cluster_3"
"ENSMUSG00000063873"	"cluster_3"
"ENSMUSG00000067818"	"cluster_3"
"ENSMUSG00000068079"	"cluster_3"
"ENSMUSG00000068735"	"cluster_5"
"ENSMUSG00000075015"	"cluster_4"
"ENSMUSG00000078129"	"cluster_6"
"ENSMUSG00000079593"	"cluster_4"
"ENSMUSG00000101174"	"cluster_3"
"ENSMUSG00000000402"	"cluster_3"
"ENSMUSG00000000794"	"cluster_4"
"ENSMUSG00000014599"	"cluster_5"
"ENSMUSG00000027533"	"cluster_5"
"ENSMUSG00000027562"	"cluster_4"
"ENSMUSG00000027715"	"cluster_6"
"ENSMUSG00000027792"	"cluster_3"
"ENSMUSG00000027811"	"cluster_5"
"ENSMUSG00000027843"	"cluster_6"
"ENSMUSG00000027857"	"cluster_3"
"ENSMUSG00000027858"	"cluster_3"
"ENSMUSG00000027894"	"cluster_2"
"ENSMUSG00000028012"	"cluster_6"
"ENSMUSG00000028036"	"cluster_3"
"ENSMUSG00000028044"	"cluster_6"
"ENSMUSG00000028068"	"cluster_6"
"ENSMUSG00000028088"	"cluster_3"
"ENSMUSG00000028175"	"cluster_6"
"ENSMUSG00000028212"	"cluster_5"
"ENSMUSG00000028347"	"cluster_6"
"ENSMUSG00000028348"	"cluster_6"
"ENSMUSG00000028364"	"cluster_6"
"ENSMUSG00000028464"	"cluster_4"
"ENSMUSG00000028475"	"cluster_2"
"ENSMUSG00000031273"	"cluster_3"
"ENSMUSG00000032902"	"cluster_5"
"ENSMUSG00000033377"	"cluster_4"
"ENSMUSG00000033910"	"cluster_2"
"ENSMUSG00000035683"	"cluster_6"
"ENSMUSG00000036353"	"cluster_3"
"ENSMUSG00000036832"	"cluster_6"
"ENSMUSG00000037211"	"cluster_3"
"ENSMUSG00000040387"	"cluster_6"
"ENSMUSG00000040562"	"cluster_3"
"ENSMUSG00000040749"	"cluster_5"
"ENSMUSG00000040998"	"cluster_6"
"ENSMUSG00000042515"	"cluster_6"
"ENSMUSG00000045751"	"cluster_6"
"ENSMUSG00000046743"	"cluster_4"
"ENSMUSG00000047757"	"cluster_5"
"ENSMUSG00000051136"	"cluster_6"
"ENSMUSG00000059049"	"cluster_3"
"ENSMUSG00000068744"	"cluster_6"
"ENSMUSG00000071001"	"cluster_3"
"ENSMUSG00000073888"	"cluster_3"
"ENSMUSG00000073889"	"cluster_2"
"ENSMUSG00000074207"	"cluster_3"
"ENSMUSG00000074480"	"cluster_6"
"ENSMUSG00000078716"	"cluster_4"
"ENSMUSG00000078773"	"cluster_6"
"ENSMUSG00000002944"	"cluster_2"
"ENSMUSG00000005672"	"cluster_3"
"ENSMUSG00000006442"	"cluster_5"
"ENSMUSG00000007080"	"cluster_6"
"ENSMUSG00000015652"	"cluster_5"
"ENSMUSG00000015880"	"cluster_6"
"ENSMUSG00000018983"	"cluster_6"
"ENSMUSG00000024793"	"cluster_1"
"ENSMUSG00000025747"	"cluster_6"
"ENSMUSG00000028613"	"cluster_5"
"ENSMUSG00000028614"	"cluster_5"
"ENSMUSG00000028633"	"cluster_5"
"ENSMUSG00000028654"	"cluster_1"
"ENSMUSG00000028718"	"cluster_6"
"ENSMUSG00000028803"	"cluster_4"
"ENSMUSG00000028864"	"cluster_4"
"ENSMUSG00000029095"	"cluster_3"
"ENSMUSG00000029096"	"cluster_4"
"ENSMUSG00000029153"	"cluster_6"
"ENSMUSG00000029204"	"cluster_4"
"ENSMUSG00000029321"	"cluster_3"
"ENSMUSG00000029359"	"cluster_4"
"ENSMUSG00000029379"	"cluster_5"
"ENSMUSG00000029516"	"cluster_6"
"ENSMUSG00000029591"	"cluster_6"
"ENSMUSG00000029675"	"cluster_3"
"ENSMUSG00000033191"	"cluster_3"
"ENSMUSG00000034842"	"cluster_2"
"ENSMUSG00000034853"	"cluster_4"
"ENSMUSG00000035305"	"cluster_3"
"ENSMUSG00000035407"	"cluster_3"
"ENSMUSG00000037313"	"cluster_6"
"ENSMUSG00000039410"	"cluster_2"
"ENSMUSG00000040537"	"cluster_2"
"ENSMUSG00000040584"	"cluster_2"
"ENSMUSG00000042010"	"cluster_3"
"ENSMUSG00000042249"	"cluster_2"
"ENSMUSG00000045790"	"cluster_3"
"ENSMUSG00000046959"	"cluster_3"
"ENSMUSG00000047945"	"cluster_6"
"ENSMUSG00000048520"	"cluster_6"
"ENSMUSG00000050010"	"cluster_3"
"ENSMUSG00000051498"	"cluster_1"
"ENSMUSG00000062960"	"cluster_3"
"ENSMUSG00000070576"	"cluster_3"
"ENSMUSG00000072941"	"cluster_3"
"ENSMUSG00000073705"	"cluster_5"
"ENSMUSG00000078521"	"cluster_6"
"ENSMUSG00000078532"	"cluster_6"
"ENSMUSG00000000628"	"cluster_6"
"ENSMUSG00000001517"	"cluster_6"
"ENSMUSG00000001520"	"cluster_3"
"ENSMUSG00000002266"	"cluster_4"
"ENSMUSG00000002870"	"cluster_6"
"ENSMUSG00000004328"	"cluster_3"
"ENSMUSG00000009376"	"cluster_6"
"ENSMUSG00000009394"	"cluster_4"
"ENSMUSG00000015112"	"cluster_5"
"ENSMUSG00000017978"	"cluster_4"
"ENSMUSG00000023505"	"cluster_6"
"ENSMUSG00000029641"	"cluster_2"
"ENSMUSG00000029659"	"cluster_4"
"ENSMUSG00000029910"	"cluster_6"
"ENSMUSG00000029999"	"cluster_5"
"ENSMUSG00000030083"	"cluster_3"
"ENSMUSG00000030087"	"cluster_3"
