"id"	"cluster"
"ENSMUSG00000003418"	"cluster_2"
"ENSMUSG00000005338"	"cluster_1"
"ENSMUSG00000007097"	"cluster_5"
"ENSMUSG00000009633"	"cluster_1"
"ENSMUSG00000010311"	"cluster_1"
"ENSMUSG00000015085"	"cluster_5"
"ENSMUSG00000016194"	"cluster_1"
"ENSMUSG00000016529"	"cluster_2"
"ENSMUSG00000022995"	"cluster_2"
"ENSMUSG00000025776"	"cluster_5"
"ENSMUSG00000025780"	"cluster_5"
"ENSMUSG00000025912"	"cluster_3"
"ENSMUSG00000026039"	"cluster_3"
"ENSMUSG00000026069"	"cluster_3"
"ENSMUSG00000026072"	"cluster_3"
"ENSMUSG00000026185"	"cluster_1"
"ENSMUSG00000026196"	"cluster_3"
"ENSMUSG00000026249"	"cluster_1"
"ENSMUSG00000026315"	"cluster_5"
"ENSMUSG00000026399"	"cluster_1"
"ENSMUSG00000026429"	"cluster_3"
"ENSMUSG00000026447"	"cluster_5"
"ENSMUSG00000026475"	"cluster_2"
"ENSMUSG00000026605"	"cluster_3"
"ENSMUSG00000026676"	"cluster_5"
"ENSMUSG00000026683"	"cluster_3"
"ENSMUSG00000026692"	"cluster_5"
"ENSMUSG00000026697"	"cluster_1"
"ENSMUSG00000026779"	"cluster_3"
"ENSMUSG00000026840"	"cluster_1"
"ENSMUSG00000026879"	"cluster_1"
"ENSMUSG00000026980"	"cluster_2"
"ENSMUSG00000027520"	"cluster_2"
"ENSMUSG00000035778"	"cluster_2"
"ENSMUSG00000036040"	"cluster_5"
"ENSMUSG00000036617"	"cluster_5"
"ENSMUSG00000037254"	"cluster_1"
"ENSMUSG00000037872"	"cluster_1"
"ENSMUSG00000039748"	"cluster_3"
"ENSMUSG00000040170"	"cluster_1"
"ENSMUSG00000040181"	"cluster_5"
"ENSMUSG00000040723"	"cluster_5"
"ENSMUSG00000041498"	"cluster_3"
"ENSMUSG00000041757"	"cluster_1"
"ENSMUSG00000045658"	"cluster_5"
"ENSMUSG00000046618"	"cluster_1"
"ENSMUSG00000048402"	"cluster_5"
"ENSMUSG00000062510"	"cluster_3"
"ENSMUSG00000063558"	"cluster_1"
"ENSMUSG00000091844"	"cluster_2"
"ENSMUSG00000005089"	"cluster_2"
"ENSMUSG00000005233"	"cluster_3"
"ENSMUSG00000015217"	"cluster_3"
"ENSMUSG00000017002"	"cluster_2"
"ENSMUSG00000017754"	"cluster_5"
"ENSMUSG00000023224"	"cluster_5"
"ENSMUSG00000026971"	"cluster_2"
"ENSMUSG00000027022"	"cluster_5"
"ENSMUSG00000027215"	"cluster_3"
"ENSMUSG00000027306"	"cluster_3"
"ENSMUSG00000027323"	"cluster_3"
"ENSMUSG00000027333"	"cluster_5"
"ENSMUSG00000027339"	"cluster_5"
"ENSMUSG00000027353"	"cluster_3"
"ENSMUSG00000027368"	"cluster_3"
"ENSMUSG00000027454"	"cluster_3"
"ENSMUSG00000027469"	"cluster_3"
"ENSMUSG00000027495"	"cluster_5"
"ENSMUSG00000027654"	"cluster_3"
"ENSMUSG00000031262"	"cluster_3"
"ENSMUSG00000031371"	"cluster_3"
"ENSMUSG00000031391"	"cluster_2"
"ENSMUSG00000034311"	"cluster_3"
"ENSMUSG00000036131"	"cluster_1"
"ENSMUSG00000037010"	"cluster_2"
"ENSMUSG00000037813"	"cluster_5"
"ENSMUSG00000040084"	"cluster_3"
"ENSMUSG00000041219"	"cluster_3"
"ENSMUSG00000048327"	"cluster_3"
"ENSMUSG00000051220"	"cluster_3"
"ENSMUSG00000051817"	"cluster_2"
"ENSMUSG00000055612"	"cluster_3"
"ENSMUSG00000055653"	"cluster_5"
"ENSMUSG00000062184"	"cluster_2"
"ENSMUSG00000067377"	"cluster_2"
"ENSMUSG00000068122"	"cluster_4"
"ENSMUSG00000075224"	"cluster_5"
"ENSMUSG00000001020"	"cluster_3"
"ENSMUSG00000011008"	"cluster_2"
"ENSMUSG00000014599"	"cluster_3"
"ENSMUSG00000027533"	"cluster_3"
"ENSMUSG00000027715"	"cluster_3"
"ENSMUSG00000027765"	"cluster_1"
"ENSMUSG00000027811"	"cluster_3"
"ENSMUSG00000027832"	"cluster_2"
"ENSMUSG00000027843"	"cluster_2"
"ENSMUSG00000027894"	"cluster_3"
"ENSMUSG00000027956"	"cluster_3"
"ENSMUSG00000027978"	"cluster_1"
"ENSMUSG00000028068"	"cluster_3"
"ENSMUSG00000028175"	"cluster_3"
"ENSMUSG00000028212"	"cluster_3"
"ENSMUSG00000028339"	"cluster_5"
"ENSMUSG00000028362"	"cluster_2"
"ENSMUSG00000028364"	"cluster_2"
"ENSMUSG00000028464"	"cluster_2"
"ENSMUSG00000028475"	"cluster_1"
"ENSMUSG00000031380"	"cluster_3"
"ENSMUSG00000032902"	"cluster_3"
"ENSMUSG00000035683"	"cluster_3"
"ENSMUSG00000036745"	"cluster_2"
"ENSMUSG00000036853"	"cluster_2"
"ENSMUSG00000037211"	"cluster_5"
"ENSMUSG00000037625"	"cluster_2"
"ENSMUSG00000040536"	"cluster_1"
"ENSMUSG00000045751"	"cluster_3"
"ENSMUSG00000046432"	"cluster_2"
"ENSMUSG00000047757"	"cluster_3"
"ENSMUSG00000048416"	"cluster_3"
"ENSMUSG00000048796"	"cluster_5"
"ENSMUSG00000051136"	"cluster_2"
"ENSMUSG00000059049"	"cluster_4"
