"id"	"cluster"
"ENSMUSG00000022325"	"cluster_1"
"ENSMUSG00000042284"	"cluster_1"
"ENSMUSG00000047414"	"cluster_1"
"ENSMUSG00000050103"	"cluster_2"
"ENSMUSG00000057396"	"cluster_2"
"ENSMUSG00000071342"	"cluster_1"
"ENSMUSG00000075602"	"cluster_2"
"ENSMUSG00000094942"	"cluster_2"
"ENSMUSG00000000489"	"cluster_2"
"ENSMUSG00000009739"	"cluster_2"
"ENSMUSG00000022504"	"cluster_2"
"ENSMUSG00000022514"	"cluster_1"
"ENSMUSG00000022548"	"cluster_2"
"ENSMUSG00000022610"	"cluster_2"
"ENSMUSG00000022686"	"cluster_1"
"ENSMUSG00000023046"	"cluster_1"
"ENSMUSG00000023826"	"cluster_2"
"ENSMUSG00000023960"	"cluster_2"
"ENSMUSG00000023961"	"cluster_2"
"ENSMUSG00000024340"	"cluster_2"
"ENSMUSG00000036594"	"cluster_2"
"ENSMUSG00000037095"	"cluster_1"
"ENSMUSG00000041538"	"cluster_2"
"ENSMUSG00000041754"	"cluster_1"
"ENSMUSG00000051682"	"cluster_1"
"ENSMUSG00000053411"	"cluster_2"
"ENSMUSG00000067629"	"cluster_2"
"ENSMUSG00000073421"	"cluster_2"
"ENSMUSG00000090675"	"cluster_2"
"ENSMUSG00000024501"	"cluster_2"
"ENSMUSG00000024610"	"cluster_2"
"ENSMUSG00000024912"	"cluster_1"
"ENSMUSG00000035049"	"cluster_1"
"ENSMUSG00000042834"	"cluster_2"
"ENSMUSG00000054072"	"cluster_2"
"ENSMUSG00000071847"	"cluster_1"
"ENSMUSG00000073555"	"cluster_2"
"ENSMUSG00000075296"	"cluster_2"
"ENSMUSG00000083282"	"cluster_2"
"ENSMUSG00000090942"	"cluster_2"
"ENSMUSG00000025964"	"cluster_2"
"ENSMUSG00000026012"	"cluster_2"
"ENSMUSG00000026170"	"cluster_2"
"ENSMUSG00000026180"	"cluster_1"
"ENSMUSG00000026418"	"cluster_2"
"ENSMUSG00000026829"	"cluster_2"
"ENSMUSG00000034353"	"cluster_2"
"ENSMUSG00000038776"	"cluster_2"
"ENSMUSG00000044708"	"cluster_2"
"ENSMUSG00000001131"	"cluster_1"
"ENSMUSG00000017737"	"cluster_1"
"ENSMUSG00000027199"	"cluster_2"
"ENSMUSG00000027313"	"cluster_1"
"ENSMUSG00000031375"	"cluster_2"
"ENSMUSG00000040229"	"cluster_2"
"ENSMUSG00000044338"	"cluster_2"
"ENSMUSG00000051177"	"cluster_1"
"ENSMUSG00000027737"	"cluster_1"
"ENSMUSG00000027750"	"cluster_2"
"ENSMUSG00000027797"	"cluster_2"
"ENSMUSG00000028019"	"cluster_2"
"ENSMUSG00000028194"	"cluster_2"
"ENSMUSG00000036381"	"cluster_2"
"ENSMUSG00000040037"	"cluster_2"
"ENSMUSG00000041552"	"cluster_2"
"ENSMUSG00000054752"	"cluster_1"
"ENSMUSG00000028573"	"cluster_2"
"ENSMUSG00000028583"	"cluster_1"
"ENSMUSG00000028644"	"cluster_2"
"ENSMUSG00000029372"	"cluster_1"
"ENSMUSG00000029417"	"cluster_2"
"ENSMUSG00000037224"	"cluster_2"
"ENSMUSG00000038552"	"cluster_2"
"ENSMUSG00000040606"	"cluster_2"
"ENSMUSG00000058427"	"cluster_1"
"ENSMUSG00000059434"	"cluster_2"
"ENSMUSG00000023191"	"cluster_2"
"ENSMUSG00000029581"	"cluster_2"
"ENSMUSG00000029661"	"cluster_2"
"ENSMUSG00000029762"	"cluster_1"
"ENSMUSG00000049409"	"cluster_1"
"ENSMUSG00000025473"	"cluster_1"
"ENSMUSG00000030865"	"cluster_2"
"ENSMUSG00000055320"	"cluster_2"
"ENSMUSG00000003070"	"cluster_2"
"ENSMUSG00000014329"	"cluster_2"
"ENSMUSG00000031442"	"cluster_1"
"ENSMUSG00000031444"	"cluster_1"
"ENSMUSG00000031565"	"cluster_2"
"ENSMUSG00000031618"	"cluster_1"
"ENSMUSG00000031842"	"cluster_2"
"ENSMUSG00000034612"	"cluster_1"
"ENSMUSG00000022094"	"cluster_1"
"ENSMUSG00000022126"	"cluster_1"
"ENSMUSG00000031927"	"cluster_1"
"ENSMUSG00000032014"	"cluster_1"
"ENSMUSG00000032216"	"cluster_2"
"ENSMUSG00000032232"	"cluster_1"
"ENSMUSG00000033350"	"cluster_2"
"ENSMUSG00000040722"	"cluster_2"
"ENSMUSG00000055639"	"cluster_1"
"ENSMUSG00000004668"	"cluster_1"
"ENSMUSG00000006930"	"cluster_2"
"ENSMUSG00000017446"	"cluster_2"
"ENSMUSG00000018500"	"cluster_1"
"ENSMUSG00000020798"	"cluster_2"
"ENSMUSG00000035441"	"cluster_1"
"ENSMUSG00000040447"	"cluster_2"
"ENSMUSG00000021200"	"cluster_2"
"ENSMUSG00000002289"	"cluster_2"
"ENSMUSG00000016028"	"cluster_2"
"ENSMUSG00000022816"	"cluster_2"
"ENSMUSG00000024053"	"cluster_1"
"ENSMUSG00000042265"	"cluster_1"
"ENSMUSG00000060586"	"cluster_2"
"ENSMUSG00000024529"	"cluster_2"
"ENSMUSG00000024548"	"cluster_2"
"ENSMUSG00000024640"	"cluster_1"
"ENSMUSG00000024842"	"cluster_2"
"ENSMUSG00000025085"	"cluster_2"
"ENSMUSG00000035735"	"cluster_1"
"ENSMUSG00000044724"	"cluster_2"
"ENSMUSG00000058624"	"cluster_1"
