"id"	"cluster"
"ENSMUSG00000003418"	"cluster_1"
"ENSMUSG00000026043"	"cluster_1"
"ENSMUSG00000026121"	"cluster_1"
"ENSMUSG00000026193"	"cluster_2"
"ENSMUSG00000026207"	"cluster_1"
"ENSMUSG00000026548"	"cluster_1"
"ENSMUSG00000026558"	"cluster_2"
"ENSMUSG00000026579"	"cluster_2"
"ENSMUSG00000036770"	"cluster_1"
"ENSMUSG00000037995"	"cluster_1"
"ENSMUSG00000042182"	"cluster_1"
"ENSMUSG00000005089"	"cluster_2"
"ENSMUSG00000023224"	"cluster_1"
"ENSMUSG00000027360"	"cluster_2"
"ENSMUSG00000037217"	"cluster_2"
"ENSMUSG00000051379"	"cluster_2"
"ENSMUSG00000070883"	"cluster_1"
"ENSMUSG00000009108"	"cluster_2"
"ENSMUSG00000027886"	"cluster_1"
"ENSMUSG00000028128"	"cluster_2"
"ENSMUSG00000028459"	"cluster_1"
"ENSMUSG00000031373"	"cluster_2"
"ENSMUSG00000050395"	"cluster_1"
"ENSMUSG00000050931"	"cluster_2"
"ENSMUSG00000056054"	"cluster_2"
"ENSMUSG00000056071"	"cluster_2"
"ENSMUSG00000086564"	"cluster_2"
"ENSMUSG00000029314"	"cluster_2"
"ENSMUSG00000033295"	"cluster_1"
"ENSMUSG00000034438"	"cluster_1"
"ENSMUSG00000037999"	"cluster_2"
"ENSMUSG00000079363"	"cluster_1"
"ENSMUSG00000092060"	"cluster_2"
"ENSMUSG00000002265"	"cluster_1"
"ENSMUSG00000002602"	"cluster_1"
"ENSMUSG00000023274"	"cluster_1"
"ENSMUSG00000030324"	"cluster_1"
"ENSMUSG00000033420"	"cluster_1"
"ENSMUSG00000035458"	"cluster_1"
"ENSMUSG00000038390"	"cluster_1"
"ENSMUSG00000042810"	"cluster_1"
"ENSMUSG00000047115"	"cluster_2"
"ENSMUSG00000049130"	"cluster_2"
"ENSMUSG00000078817"	"cluster_2"
"ENSMUSG00000019817"	"cluster_2"
"ENSMUSG00000019987"	"cluster_2"
"ENSMUSG00000037990"	"cluster_1"
