"id"	"cluster"
"ENSMUSG00000015619"	"cluster_6"
"ENSMUSG00000016526"	"cluster_5"
"ENSMUSG00000016529"	"cluster_3"
"ENSMUSG00000025776"	"cluster_6"
"ENSMUSG00000026039"	"cluster_3"
"ENSMUSG00000026043"	"cluster_1"
"ENSMUSG00000026069"	"cluster_1"
"ENSMUSG00000026187"	"cluster_5"
"ENSMUSG00000026196"	"cluster_3"
"ENSMUSG00000026224"	"cluster_3"
"ENSMUSG00000026249"	"cluster_4"
"ENSMUSG00000026479"	"cluster_5"
"ENSMUSG00000026536"	"cluster_3"
"ENSMUSG00000026582"	"cluster_3"
"ENSMUSG00000026605"	"cluster_3"
"ENSMUSG00000026683"	"cluster_3"
"ENSMUSG00000026692"	"cluster_6"
"ENSMUSG00000026786"	"cluster_2"
"ENSMUSG00000026837"	"cluster_1"
"ENSMUSG00000035513"	"cluster_6"
"ENSMUSG00000036040"	"cluster_5"
"ENSMUSG00000038987"	"cluster_5"
"ENSMUSG00000039157"	"cluster_6"
"ENSMUSG00000039748"	"cluster_3"
"ENSMUSG00000040170"	"cluster_6"
"ENSMUSG00000040181"	"cluster_6"
"ENSMUSG00000041498"	"cluster_3"
"ENSMUSG00000041801"	"cluster_2"
"ENSMUSG00000045954"	"cluster_6"
"ENSMUSG00000049608"	"cluster_3"
"ENSMUSG00000050737"	"cluster_5"
"ENSMUSG00000053318"	"cluster_3"
"ENSMUSG00000054203"	"cluster_5"
"ENSMUSG00000056220"	"cluster_5"
"ENSMUSG00000061531"	"cluster_5"
"ENSMUSG00000070732"	"cluster_3"
"ENSMUSG00000073490"	"cluster_2"
"ENSMUSG00000079588"	"cluster_6"
"ENSMUSG00000090124"	"cluster_5"
"ENSMUSG00000091844"	"cluster_2"
"ENSMUSG00000005089"	"cluster_5"
"ENSMUSG00000005233"	"cluster_3"
"ENSMUSG00000017754"	"cluster_6"
"ENSMUSG00000026971"	"cluster_5"
"ENSMUSG00000027009"	"cluster_2"
