Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (1 cells),FAPs (1 cells),7142014.390407098,201.18424550578857,775,9215.502439234966,0.2595925748461788
FAPs (1 cells),M2 (1 cells),5635038.532194597,108.32106061346988,607,9283.424270501806,0.17845314763339354
FAPs (1 cells),ECs (1 cells),5276452.550856157,70.1620120368577,554,9524.282582772847,0.12664623111346157
FAPs (1 cells),sCs (1 cells),4508850.371557865,138.398161772552,805,5601.056362183684,0.17192318232615153
M2 (1 cells),M2 (1 cells),1558251.954778226,88.22347128447645,455,3424.7295709411565,0.19389773908676142
M2 (1 cells),FAPs (1 cells),1547660.0591485344,60.59053589645313,498,3107.751122788222,0.12166774276396211
sCs (1 cells),FAPs (1 cells),786611.6710213886,89.44117425573582,736,1068.7658573660171,0.12152333458659757
sCs (1 cells),M2 (1 cells),776960.8917380447,43.16855974882536,583,1332.6944969777783,0.07404555703057523
M2 (1 cells),sCs (1 cells),659279.454743709,41.394623178478085,518,1272.7402601229903,0.0799123999584519
M2 (1 cells),ECs (1 cells),613373.9219322286,27.5869901523165,388,1580.8606235366717,0.07110049008328995
ECs (1 cells),M2 (1 cells),552839.4512698697,29.49757956022199,369,1498.2098950402972,0.0799392400006016
sCs (1 cells),sCs (1 cells),514873.3402813121,72.47591249499713,772,666.9343786027359,0.09388071566709473
sCs (1 cells),ECs (1 cells),401396.26311446633,34.65118809656122,540,743.3264131749377,0.06416886684548374
ECs (1 cells),FAPs (1 cells),382794.09732047876,38.29848103432739,426,898.5776932405605,0.08990253763926617
ECs (1 cells),sCs (1 cells),232345.55579132482,27.639880921407645,443,524.4820672490403,0.06239250772326782
ECs (1 cells),ECs (1 cells),186365.25520792414,18.966123447531423,327,569.924327852979,0.058000377515386614
