"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"type"	"contrast"	"id"
10.6177757335703	2.27180619606983	43.2889738509342	4.76416818841535e-05	0.000534460654734133	"ECs"	"D2vsD0"	"20311"
10.3175835163871	3.85542726897264	141.225295974134	3.29170976310791e-08	3.00233097443975e-06	"ECs"	"D2vsD0"	"214240"
10.0995922702194	2.00978203022114	112.670253038986	1.20941681216659e-07	6.91623241275111e-06	"ECs"	"D2vsD0"	"14726"
9.64052444389301	1.48730726995457	70.6247788163467	1.62636437350757e-06	4.43053629236626e-05	"ECs"	"D2vsD0"	"19288"
9.50967295629183	2.08054731844662	58.8304382235613	4.31017489389475e-06	8.63865233239452e-05	"ECs"	"D2vsD0"	"20306"
9.33481273647282	2.28040860184427	97.9052173072368	2.68039427448844e-07	1.17765737468454e-05	"ECs"	"D2vsD0"	"20319"
8.96040162499569	1.46860711513895	60.7434506404423	3.64099607338348e-06	7.703932276945e-05	"ECs"	"D2vsD0"	"219148"
8.5787988510414	1.94137441483528	96.2840977963092	2.94411193923678e-07	1.25059503533505e-05	"ECs"	"D2vsD0"	"17240"
8.53713693660145	1.28199672136989	34.9270701535891	5.87635879477949e-05	0.000632803444949449	"ECs"	"D2vsD0"	"236539"
8.41728282719772	2.04994682482855	84.9292406805586	1.81977803640657e-07	8.99273012953936e-06	"ECs"	"D2vsD0"	"23801"
8.37835579269131	0.42510240980518	27.5631166310714	0.000309204772012131	0.0023111773700554	"ECs"	"D2vsD0"	"20862"
8.15739575662179	2.74817967695792	66.0433667572214	8.59696125853467e-07	2.75323481297962e-05	"ECs"	"D2vsD0"	"320685"
8.09557489865903	0.238165860763794	17.0807513371431	0.00125828259459979	0.00698771116407611	"ECs"	"D2vsD0"	"17082"
8.08818943307726	2.92962428946539	101.372854009304	2.20298020717095e-07	1.03686918618884e-05	"ECs"	"D2vsD0"	"73398"
8.08194073082838	1.68530285034026	19.6299987730125	0.00073205024302406	0.00454690832919832	"ECs"	"D2vsD0"	"68774"
8.07951662782404	0.436822931811647	20.5101686173001	0.000613609622407818	0.00397425989596362	"ECs"	"D2vsD0"	"327766"
8.00818923001275	2.20221447897107	61.2467707962454	1.35286333163097e-06	3.84538727261025e-05	"ECs"	"D2vsD0"	"15364"
7.86557696893244	1.50468882977241	16.7131007614977	0.0013660910485348	0.00745709776531629	"ECs"	"D2vsD0"	"20307"
7.80159128341945	1.52281724541507	60.5061562514091	3.71709042508925e-06	7.8314313035031e-05	"ECs"	"D2vsD0"	"16420"
7.76169841837486	2.29223368383421	34.704095406509	6.05721047740755e-05	0.000648036081588123	"ECs"	"D2vsD0"	"279572"
