"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"type"	"contrast"	"ensemblid"
4.62552114505809	5.87558811331589	990.848467556684	6.10075587108641e-16	5.64373410560198e-12	"sCs"	"D2vsD0"	"ENSMUSG00000003779"
5.86366729370795	6.39474132718303	963.042170444996	7.65252082115522e-16	5.64373410560198e-12	"sCs"	"D2vsD0"	"ENSMUSG00000099583"
6.34259131153623	6.54653525934527	823.977948552875	2.6438296494772e-15	1.0975232037315e-11	"sCs"	"D2vsD0"	"ENSMUSG00000001228"
5.07935523495865	7.277979850553	811.772314662127	2.97633411181423e-15	1.0975232037315e-11	"sCs"	"D2vsD0"	"ENSMUSG00000101972"
-3.19998275473162	7.49058398045006	769.96457570618	4.52738884300592e-15	1.33557970868675e-11	"sCs"	"D2vsD0"	"ENSMUSG00000067818"
5.4044308732487	5.65924719181737	742.370209701303	6.04611965032962e-15	1.4863377473727e-11	"sCs"	"D2vsD0"	"ENSMUSG00000002055"
4.83841915735191	4.72242368716091	704.969044479196	9.10460085332768e-15	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000046591"
4.29879260726116	6.90320655421405	697.63196242605	9.89051002296976e-15	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000033952"
3.54935118560916	7.37083749613352	679.945984076209	1.21182197619116e-14	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000026355"
5.08154677230695	6.95162384510864	675.833271066078	1.27137938878228e-14	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000027715"
5.28903827014143	5.90599812296108	670.326222751686	1.35634663991128e-14	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000040204"
3.29345606089299	6.42653471790046	663.145008516945	1.47689065339122e-14	1.81534476146004e-11	"sCs"	"D2vsD0"	"ENSMUSG00000040010"
5.59018907263052	5.18187741938679	646.335102612647	1.80908841499682e-14	1.82283518170346e-11	"sCs"	"D2vsD0"	"ENSMUSG00000022438"
3.29254552262069	7.06478231433203	637.674111397996	2.01249814312274e-14	1.82283518170346e-11	"sCs"	"D2vsD0"	"ENSMUSG00000038252"
5.25155561272055	6.28011130969827	633.152336968084	2.12882436546798e-14	1.82283518170346e-11	"sCs"	"D2vsD0"	"ENSMUSG00000037474"
2.76597545472863	7.01292839759556	729.552077065746	6.94062614371886e-15	1.02374235619853e-10	"sCs"	"D4vsD2"	"ENSMUSG00000040852"
3.38777275096692	5.4211336436029	541.795012431789	7.2684241296563e-14	5.36046279562152e-10	"sCs"	"D4vsD2"	"ENSMUSG00000020836"
5.95434518828703	3.78565899913483	480.166843569854	1.87573834806535e-13	9.22238021132131e-10	"sCs"	"D4vsD2"	"ENSMUSG00000051243"
4.20762375913653	6.24985380483348	437.031954877195	3.91800819797767e-13	1.31189694290871e-09	"sCs"	"D4vsD2"	"ENSMUSG00000057378"
3.76086183051973	6.15814740119149	423.793651753325	4.98181102293048e-13	1.31189694290871e-09	"sCs"	"D4vsD2"	"ENSMUSG00000007682"
4.68285096363222	8.00350571357647	412.588483925496	6.14010439534351e-13	1.31189694290871e-09	"sCs"	"D4vsD2"	"ENSMUSG00000037206"
3.78933480133069	6.61073289961187	411.854469688373	6.22595159346507e-13	1.31189694290871e-09	"sCs"	"D4vsD2"	"ENSMUSG00000027230"
3.14844654389411	5.54335752936537	380.048511112304	1.16404243981884e-12	2.14620324841598e-09	"sCs"	"D4vsD2"	"ENSMUSG00000041144"
4.25854369018345	5.92495751809215	344.495956543838	2.49417360983746e-12	4.08767341612251e-09	"sCs"	"D4vsD2"	"ENSMUSG00000052854"
4.62075803665554	5.85384999767094	337.297875669202	2.93700968846498e-12	4.33208929048584e-09	"sCs"	"D4vsD2"	"ENSMUSG00000025993"
4.92763552401424	5.55547950774334	331.296763595706	3.37441002204082e-12	4.52477707500928e-09	"sCs"	"D4vsD2"	"ENSMUSG00000043719"
-2.93481758715862	7.2799503963039	325.972238748264	3.82448977277149e-12	4.70093534569829e-09	"sCs"	"D4vsD2"	"ENSMUSG00000015766"
-3.84654100341164	6.16402281642204	318.619331207459	4.56116094431202e-12	5.17516337912325e-09	"sCs"	"D4vsD2"	"ENSMUSG00000020598"
-3.11215832880431	7.28278356664384	308.867110706101	5.79671640843407e-12	5.79732537289675e-09	"sCs"	"D4vsD2"	"ENSMUSG00000070348"
2.79773659948177	5.9200643237038	308.189936677525	5.89558512497974e-12	5.79732537289675e-09	"sCs"	"D4vsD2"	"ENSMUSG00000054770"
2.46241897619155	7.80985085831988	306.007832872784	6.22730049431276e-12	6.8434360530085e-08	"sCs"	"D7vsD4"	"ENSMUSG00000067586"
3.05637118535652	5.25326679714207	290.546994982986	9.27923532611322e-12	6.8434360530085e-08	"sCs"	"D7vsD4"	"ENSMUSG00000022449"
2.06169804870288	7.41315978667265	218.695316648138	8.09341429920899e-11	3.22293600840794e-07	"sCs"	"D7vsD4"	"ENSMUSG00000034842"
2.31623176322843	8.13079457695141	216.48183892681	8.74016544653001e-11	3.22293600840794e-07	"sCs"	"D7vsD4"	"ENSMUSG00000028339"
2.0544157945066	5.69247330912087	204.549554451426	1.34025584528641e-10	3.95375474359491e-07	"sCs"	"D7vsD4"	"ENSMUSG00000040723"
1.9972571135295	8.50192324624544	199.10370665566	1.64173565812293e-10	4.03593349288555e-07	"sCs"	"D7vsD4"	"ENSMUSG00000041741"
1.87778096921579	7.8754775507618	190.984509091281	2.24348456400415e-10	4.58143188271478e-07	"sCs"	"D7vsD4"	"ENSMUSG00000051331"
1.78912553869669	7.65113356736205	185.469688034506	2.79332924145091e-10	4.58143188271478e-07	"sCs"	"D7vsD4"	"ENSMUSG00000026748"
2.37905985117947	6.53134133683089	185.45085339037	2.79544996233444e-10	4.58143188271478e-07	"sCs"	"D7vsD4"	"ENSMUSG00000042834"
2.28322262647101	8.74476223280968	181.728515340027	3.25241149944895e-10	4.79730696168719e-07	"sCs"	"D7vsD4"	"ENSMUSG00000045103"
-2.10518840835223	6.11035162253634	173.744205437072	4.54508607172305e-10	5.90264488779821e-07	"sCs"	"D7vsD4"	"ENSMUSG00000025789"
2.48714763627303	5.96341851030718	172.462912457616	4.80215177312396e-10	5.90264488779821e-07	"sCs"	"D7vsD4"	"ENSMUSG00000020788"
1.39226797872563	7.78366226010429	166.148970150171	6.33307965243652e-10	6.91178762761936e-07	"sCs"	"D7vsD4"	"ENSMUSG00000021745"
3.18515998596676	4.32114114938491	165.359954400296	6.56034079909634e-10	6.91178762761936e-07	"sCs"	"D7vsD4"	"ENSMUSG00000074971"
-4.45998402213436	8.56687115812663	162.531310234981	7.45373447836845e-10	7.32950557039564e-07	"sCs"	"D7vsD4"	"ENSMUSG00000029304"
