"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"type"	"contrast"	"ensemblid"
6.08220041009856	7.0241524078744	1504.29800348634	7.25055447026067e-15	8.06087712418911e-11	"sCs"	"D2vsD0"	"ENSMUSG00000069310"
6.22141839563213	5.83988207153762	1415.63557336751	1.07421070418298e-14	8.06087712418911e-11	"sCs"	"D2vsD0"	"ENSMUSG00000099583"
7.22452371033216	6.81111243646586	1315.76678566283	1.72412605295145e-14	8.62522793423179e-11	"sCs"	"D2vsD0"	"ENSMUSG00000101972"
8.58808232848802	5.91636671430302	1083.81365415633	6.03351650373461e-14	2.26377539220122e-10	"sCs"	"D2vsD0"	"ENSMUSG00000056758"
4.81007687817672	6.40272164561605	969.567258917938	1.23742162341559e-13	3.71424474484425e-10	"sCs"	"D2vsD0"	"ENSMUSG00000033952"
7.13942933334217	6.36169968013933	931.829766265338	1.59806147949448e-13	3.99728444737552e-10	"sCs"	"D2vsD0"	"ENSMUSG00000058773"
5.25745697522322	6.38903000049736	879.899659591668	2.31169490927888e-13	4.67931267765418e-10	"sCs"	"D2vsD0"	"ENSMUSG00000027326"
5.76819147257748	6.31935978400781	869.565547479742	2.49430313307792e-13	4.67931267765418e-10	"sCs"	"D2vsD0"	"ENSMUSG00000075031"
5.32995122563214	9.27967982488849	784.126836639488	4.8502409005706e-13	6.5370456134755e-10	"sCs"	"D2vsD0"	"ENSMUSG00000031004"
5.52136823638686	4.93338616624495	780.341160243957	5.00342368391992e-13	6.5370456134755e-10	"sCs"	"D2vsD0"	"ENSMUSG00000069306"
5.47856190179658	6.41021505547937	771.996223459097	5.36122383924314e-13	6.5370456134755e-10	"sCs"	"D2vsD0"	"ENSMUSG00000012443"
6.48782806072731	5.11218502444043	765.864276455219	5.64299897387701e-13	6.5370456134755e-10	"sCs"	"D2vsD0"	"ENSMUSG00000114279"
4.68725058614631	6.65085122503618	765.454717503687	5.66241957457233e-13	6.5370456134755e-10	"sCs"	"D2vsD0"	"ENSMUSG00000024803"
5.77644748975921	4.95188497474335	751.050631089561	6.39711291474147e-13	6.85770504460285e-10	"sCs"	"D2vsD0"	"ENSMUSG00000101355"
6.0928597223587	8.12953629950114	733.842708792869	7.42345238312978e-13	7.12043319654615e-10	"sCs"	"D2vsD0"	"ENSMUSG00000020914"
-2.4346460632564	7.9464241862336	409.745961807304	3.05962739136378e-11	3.12588219716179e-07	"sCs"	"D4vsD2"	"ENSMUSG00000038530"
-2.81110428994161	9.88754386186963	378.614958161796	5.04517711091082e-11	3.12588219716179e-07	"sCs"	"D4vsD2"	"ENSMUSG00000024620"
-2.94566341148054	7.37922230084661	352.064126272807	7.98484029775061e-11	3.12588219716179e-07	"sCs"	"D4vsD2"	"ENSMUSG00000024112"
-3.31198482449581	7.36722524188123	349.701271369384	8.33124252974892e-11	3.12588219716179e-07	"sCs"	"D4vsD2"	"ENSMUSG00000023032"
-2.30821451851625	8.26668462899673	294.359175621434	2.46072703412042e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000026483"
-1.9310671722538	7.43941122572136	288.193319794296	2.80962854258986e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000045636"
