"symbol"	"whichMAX"
"1"	"0610012G03Rik"	"ECs"
"2"	"0610040J01Rik"	"ECs"
"3"	"1110002E22Rik"	"sCs"
"4"	"1110017D15Rik"	"FAPs"
"5"	"1110032A03Rik"	"FAPs"
"6"	"1190007I07Rik"	"sCs"
"7"	"1500009L16Rik"	"FAPs"
"8"	"1700003E16Rik"	"FAPs"
"9"	"1700003F12Rik"	"sCs"
"10"	"1700007K13Rik"	"sCs"
"11"	"1700013F07Rik"	"FAPs"
"12"	"1700014D04Rik"	"ECs"
"13"	"1700017B05Rik"	"ECs"
"14"	"1700019D03Rik"	"FAPs"
"15"	"1700022I11Rik"	"FAPs"
"16"	"1700025G04Rik"	"FAPs"
"17"	"1700029H14Rik"	"sCs"
"18"	"1700029I15Rik"	"sCs"
"19"	"1700029J07Rik"	"sCs"
"20"	"1700034I23Rik"	"FAPs"
"21"	"1700034J05Rik"	"sCs"
"22"	"1700037C18Rik"	"FAPs"
"23"	"1700037H04Rik"	"ECs"
"24"	"1700064H15Rik"	"FAPs"
"25"	"1700086D15Rik"	"sCs"
"26"	"1700088E04Rik"	"sCs"
"27"	"1700094D03Rik"	"FAPs"
"28"	"1810010H24Rik"	"sCs"
"29"	"1810024B03Rik"	"FAPs"
"30"	"1810055G02Rik"	"FAPs"
"31"	"1810062G17Rik"	"FAPs"
"32"	"2010315B03Rik"	"FAPs"
"33"	"2200002D01Rik"	"FAPs"
"34"	"2210407C18Rik"	"sCs"
"35"	"2210408I21Rik"	"FAPs"
"36"	"2210418O10Rik"	"FAPs"
"37"	"2310011J03Rik"	"FAPs"
"38"	"2310030G06Rik"	"sCs"
"39"	"2410004P03Rik"	"FAPs"
"40"	"2510002D24Rik"	"FAPs"
"41"	"2510009E07Rik"	"FAPs"
"42"	"2610008E11Rik"	"FAPs"
"43"	"2610301B20Rik"	"FAPs"
"44"	"2700081O15Rik"	"FAPs"
"45"	"2810021J22Rik"	"FAPs"
"46"	"2810408A11Rik"	"ECs"
"47"	"3110001I22Rik"	"ECs"
"48"	"3110009E18Rik"	"FAPs"
"49"	"3110082I17Rik"	"ECs"
"50"	"3300002I08Rik"	"FAPs"
"51"	"3830406C13Rik"	"FAPs"
"52"	"4430402I18Rik"	"sCs"
"53"	"4921507P07Rik"	"ECs"
"54"	"4921536K21Rik"	"sCs"
"55"	"4930404N11Rik"	"sCs"
"56"	"4930415O20Rik"	"sCs"
"57"	"4930430F08Rik"	"sCs"
"58"	"4930447A16Rik"	"sCs"
"59"	"4930447C04Rik"	"FAPs"
"60"	"4930469K13Rik"	"ECs"
"61"	"4930522L14Rik"	"FAPs"
"62"	"4930550C14Rik"	"sCs"
"63"	"4930563E22Rik"	"ECs"
"64"	"4930578G10Rik"	"FAPs"
"65"	"4930579G24Rik"	"sCs"
"66"	"4930595D18Rik"	"ECs"
"67"	"4931422A03Rik"	"FAPs"
"68"	"4933400A11Rik"	"FAPs"
"69"	"4933407L21Rik"	"ECs"
"70"	"4933434E20Rik"	"ECs"
"71"	"5730409E04Rik"	"FAPs"
"72"	"6330403K07Rik"	"FAPs"
"73"	"6330409D20Rik"	"ECs"
"74"	"6430550D23Rik"	"sCs"
"75"	"6720489N17Rik"	"sCs"
"76"	"9030624G23Rik"	"sCs"
"77"	"9130008F23Rik"	"FAPs"
"78"	"9130023H24Rik"	"ECs"
"79"	"9130230L23Rik"	"ECs"
"80"	"9330159F19Rik"	"FAPs"
"81"	"9430015G10Rik"	"sCs"
"82"	"9430069I07Rik"	"sCs"
"83"	"9530077C05Rik"	"FAPs"
"84"	"9930012K11Rik"	"FAPs"
"85"	"9930111J21Rik1"	"ECs"
"86"	"9930111J21Rik2"	"ECs"
"87"	"A030005L19Rik"	"FAPs"
"88"	"A030014E15Rik"	"FAPs"
"89"	"A130010J15Rik"	"sCs"
"90"	"A430033K04Rik"	"FAPs"
"91"	"A4galt"	"FAPs"
"92"	"A530032D15Rik"	"ECs"
"93"	"A630001G21Rik"	"ECs"
"94"	"A630089N07Rik"	"sCs"
"95"	"A630095N17Rik"	"FAPs"
"96"	"A730049H05Rik"	"sCs"
"97"	"A930007A09Rik"	"FAPs"
"98"	"AA467197"	"ECs"
"99"	"AA986860"	"FAPs"
"100"	"Aanat"	"ECs"
"101"	"Aars2"	"sCs"
"102"	"Aarsd1"	"sCs"
"103"	"Aass"	"FAPs"
"104"	"AB124611"	"ECs"
"105"	"Abat"	"FAPs"
"106"	"Abca2"	"FAPs"
"107"	"Abca3"	"ECs"
"108"	"Abca6"	"FAPs"
"109"	"Abca7"	"ECs"
"110"	"Abca8a"	"FAPs"
"111"	"Abca8b"	"FAPs"
"112"	"Abca9"	"FAPs"
"113"	"Abcb1a"	"ECs"
"114"	"Abcb6"	"FAPs"
"115"	"Abcc2"	"FAPs"
"116"	"Abcc3"	"ECs"
"117"	"Abcc4"	"ECs"
"118"	"Abcc8"	"sCs"
"119"	"Abcc9"	"sCs"
"120"	"Abcd2"	"FAPs"
"121"	"Abcd3"	"FAPs"
"122"	"Abcg1"	"ECs"
"123"	"Abcg3"	"ECs"
"124"	"Abcg4"	"FAPs"
"125"	"Abhd14a"	"FAPs"
"126"	"Abhd14b"	"FAPs"
"127"	"Abhd15"	"ECs"
"128"	"Abhd16b"	"FAPs"
"129"	"Abhd18"	"FAPs"
"130"	"Abhd3"	"FAPs"
"131"	"Abhd6"	"sCs"
"132"	"Abhd8"	"FAPs"
"133"	"Abi3"	"ECs"
"134"	"Abi3bp"	"FAPs"
"135"	"Ablim1"	"FAPs"
"136"	"Ablim2"	"sCs"
"137"	"Ablim3"	"ECs"
"138"	"Abt1"	"sCs"
"139"	"Abtb1"	"ECs"
"140"	"AC087559.2"	"FAPs"
"141"	"AC133103.4"	"ECs"
"142"	"AC133103.5"	"ECs"
"143"	"AC147806.2"	"ECs"
"144"	"AC159819.1"	"sCs"
"145"	"AC168977.1"	"ECs"
"146"	"AC168977.2"	"ECs"
"147"	"Acacb"	"FAPs"
"148"	"Acad10"	"FAPs"
"149"	"Acad12"	"ECs"
"150"	"Acad8"	"FAPs"
"151"	"Acadsb"	"FAPs"
"152"	"Acan"	"sCs"
"153"	"Acap1"	"ECs"
"154"	"Acbd4"	"FAPs"
"155"	"Accs"	"FAPs"
"156"	"Ace"	"FAPs"
"157"	"Ace2"	"sCs"
"158"	"Ace3"	"FAPs"
"159"	"Acer2"	"sCs"
"160"	"Acer3"	"ECs"
"161"	"Ache"	"sCs"
"162"	"Ackr1"	"FAPs"
"163"	"Ackr2"	"FAPs"
"164"	"Ackr3"	"FAPs"
"165"	"Ackr4"	"FAPs"
"166"	"Acot11"	"FAPs"
"167"	"Acot6"	"FAPs"
"168"	"Acp4"	"FAPs"
"169"	"Acp5"	"FAPs"
"170"	"Acrbp"	"ECs"
"171"	"Acsbg1"	"FAPs"
"172"	"Acsbg3"	"FAPs"
"173"	"Acsf3"	"sCs"
"174"	"Acsl1"	"ECs"
"175"	"Acsl3"	"sCs"
"176"	"Acsm3"	"FAPs"
"177"	"Acss1"	"ECs"
"178"	"Acss2"	"FAPs"
"179"	"Acss3"	"FAPs"
"180"	"Acta1"	"sCs"
"181"	"Acta2"	"sCs"
"182"	"Actc1"	"sCs"
"183"	"Actg2"	"sCs"
"184"	"Actl10"	"FAPs"
"185"	"Actl11"	"FAPs"
"186"	"Actl7a"	"FAPs"
"187"	"Actn2"	"sCs"
"188"	"Actn3"	"sCs"
"189"	"Actr3b"	"FAPs"
"190"	"Acvr2b"	"FAPs"
"191"	"Acvrl1"	"FAPs"
"192"	"Acy1"	"FAPs"
"193"	"Acyp1"	"sCs"
"194"	"Adam11"	"sCs"
"195"	"Adam12"	"FAPs"
"196"	"Adam15"	"ECs"
"197"	"Adam19"	"FAPs"
"198"	"Adam23"	"FAPs"
"199"	"Adam30"	"FAPs"
"200"	"Adam33"	"FAPs"
"201"	"Adam5"	"FAPs"
"202"	"Adam8"	"ECs"
"203"	"Adamts10"	"FAPs"
"204"	"Adamts12"	"FAPs"
"205"	"Adamts14"	"sCs"
"206"	"Adamts15"	"FAPs"
"207"	"Adamts16"	"FAPs"
"208"	"Adamts2"	"FAPs"
"209"	"Adamts20"	"sCs"
"210"	"Adamts3"	"FAPs"
"211"	"Adamts4"	"sCs"
"212"	"Adamts5"	"FAPs"
"213"	"Adamts6"	"FAPs"
"214"	"Adamts8"	"sCs"
"215"	"Adamtsl1"	"FAPs"
"216"	"Adamtsl2"	"FAPs"
"217"	"Adamtsl3"	"FAPs"
"218"	"Adamtsl5"	"FAPs"
"219"	"Adap1"	"FAPs"
"220"	"Adap2"	"sCs"
"221"	"Adar"	"ECs"
"222"	"Adck2"	"FAPs"
"223"	"Adcy10"	"FAPs"
"224"	"Adcy2"	"sCs"
"225"	"Adcy3"	"sCs"
"226"	"Adcy4"	"ECs"
"227"	"Adcy5"	"FAPs"
"228"	"Adcy6"	"sCs"
"229"	"Adcy7"	"FAPs"
"230"	"Adcyap1r1"	"FAPs"
"231"	"Add2"	"FAPs"
"232"	"Add3"	"FAPs"
"233"	"Adgra1"	"FAPs"
"234"	"Adgra2"	"FAPs"
"235"	"Adgra3"	"sCs"
"236"	"Adgrb2"	"FAPs"
"237"	"Adgrd1"	"FAPs"
"238"	"Adgrf5"	"ECs"
"239"	"Adgrg1"	"ECs"
"240"	"Adgrg2"	"FAPs"
"241"	"Adgrg3"	"ECs"
"242"	"Adgrg6"	"sCs"
"243"	"Adgrl1"	"FAPs"
"244"	"Adgrl3"	"sCs"
"245"	"Adgrl4"	"ECs"
"246"	"Adh1"	"FAPs"
"247"	"Adh7"	"FAPs"
"248"	"Adhfe1"	"ECs"
"249"	"Adig"	"FAPs"
"250"	"Adipor1"	"ECs"
"251"	"Adipor2"	"ECs"
"252"	"Adk"	"FAPs"
"253"	"Adm"	"FAPs"
"254"	"Adora2a"	"sCs"
"255"	"Adora2b"	"sCs"
"256"	"Adra1a"	"sCs"
"257"	"Adra1d"	"sCs"
"258"	"Adra2a"	"sCs"
"259"	"Adra2b"	"ECs"
"260"	"Adrb1"	"sCs"
"261"	"Adrb2"	"ECs"
"262"	"Adssl1"	"sCs"
"263"	"Aebp1"	"FAPs"
"264"	"Aen"	"sCs"
"265"	"Afap1l1"	"ECs"
"266"	"Afap1l2"	"sCs"
"267"	"Afdn"	"ECs"
"268"	"Aff2"	"FAPs"
"269"	"Aff3"	"FAPs"
"270"	"Afmid"	"FAPs"
"271"	"Aga"	"FAPs"
"272"	"Agap2"	"sCs"
"273"	"Agbl3"	"FAPs"
"274"	"Ager"	"ECs"
"275"	"Agfg2"	"FAPs"
"276"	"Agmo"	"FAPs"
