"symbol"	"whichMAX"
"1"	"0610012G03Rik"	"M2"
"2"	"0610030E20Rik"	"Neutro"
"3"	"0610040J01Rik"	"Neutro"
"4"	"1110002E22Rik"	"sCs"
"5"	"1110008P14Rik"	"Neutro"
"6"	"1110012L19Rik"	"FAPs"
"7"	"1110017D15Rik"	"ECs"
"8"	"1110032A03Rik"	"M2"
"9"	"1110032F04Rik"	"sCs"
"10"	"1110059G10Rik"	"M2"
"11"	"1110065P20Rik"	"FAPs"
"12"	"1190005I06Rik"	"FAPs"
"13"	"1190007I07Rik"	"sCs"
"14"	"1300017J02Rik"	"FAPs"
"15"	"1500009L16Rik"	"FAPs"
"16"	"1500011B03Rik"	"FAPs"
"17"	"1600014C10Rik"	"Neutro"
"18"	"1700001L19Rik"	"sCs"
"19"	"1700001O22Rik"	"ECs"
"20"	"1700001P01Rik"	"sCs"
"21"	"1700003E16Rik"	"sCs"
"22"	"1700003F12Rik"	"FAPs"
"23"	"1700007K13Rik"	"sCs"
"24"	"1700010I14Rik"	"M2"
"25"	"1700013F07Rik"	"sCs"
"26"	"1700014D04Rik"	"sCs"
"27"	"1700016C15Rik"	"sCs"
"28"	"1700017B05Rik"	"Neutro"
"29"	"1700019A02Rik"	"sCs"
"30"	"1700019D03Rik"	"FAPs"
"31"	"1700022I11Rik"	"FAPs"
"32"	"1700025B11Rik"	"Neutro"
"33"	"1700028J19Rik"	"sCs"
"34"	"1700028K03Rik"	"M2"
"35"	"1700029H14Rik"	"Neutro"
"36"	"1700029I15Rik"	"FAPs"
"37"	"1700029J07Rik"	"sCs"
"38"	"1700029P11Rik"	"ECs"
"39"	"1700030J22Rik"	"M1"
"40"	"1700030K09Rik"	"sCs"
"41"	"1700034I23Rik"	"ECs"
"42"	"1700034J05Rik"	"ECs"
"43"	"1700037C18Rik"	"Neutro"
"44"	"1700037H04Rik"	"ECs"
"45"	"1700056E22Rik"	"M2"
"46"	"1700057G04Rik"	"ECs"
"47"	"1700064H15Rik"	"FAPs"
"48"	"1700066B19Rik"	"ECs"
"49"	"1700066M21Rik"	"FAPs"
"50"	"1700067K01Rik"	"FAPs"
"51"	"1700086D15Rik"	"sCs"
"52"	"1700088E04Rik"	"sCs"
"53"	"1700092M07Rik"	"FAPs"
"54"	"1700093K21Rik"	"FAPs"
"55"	"1700094D03Rik"	"Neutro"
"56"	"1700102P08Rik"	"Neutro"
"57"	"1700109H08Rik"	"Neutro"
"58"	"1700125H20Rik"	"FAPs"
"59"	"1810009A15Rik"	"Neutro"
"60"	"1810010H24Rik"	"Neutro"
"61"	"1810024B03Rik"	"M2"
"62"	"1810055G02Rik"	"FAPs"
"63"	"1810058I24Rik"	"Neutro"
"64"	"1810062G17Rik"	"FAPs"
"65"	"2010109A12Rik"	"Neutro"
"66"	"2010300C02Rik"	"ECs"
"67"	"2010315B03Rik"	"M2"
"68"	"2200002D01Rik"	"ECs"
"69"	"2210408I21Rik"	"FAPs"
"70"	"2210418O10Rik"	"FAPs"
"71"	"2310009B15Rik"	"FAPs"
"72"	"2310011J03Rik"	"Neutro"
"73"	"2310022A10Rik"	"M1"
