"symbol"	"whichMAX"
"1"	"0610012G03Rik"	"M1"
"2"	"0610040J01Rik"	"M2"
"3"	"1110002E22Rik"	"sCs"
"4"	"1110012L19Rik"	"FAPs"
"5"	"1110017D15Rik"	"ECs"
"6"	"1110032F04Rik"	"ECs"
"7"	"1110038F14Rik"	"ECs"
"8"	"1110065P20Rik"	"FAPs"
"9"	"1190005I06Rik"	"FAPs"
"10"	"1190007I07Rik"	"FAPs"
"11"	"1500009L16Rik"	"FAPs"
"12"	"1500011B03Rik"	"FAPs"
"13"	"1600014C10Rik"	"M2"
"14"	"1700001K19Rik"	"FAPs"
"15"	"1700001O22Rik"	"sCs"
"16"	"1700001P01Rik"	"FAPs"
"17"	"1700003E16Rik"	"FAPs"
"18"	"1700003F12Rik"	"FAPs"
"19"	"1700008O03Rik"	"FAPs"
"20"	"1700010I14Rik"	"M1"
"21"	"1700012B09Rik"	"sCs"
"22"	"1700013F07Rik"	"FAPs"
"23"	"1700014D04Rik"	"ECs"
"24"	"1700016C15Rik"	"M1"
"25"	"1700017B05Rik"	"M1"
"26"	"1700019N19Rik"	"sCs"
"27"	"1700020D05Rik"	"ECs"
"28"	"1700022I11Rik"	"FAPs"
"29"	"1700025G04Rik"	"FAPs"
"30"	"1700028J19Rik"	"FAPs"
"31"	"1700028K03Rik"	"sCs"
"32"	"1700029H14Rik"	"FAPs"
"33"	"1700029I15Rik"	"FAPs"
"34"	"1700029J07Rik"	"FAPs"
"35"	"1700029P11Rik"	"FAPs"
"36"	"1700030J22Rik"	"M2"
"37"	"1700030K09Rik"	"FAPs"
"38"	"1700034I23Rik"	"ECs"
"39"	"1700034J05Rik"	"ECs"
"40"	"1700037C18Rik"	"M1"
"41"	"1700056E22Rik"	"sCs"
"42"	"1700064H15Rik"	"FAPs"
"43"	"1700066B19Rik"	"ECs"
"44"	"1700066M21Rik"	"M1"
"45"	"1700067K01Rik"	"FAPs"
"46"	"1700086D15Rik"	"sCs"
"47"	"1700088E04Rik"	"ECs"
"48"	"1700092M07Rik"	"M1"
"49"	"1700093K21Rik"	"FAPs"
"50"	"1700094D03Rik"	"ECs"
"51"	"1700123O20Rik"	"M1"
"52"	"1700125H20Rik"	"FAPs"
"53"	"1810009A15Rik"	"M1"
"54"	"1810010H24Rik"	"M1"
