"symbol"	"whichMAX"
"149"	"A930002H24Rik"	"sCs"
"150"	"A930003A15Rik"	"sCs"
"151"	"A930007A09Rik"	"FAPs"
"152"	"A930033H14Rik"	"sCs"
"153"	"AA467197"	"ECs"
"154"	"Aacs"	"FAPs"
"155"	"Aamdc"	"sCs"
"156"	"Aanat"	"ECs"
"157"	"Aars2"	"sCs"
"158"	"Aarsd1"	"sCs"
"159"	"Aasdh"	"sCs"
"160"	"Aass"	"FAPs"
"161"	"AB124611"	"M2"
"162"	"Abat"	"FAPs"
"163"	"Abca2"	"FAPs"
"164"	"Abca3"	"ECs"
"165"	"Abca4"	"FAPs"
"166"	"Abca5"	"sCs"
"167"	"Abca6"	"FAPs"
"168"	"Abca7"	"ECs"
"169"	"Abca8a"	"FAPs"
"170"	"Abca8b"	"FAPs"
"171"	"Abca9"	"FAPs"
"172"	"Abcb1a"	"ECs"
"173"	"Abcb1b"	"M2"
"174"	"Abcb4"	"ECs"
"175"	"Abcb6"	"sCs"
"176"	"Abcb9"	"ECs"
"177"	"Abcc2"	"FAPs"
"178"	"Abcc3"	"M2"
"179"	"Abcc4"	"ECs"
"180"	"Abcc8"	"sCs"
"181"	"Abcc9"	"sCs"
"182"	"Abcd1"	"M2"
"183"	"Abcd2"	"M2"
"184"	"Abcg1"	"M2"
"185"	"Abcg3"	"M2"
"186"	"Abcg4"	"FAPs"
"187"	"Abhd10"	"FAPs"
"188"	"Abhd12"	"M2"
"189"	"Abhd14a"	"FAPs"
"190"	"Abhd14b"	"FAPs"
"191"	"Abhd15"	"M2"
"192"	"Abhd16b"	"FAPs"
"193"	"Abhd3"	"FAPs"
"194"	"Abhd6"	"FAPs"
"195"	"Abhd8"	"FAPs"
"196"	"Abi3"	"ECs"
"197"	"Abi3bp"	"FAPs"
"198"	"Ablim1"	"FAPs"
"199"	"Ablim2"	"sCs"
"200"	"Ablim3"	"ECs"
"201"	"Abra"	"sCs"
"202"	"Abraxas1"	"sCs"
"203"	"Abt1"	"sCs"
"204"	"Abtb1"	"ECs"
"205"	"AC125149.1"	"M2"
"206"	"AC125149.2"	"M2"
"207"	"AC125149.3"	"M2"
"208"	"AC125149.5"	"M2"
"209"	"AC132444.1"	"M2"
"210"	"AC132444.2"	"M2"
"211"	"AC132444.3"	"M2"
"212"	"AC132444.5"	"M2"
"213"	"AC133103.1"	"M2"
"214"	"AC133103.3"	"M2"
"215"	"AC133103.4"	"M2"
"216"	"AC133103.5"	"M2"
"217"	"AC133103.6"	"M2"
"218"	"AC133103.7"	"M2"
"219"	"AC147806.1"	"M2"
"220"	"AC147806.2"	"M2"
"221"	"AC167036.1"	"M2"
"222"	"AC167036.2"	"M2"
"223"	"AC168977.1"	"M2"
"224"	"AC168977.2"	"M2"
"225"	"Acaa1b"	"sCs"
"226"	"Acacb"	"sCs"
"227"	"Acad11"	"FAPs"
"228"	"Acad12"	"ECs"
"229"	"Acad8"	"FAPs"
"230"	"Acadsb"	"FAPs"
"231"	"Acan"	"FAPs"
"232"	"Acap1"	"ECs"
"233"	"Acap3"	"FAPs"
"234"	"Acat2"	"FAPs"
"235"	"Acat3"	"FAPs"
"236"	"Acbd4"	"FAPs"
"237"	"Accs"	"FAPs"
"238"	"Ace"	"FAPs"
"239"	"Ace3"	"FAPs"
"240"	"Acer2"	"sCs"
"241"	"Acer3"	"M2"
"242"	"Ache"	"sCs"
"243"	"Ackr1"	"ECs"
"244"	"Ackr3"	"FAPs"
"245"	"Ackr4"	"FAPs"
"246"	"Acod1"	"M2"
"247"	"Acot1"	"sCs"
"248"	"Acot11"	"FAPs"
"249"	"Acot12"	"FAPs"
"250"	"Acot6"	"FAPs"
"251"	"Acot7"	"sCs"
"252"	"Acp2"	"M2"
"253"	"Acp4"	"FAPs"
"254"	"Acp5"	"M2"
"255"	"Acpp"	"M2"
"256"	"Acr"	"ECs"
"257"	"Acsbg1"	"sCs"
"258"	"Acsbg3"	"sCs"
"259"	"Acsf3"	"sCs"
"260"	"Acsl1"	"ECs"
"261"	"Acsl3"	"sCs"
"262"	"Acsl6"	"sCs"
"263"	"Acss1"	"M2"
"264"	"Acss3"	"sCs"
"265"	"Acta1"	"sCs"
"266"	"Acta2"	"sCs"
"267"	"Actc1"	"sCs"
"268"	"Actg2"	"sCs"
"269"	"Actl10"	"FAPs"
"270"	"Actl11"	"FAPs"
"271"	"Actl6b"	"FAPs"
"272"	"Actl7a"	"FAPs"
"273"	"Actl7b"	"FAPs"
"274"	"Actn2"	"sCs"
"275"	"Actn3"	"sCs"
"276"	"Actr3b"	"sCs"
"277"	"Acvr1"	"FAPs"
"278"	"Acvr2a"	"FAPs"
"279"	"Acvr2b"	"sCs"
"280"	"Acvrl1"	"FAPs"
"281"	"Acy1"	"sCs"
"282"	"Acy3"	"FAPs"
"283"	"Acyp1"	"sCs"
"284"	"Acyp2"	"sCs"
"285"	"Adal"	"sCs"
"286"	"Adam11"	"sCs"
"287"	"Adam12"	"FAPs"
"288"	"Adam15"	"ECs"
"289"	"Adam18"	"sCs"
"290"	"Adam19"	"FAPs"
"291"	"Adam1b"	"FAPs"
"292"	"Adam22"	"FAPs"
"293"	"Adam23"	"FAPs"
"294"	"Adam30"	"FAPs"
"295"	"Adam32"	"FAPs"
"296"	"Adam33"	"FAPs"
"297"	"Adam4"	"sCs"
"298"	"Adam5"	"FAPs"
"299"	"Adam8"	"M2"
"300"	"Adamdec1"	"M2"
"301"	"Adamts1"	"FAPs"
"302"	"Adamts10"	"FAPs"
"303"	"Adamts12"	"FAPs"
"304"	"Adamts14"	"FAPs"
"305"	"Adamts15"	"FAPs"
"306"	"Adamts16"	"FAPs"
"307"	"Adamts17"	"FAPs"
"308"	"Adamts18"	"ECs"
