Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),Resolving-Mac (3 cells),6566612.126197342,71.18012493560983,814,8067.091064124498,0.0874448709282676
FAPs (3 cells),Inflammatory-Mac (3 cells),5028767.384534033,60.143633584567255,799,6293.826513809803,0.07527363402323811
FAPs (3 cells),ECs (3 cells),4733637.623368194,96.40084305773868,934,5068.134500394212,0.10321289406610137
FAPs (3 cells),FAPs (3 cells),3915378.7694955803,126.71991918804636,945,4143.25795713818,0.13409515257994323
Resolving-Mac (3 cells),Resolving-Mac (3 cells),3321988.981688271,43.55919276492132,618,5375.386701760956,0.07048413068757495
FAPs (3 cells),MuSCs (2 cells),3295035.998884353,109.47273129271336,972,3389.954731362503,0.11262626676205079
Resolving-Mac (3 cells),Inflammatory-Mac (3 cells),2890306.854400719,36.29962107948938,601,4809.162819302361,0.06039870395921693
Inflammatory-Mac (3 cells),Resolving-Mac (3 cells),2860599.13741187,40.29064476581077,655,4367.326927346367,0.061512434756963004
Inflammatory-Mac (3 cells),Inflammatory-Mac (3 cells),2455012.4468584657,36.68085497710468,643,3818.0597929369605,0.057046430757550046
Resolving-Mac (3 cells),FAPs (3 cells),2217581.641944078,38.209864304853134,621,3570.984930666792,0.061529572149521955
Inflammatory-Mac (3 cells),FAPs (3 cells),2014222.5092799687,37.66853501595482,673,2992.901202496239,0.05597107728968026
Resolving-Mac (3 cells),ECs (3 cells),1812662.3794092645,28.255399444242972,635,2854.5864242665584,0.04449669203817791
Resolving-Mac (3 cells),MuSCs (2 cells),1353568.8162782772,28.686574884920308,632,2141.722810566894,0.04539015013436758
Inflammatory-Mac (3 cells),ECs (3 cells),1315107.8103834228,25.775869999051015,692,1900.4448126928075,0.03724836705065176
MuSCs (2 cells),Resolving-Mac (3 cells),1155040.8086782729,29.406390418159333,710,1626.8180403919337,0.04141745129318216
Inflammatory-Mac (3 cells),MuSCs (2 cells),1105570.6282305561,28.33822140924812,686,1611.618991589732,0.04130936065488064
ECs (3 cells),Resolving-Mac (3 cells),1099876.5852472386,28.483785777306245,722,1523.37477181058,0.0394512268383743
MuSCs (2 cells),Inflammatory-Mac (3 cells),1079881.6825628597,25.507789730175354,691,1562.7810167335163,0.036914312199964334
ECs (3 cells),Inflammatory-Mac (3 cells),1028534.1563322075,25.80929286792194,705,1458.913696925117,0.036608926053789986
ECs (3 cells),ECs (3 cells),829787.3608158032,51.919228262051064,818,1014.4099765474366,0.06347093919566145
MuSCs (2 cells),FAPs (3 cells),648966.5159152899,59.795447519933106,808,803.1763810832796,0.07400426673259047
MuSCs (2 cells),ECs (3 cells),632807.3726452301,42.88312859276752,809,782.2093605009026,0.0530075755163999
ECs (3 cells),FAPs (3 cells),596212.5921670723,51.825637101194744,824,723.5589710765441,0.06289519065678974
ECs (3 cells),MuSCs (2 cells),515480.3201385649,46.56065622127039,842,612.2094063403384,0.05529769147419286
MuSCs (2 cells),MuSCs (2 cells),496949.4399101911,57.81603863646829,838,593.0184247138319,0.06899288620103615
