"id"	"cluster"
"ENSMUSG00000005338"	"cluster_4"
"ENSMUSG00000006542"	"cluster_4"
"ENSMUSG00000007097"	"cluster_4"
"ENSMUSG00000009633"	"cluster_4"
"ENSMUSG00000010311"	"cluster_4"
"ENSMUSG00000015085"	"cluster_4"
"ENSMUSG00000015093"	"cluster_4"
"ENSMUSG00000016194"	"cluster_4"
"ENSMUSG00000016529"	"cluster_2"
"ENSMUSG00000022995"	"cluster_2"
"ENSMUSG00000025776"	"cluster_4"
"ENSMUSG00000025780"	"cluster_4"
"ENSMUSG00000026039"	"cluster_5"
"ENSMUSG00000026069"	"cluster_2"
"ENSMUSG00000026072"	"cluster_5"
"ENSMUSG00000026185"	"cluster_4"
"ENSMUSG00000026196"	"cluster_5"
"ENSMUSG00000026241"	"cluster_4"
"ENSMUSG00000026255"	"cluster_4"
"ENSMUSG00000026388"	"cluster_4"
"ENSMUSG00000026399"	"cluster_4"
"ENSMUSG00000026429"	"cluster_5"
"ENSMUSG00000026447"	"cluster_4"
"ENSMUSG00000026475"	"cluster_3"
"ENSMUSG00000026558"	"cluster_2"
"ENSMUSG00000026605"	"cluster_2"
"ENSMUSG00000026676"	"cluster_4"
"ENSMUSG00000026683"	"cluster_2"
"ENSMUSG00000026697"	"cluster_4"
"ENSMUSG00000026779"	"cluster_5"
"ENSMUSG00000026840"	"cluster_4"
"ENSMUSG00000026879"	"cluster_4"
"ENSMUSG00000026980"	"cluster_2"
"ENSMUSG00000027520"	"cluster_5"
"ENSMUSG00000035778"	"cluster_3"
"ENSMUSG00000036040"	"cluster_4"
"ENSMUSG00000036617"	"cluster_4"
"ENSMUSG00000037872"	"cluster_4"
"ENSMUSG00000038370"	"cluster_4"
"ENSMUSG00000039323"	"cluster_4"
"ENSMUSG00000039349"	"cluster_4"
"ENSMUSG00000039748"	"cluster_2"
"ENSMUSG00000040170"	"cluster_4"
"ENSMUSG00000040181"	"cluster_4"
"ENSMUSG00000041498"	"cluster_2"
"ENSMUSG00000041757"	"cluster_4"
"ENSMUSG00000041859"	"cluster_5"
"ENSMUSG00000043629"	"cluster_4"
"ENSMUSG00000045382"	"cluster_4"
"ENSMUSG00000045658"	"cluster_4"
"ENSMUSG00000046618"	"cluster_4"
"ENSMUSG00000048402"	"cluster_4"
"ENSMUSG00000048814"	"cluster_4"
"ENSMUSG00000049690"	"cluster_4"
"ENSMUSG00000050592"	"cluster_4"
"ENSMUSG00000053475"	"cluster_2"
"ENSMUSG00000062510"	"cluster_2"
"ENSMUSG00000063558"	"cluster_4"
"ENSMUSG00000090124"	"cluster_3"
"ENSMUSG00000091844"	"cluster_2"
"ENSMUSG00000002458"	"cluster_5"
"ENSMUSG00000005089"	"cluster_2"
"ENSMUSG00000005233"	"cluster_5"
"ENSMUSG00000017002"	"cluster_3"
"ENSMUSG00000017754"	"cluster_4"
"ENSMUSG00000025665"	"cluster_2"
"ENSMUSG00000026888"	"cluster_2"
"ENSMUSG00000026971"	"cluster_3"
"ENSMUSG00000027022"	"cluster_4"
"ENSMUSG00000027188"	"cluster_1"
"ENSMUSG00000027323"	"cluster_5"
"ENSMUSG00000027333"	"cluster_4"
"ENSMUSG00000027339"	"cluster_4"
"ENSMUSG00000027353"	"cluster_5"
"ENSMUSG00000027454"	"cluster_5"
"ENSMUSG00000027469"	"cluster_2"
