Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Neutro,Ccl4,Ccr1,Neutro,3.0,1.0,937.158142,0.8440792218683062,3.0,1.0,335.2538503333333,0.7935778071233418,314185.8754767327,0.6698425379286271
M2,Ccl4,Ccr1,Neutro,3.0,1.0,110.2432883333333,0.0992938810028535,3.0,1.0,335.2538503333333,0.7935778071233418,36959.48688715785,0.0787974203470105
M1,Ccl4,Ccr1,Neutro,3.0,1.0,62.546238,0.0563341207164477,3.0,1.0,335.2538503333333,0.7935778071233418,20968.86711336505,0.0447055079843802
M1,Ccl12,Ccr1,Neutro,3.0,1.0,40.32940166666666,0.4705770439863239,3.0,1.0,335.2538503333333,0.7935778071233418,13520.58719038955,0.3734394986492512
M2,Ccl5,Ccr1,Neutro,3.0,1.0,35.93651066666667,0.6366803844985104,3.0,1.0,335.2538503333333,0.7935778071233418,12047.8535685449,0.5052554233687739
M2,Ccl12,Ccr1,Neutro,3.0,1.0,35.65443533333333,0.41602796200245,3.0,1.0,335.2538503333333,0.7935778071233418,11953.28672696085,0.3301505577878972
Neutro,Pglyrp1,Trem1,Neutro,3.0,1.0,56.73461133333333,0.903861507830286,3.0,1.0,194.9392826666667,0.9548563367540328,11059.80443569214,0.8630578882998035
M1,Ccl5,Ccr1,Neutro,3.0,1.0,18.462627,0.3270988818654527,3.0,1.0,335.2538503333333,0.7935778071233418,6189.66678901816,0.259578413383283
Neutro,Ccl12,Ccr1,Neutro,3.0,1.0,9.718179666666666,0.1133949940112261,3.0,1.0,335.2538503333333,0.7935778071233418,3258.057151481109,0.0899877506861932
Neutro,Ltf,Lrp1,FAPs,3.0,1.0,15.99918866666667,0.9848882775340866,3.0,1.0,143.0355533333334,0.2980616520156925,2288.452803821063,0.2935574270526997
Neutro,Ltf,Lrp1,M1,3.0,1.0,15.99918866666667,0.9848882775340866,3.0,1.0,132.804812,0.2767425352500014,2124.769243029198,0.2725604788627901
FAPs,Ccl2,Cxcr3,Neutro,3.0,1.0,378.538676,0.4207888498154877,3.0,1.0,5.345069333333334,0.6268605172323812,2023.315468568203,0.2637759160409554
Neutro,Ltf,Lrp1,M2,3.0,1.0,15.99918866666667,0.9848882775340866,3.0,1.0,125.707184,0.261952291301752,2011.212953571382,0.2579937409762899
sCs,Cirbp,Trem1,Neutro,3.0,1.0,9.133889000000002,0.212935423925296,3.0,1.0,194.9392826666667,0.9548563367540328,1780.553769616958,0.2033227388544752
