Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
Neutro (1 cells),Neutro (1 cells),7743445.982885199,46.47644710697459,485,15965.868005948863,0.09582772599376203
FAPs (1 cells),Neutro (1 cells),6002987.30924699,62.27427188326459,643,9335.905613136843,0.0968495674700849
FAPs (1 cells),M2 (1 cells),3886766.260416742,48.40947480036946,618,6289.2657935545985,0.07833248349574345
M2 (1 cells),Neutro (1 cells),3240303.0490380037,28.491292590137903,483,6708.701964881995,0.05898818341643458
M1 (1 cells),Neutro (1 cells),2957898.687646185,21.905507908377835,456,6486.619929048651,0.0480383945359163
Neutro (1 cells),M2 (1 cells),2919340.8479701765,30.554967876837754,454,6430.266184956336,0.06730169135867346
FAPs (1 cells),M1 (1 cells),2846824.9660974564,33.900667001527225,577,4933.838762733893,0.0587533223596659
FAPs (1 cells),FAPs (1 cells),2738409.6818745234,99.65238313037683,704,3889.7864799354024,0.14155168058292164
M2 (1 cells),M2 (1 cells),2616344.0713716,24.52626391840727,453,5775.593976537749,0.05414186295454144
M1 (1 cells),M2 (1 cells),2398817.202887354,18.573315186858625,422,5684.400954709369,0.04401259522952281
Neutro (1 cells),M1 (1 cells),2260412.525076982,21.30791231716892,428,5281.33767541351,0.049784841862544206
Neutro (1 cells),FAPs (1 cells),2162020.3275160072,37.36798220236243,461,4689.848866629083,0.08105852972312891
M2 (1 cells),M1 (1 cells),2028995.9708141922,15.569672091064204,422,4808.047324204247,0.03689495756176352
M2 (1 cells),FAPs (1 cells),1871041.243885933,23.53315593076041,450,4157.869430857629,0.05229590206835647
M1 (1 cells),M1 (1 cells),1803609.854434704,11.93428133772875,397,4543.097870112604,0.030061162059770153
M1 (1 cells),FAPs (1 cells),1667566.3945960023,19.52635132765736,429,3887.1011529044345,0.04551597046073976
FAPs (1 cells),ECs (1 cells),1567712.6876720719,62.70899977593477,684,2291.977613555661,0.09167982423382276
FAPs (1 cells),sCs (1 cells),1294331.8527464552,78.22806901639763,780,1659.399811213404,0.10029239617486875
Neutro (1 cells),ECs (1 cells),1188908.3080370813,20.7451664989542,456,2607.2550614848274,0.04549378618191711
sCs (1 cells),Neutro (1 cells),1118130.6840557284,30.307463153541025,641,1744.353641272587,0.04728153378087523
sCs (1 cells),M2 (1 cells),917280.5017397024,28.55820982841666,622,1474.727494758364,0.045913520624464084
M2 (1 cells),ECs (1 cells),787293.7524089754,14.047336973516211,446,1765.2326287196759,0.03149627124106774
Neutro (1 cells),sCs (1 cells),758404.5334409369,23.628044622152487,508,1492.9223099231042,0.0465118988625049
ECs (1 cells),M2 (1 cells),707786.1973928047,16.9466561238517,523,1353.3196890875806,0.032402784175624665
M1 (1 cells),ECs (1 cells),660728.2561649048,12.026143100163807,421,1569.4257866149758,0.02856566057046035
M2 (1 cells),sCs (1 cells),600273.1545397945,17.974699936723837,495,1212.6730394743324,0.03631252512469462
M1 (1 cells),sCs (1 cells),597120.3827954965,14.8803454883282,470,1270.4688995648862,0.03166030954963447
sCs (1 cells),M1 (1 cells),586666.4130010125,19.308381313376778,576,1018.5180781267578,0.03352149533572357
sCs (1 cells),FAPs (1 cells),555138.3958089735,61.44806302886058,719,772.0979079401578,0.08546323091635685
ECs (1 cells),Neutro (1 cells),523096.16009794234,19.489838640534245,546,958.0515752709566,0.03569567516581364
ECs (1 cells),M1 (1 cells),374097.84812167316,12.091116973561457,483,774.5297062560521,0.02503336847528252
ECs (1 cells),FAPs (1 cells),322164.2459522986,33.95483489856061,562,573.2459892389654,0.06041785569138899
sCs (1 cells),ECs (1 cells),298510.5064510301,38.900467583792725,692,431.3735642355926,0.056214548531492374
sCs (1 cells),sCs (1 cells),278017.32617481065,63.41998878110427,798,348.39263931680534,0.07947367015175974
ECs (1 cells),ECs (1 cells),267147.3222203986,31.021083833562894,556,480.4807953604291,0.05579331624741528
ECs (1 cells),sCs (1 cells),171010.38886108986,33.311143818790875,631,271.0148793361171,0.052791036162901546
