cell,cluster
Young.M2.D4_1,M2
Young.M2.D4_3,M2
Young.M1.D4_1,M1
Young.M2.D4_2,M2
Young.M1.D4_3,M1
Young.M1.D4_2,M1
Young.FAPs.D4_1,FAPs
Young.FAPs.D4_2,FAPs
Young.FAPs.D4_3,FAPs
Young.sCs.D4_2,sCs
Young.sCs.D4_3,sCs
Young.sCs.D4_1,sCs
Young.ECs.D4_2,ECs
Young.ECs.D4_3,ECs
Young.ECs.D4_1,ECs
